"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"APLN",18005,7398,11676,84944,26,39062,11975,21229,3944,9853,4010,115236,1109,43923,30659,2042,1350,16623,790,13617,30082,26832,8103,46776,102709,33396,14328,68,10827,1644,718,7235,60821,202575,47870,7651,69334,52961,16073,46499,14744,2124,1818
"MYH9",84115,84422,140369,130809,45104,123842,133603,139894,114336,63208,50715,160267,80355,144926,152115,78549,61611,76847,69119,110699,193363,165054,60829,110676,91878,102239,80414,68184,48341,46306,41819,98353,144574,101619,93594,56515,179128,99187,72502,86363,72072,95444,80153
"TPT1",151008,134748,123451,92028,172530,110298,128304,124450,146119,159456,162649,101515,91478,73808,111255,105557,138342,88581,148332,144191,102841,97212,123562,95235,104597,172140,156086,81438,221914,204587,159393,76268,95494,97839,142488,234940,82286,115491,140801,150589,123911,135094,147049
"KCTD12",51777,101005,4147,37342,2161,78217,93883,87701,87318,123563,61670,42648,103947,49987,72559,70334,114845,65146,91371,95858,56790,59940,92471,31625,52776,47191,99088,6628,80581,87045,51997,41981,33348,53826,44394,58361,69426,73103,72316,77041,125884,162517,174729
"TGFBI",522,9184,177873,1435,3818,303,2046,262,436,824,192,199,2367,1135,2125,512,300,295,1029,478,1639,9459,1120,1633,949,3981,69,164618,81,93,613,13592,4228,1415,642,529,3711,1075,618,316,5882,2171,1409
"SCUBE3",392,290,73,124,735,329,516,212,304,1305,4986,109,313,47,255,195,1122,50,111,12,153,131,519,93,148,107,178,236917,165,790,351,53,440,242,118,132,70,639,991,623,349,875,1388
"COX3",169977,178035,138850,130274,120651,133778,143046,154046,177846,137216,89593,105123,95017,155330,143908,162129,156829,128559,255145,113885,166420,113214,115019,133620,135231,104315,143977,163829,114872,113388,148972,105641,187627,188103,101617,144382,206367,105221,97420,76911,111286,142255,110753
"BGN",106389,30121,3599,2429,760,666,90639,354,99460,31471,25273,59772,25681,44722,54291,27764,27099,1408,33289,67,57744,27280,17282,34997,12394,76030,64164,15294,2587,6563,66508,5413,28222,11427,56260,60685,5853,92772,73950,139837,38769,50844,71473
"RPS2",172225,107247,126259,109601,178564,132127,133042,133842,82702,78404,77067,107673,126825,136530,133195,146269,164349,140695,248462,163717,117741,128834,172125,141796,159365,161794,132113,146928,147179,89204,103575,87011,111708,58238,140127,174901,97150,118627,157169,136618,140711,129536,141404
"MCAM",40415,4911,10293,121628,4450,90432,48224,61754,15314,11254,8046,94769,9277,59903,56217,19860,6804,56936,5815,44430,58113,58290,10201,69421,84366,57954,39361,927,57442,7478,5310,49537,53782,94642,92310,54897,90242,92321,84875,89261,36682,12561,5055
"PKM",48180,51275,213754,92855,108155,114271,50906,99297,28191,58997,38163,76231,42986,69975,56907,68255,53620,103212,95226,85682,58681,69634,75557,100036,114782,59387,34971,119245,89680,43798,25940,82967,82110,95796,58459,41005,94899,53064,54090,45227,54435,49430,38343
"RELN",30,18233,136,2673,51,46,28872,14,96996,29174,4741,4337,53036,2347,3143,22997,16788,130,48425,13,1234,924,1677,18876,3353,3125,10580,2924,25,3041,51459,9482,1499,1306,501,3270,1075,89,18,154,48181,129608,140022
"ANXA2",129115,115451,149869,137490,166928,171303,121772,196477,69640,89488,77631,127088,102468,108950,113183,152195,133320,160096,162935,167392,121493,145223,124956,155117,196840,118202,84213,209247,145276,181668,59138,154937,144639,114975,136940,131030,143211,125300,150851,125376,157320,118439,103032
"LGALS1",65575,51452,98940,59140,183359,96068,62833,125030,17810,16446,12948,60209,49529,86123,70398,66155,31650,65420,51629,110217,65745,73078,55976,62014,81590,43356,19172,112447,43997,54611,12750,94426,81774,57650,68457,75228,99044,42924,45349,35822,62381,41806,35107
"AHNAK",45576,70096,124511,122388,51370,154381,65438,147519,60488,47833,48626,105930,65577,58814,49954,52433,73576,58699,64747,169500,54545,77663,50500,91869,83488,50677,62098,131556,39120,40743,35337,58936,68785,110273,68851,54920,89846,53768,42246,47071,63552,65926,58487
"CYTB",115037,145675,92672,105072,62697,101504,91867,106745,187677,124583,90454,88152,91157,122233,117009,122231,140375,47920,185419,69856,120051,80149,76291,86260,77832,65800,127129,126518,83515,82130,139123,82827,157270,140788,62035,102385,127388,68441,62610,56215,87664,124621,110847
"TMSB4X",109741,158622,37140,113968,104262,146960,123727,84296,143503,128954,102533,121191,104810,100456,151133,127283,120275,100277,117672,76737,137417,114450,113508,118356,108780,136559,99398,66207,211752,139336,101621,122233,110882,154981,183299,164880,92793,85311,67940,98869,96467,97192,109491
"SOD2",2994,9828,74398,10344,16378,4105,16713,9971,15632,25827,3482,12283,7407,22281,66492,9641,15644,11465,6292,4976,82816,12032,75019,7766,4707,4938,4613,4980,4698,37014,4439,120775,19290,127766,6309,3434,46966,4487,4392,4668,10628,11952,7325
"IGFBP4",55425,48543,68311,26356,18464,43761,65330,39553,51551,81984,127281,34377,53309,28724,33363,60341,92074,29384,78011,54744,31377,38267,78341,40653,31349,64407,67287,130137,58912,149101,49165,13423,21127,13545,59032,52010,21813,60078,63456,61308,49389,68403,83978
