"","HUVECS","VM015","VM024","VM038","VM040","VM042","VM043","VM048","VM053","VM054","VM055","VM056","VM060","VM064","VM066","VM068","VM071","VM072","VM073","VM081","VM082","VM083","VM085","VM089","VM090","VM092","VM093","VM099","VM103","VM108","VM110","VM111","VM113","VM119","VM124","VM125","VM127","HUVECs_2","HUVECs_3","HUVECs_4","HDLECs_1","HDLECs_2","HDLECs_3"
"TIMP2",27916,64115,65528,38910,55124,32196,34967,32103,60632,41048,28368,36924,32681,23786,28724,31191,36710,16968,27934,38832,32675,24373,23392,33572,31351,37214,39971,43648,24163,25517,42670,28007,31491,29029,28059,24319,28997,29385,28245,31573,33590,50508,58298
"CYB5R3",18555,32981,33571,26832,25755,28289,34368,26485,50976,50181,50498,27331,42788,25105,27249,46235,60192,22518,54488,29405,24639,18223,31291,29645,23958,20635,32133,46046,30797,38058,42040,23577,16149,24493,21169,22845,28017,21416,22196,19271,40512,43228,48132
"DKK3",7319,36973,32484,19485,18868,14924,19151,913,17433,21943,17089,12759,21225,9942,7817,8952,27980,3078,8158,1620,7635,9104,16233,10377,16528,13573,7043,2033,8250,27605,17349,19016,9201,18008,19569,10366,10415,9566,9026,10284,30257,60968,34600
"TXNRD1",11280,29621,13881,32666,10816,28527,24717,42067,22386,30010,12165,24004,15965,27242,36981,51331,20517,43266,26480,32966,31684,28258,34691,23288,24321,17289,21154,29504,24170,12233,8642,36779,35056,54226,15307,10664,31152,14135,12098,12311,24996,15246,10553
"RPL13",76247,45116,66616,48046,89028,49778,58970,52722,51205,41718,57315,47768,47375,46524,53981,52934,55843,42697,51770,62576,49059,46317,47606,47946,54500,79554,56344,48288,70725,57542,51974,40653,46834,37905,55396,81967,42669,51964,63648,59118,55117,52889,59782
"EEF1G",83003,69156,71109,59551,75988,57339,66740,53888,59910,48078,56562,64382,54468,51965,62283,64345,65161,54170,69784,64650,61739,57427,65999,68215,72144,95116,78158,61389,85983,64032,57786,43091,57814,38768,74938,74995,51309,67592,79462,77236,68860,64117,64566
"EPHB4",26888,24830,4056,26481,5006,40268,37999,24820,29223,47212,46298,28305,33371,20480,25899,35096,56373,30876,27321,32125,25905,26296,40569,29473,41288,37005,35535,1743,49878,46090,28279,21931,21407,24439,25049,26781,22842,24119,26692,24653,24071,33260,33969
"TLR4",5900,18648,1521,8602,997,15670,10641,6593,46004,42860,21475,10335,16235,10249,7796,21322,33852,18938,22600,14533,6613,6012,30830,14416,19001,12911,15770,1748,32285,46440,24192,18260,12380,16896,12897,23969,9324,7783,9601,10863,19091,26202,20134
"MYL6",35304,50327,37705,36202,28515,45120,39951,78192,58865,38386,22805,32315,33183,36851,39661,46429,37789,40327,46868,44510,32563,38962,40466,31963,38054,27663,21751,37647,43707,50622,23797,63536,44028,34182,35744,40999,50562,24497,27262,26934,42637,29390,28519
"SCD",9789,6514,11060,5912,71029,15067,14283,7833,4264,3596,4169,6417,14919,15305,16915,31758,19542,19537,24410,7256,9816,17602,15975,10711,16061,9639,11574,2286,12592,8212,6601,8042,7415,3868,12084,8180,7988,8417,9685,7934,3821,4056,3171
"IFITM3",16101,19113,27245,22249,20265,38873,34479,51919,17849,39711,20266,21600,27896,28043,33813,33266,67861,38946,39672,42711,27912,29846,38352,22431,31480,24738,19508,40987,37529,33762,14693,48131,22966,37391,15313,14855,29714,18106,25761,22305,26231,25338,24774
"EMP1",8901,17240,28941,27285,38779,14811,19085,55617,9607,9372,6001,17067,17608,15362,12196,15099,10867,10176,17567,48603,18487,20994,5217,30969,17840,28320,20085,45112,11417,7946,21328,9678,17385,8533,25534,16588,21611,20517,19148,19934,23407,23755,27741
"SERPINE2",221,4307,4749,2008,38654,397,948,5200,1615,33,67,833,247,972,410,39,7,141,49,3716,1386,1698,192,518,879,721,468,63119,63,31,95,3267,1817,4927,926,103,1887,1097,764,1110,772,537,600
"MAP4K4",30576,39544,22872,47306,33371,35007,18068,10041,18736,11699,8361,27056,10300,18855,21622,14287,10036,17181,9471,10902,23289,18480,13204,29283,41142,32240,22650,16214,20265,24410,12807,15414,20150,19316,38437,26804,24305,40049,47524,41174,37956,24875,22389
"LYVE1",4986,12501,227,6871,0,9784,1274,6802,1373,15027,3983,3578,12442,659,452,4143,1985,4842,14082,4943,2202,1708,704,6141,16259,9310,8695,171,11379,35475,6835,168,1884,333,8703,5978,2909,2810,3810,2699,8877,26481,60754
"ICAM1",674,2459,11519,8959,524,4549,15901,8550,4059,5458,1015,12398,2534,19360,31855,2425,2774,5439,808,5343,47567,13434,9106,2664,4011,4624,4062,430,3725,8331,422,18001,17067,13049,2653,294,45096,573,547,823,1095,377,270
"PCSK7",1979,1946,16126,3243,3793,3337,4361,7194,1889,2242,1087,4961,2556,3107,4001,2535,1875,2965,1815,2779,4435,6493,3467,3220,4672,3389,1867,72069,1999,2376,4999,11007,5759,2392,3249,1805,15708,3083,2765,3072,4749,3201,2976
"TAGLN2",29662,13821,35073,28540,17432,38125,27083,51905,7707,9357,6317,26900,13969,32422,31266,21490,15509,35135,19037,44637,32567,36247,24320,26979,30495,26539,17225,14208,30063,26433,6864,38419,30326,32275,30010,20841,44140,24597,25773,21533,21758,9110,8189
"AKR1B1",5432,3363,17349,4971,8180,19115,5641,5077,1747,5473,4817,7144,2220,5653,7878,3683,4428,7661,2366,7013,6633,9223,7941,7012,23558,10812,7601,4695,71301,3322,3261,7301,6911,4542,6659,5131,6496,4807,6141,3444,5413,2876,1928
"ID1",3837,7332,1168,4722,1312,5130,22399,29691,10616,29764,21046,6513,18378,5957,5757,24866,46933,13408,25264,37890,8317,7312,25137,11001,9040,9772,7107,6271,17978,26317,15860,14022,6084,4480,2924,5410,7096,1510,3017,1109,4180,5368,4600
"ARHGAP29",21305,43631,6021,41579,8208,26042,25409,16562,36555,19538,14861,35702,17580,30878,33374,22026,21729,19237,21433,14587,31790,29048,14107,30333,34055,29175,24061,9152,22538,18709,24638,18008,31408,22172,38438,29815,41599,33413,28347,36491,46622,49230,47817
"ST6GAL1",19755,6556,819,9846,251,9962,16756,5573,6325,43589,33206,16783,11734,12021,15848,18079,48071,8906,12373,10002,18382,14711,39791,17447,14809,18843,21389,27,14728,27406,17036,11727,12201,6239,16666,18061,9567,22482,32981,27797,7289,13914,15151
"GRN",21568,42280,25318,48297,13750,40109,36220,32198,35858,51738,55383,39481,36400,24921,28906,31054,54510,20872,24530,45770,39668,33484,29615,31372,37976,39271,37153,9481,37072,41652,29082,13897,29480,26189,25187,21338,23933,32996,28994,36564,32469,47337,49679
"HIF1A",15612,28219,52708,28970,23663,25699,15987,11634,19953,29156,21940,26980,11942,15921,23232,12651,25953,30876,12597,7546,26887,24551,30485,27091,37436,35274,35805,47421,61891,18851,18032,27212,25920,35223,21913,14737,23853,24758,20849,25957,27839,26805,27559
"NRP1",24594,8729,24803,26734,27820,29691,17294,16573,1739,4298,4085,32454,3440,20496,21495,2156,2620,14355,2111,17821,28021,17101,9785,29094,27629,27250,23313,25288,17358,5501,3027,10292,21335,24095,29214,15031,24493,33545,31355,35681,13310,6037,2500
"ANXA5",26707,35181,33995,28993,38628,29985,27633,30078,32675,22327,18117,26838,23646,23062,21927,27126,28308,23476,31319,26295,23406,23599,24514,25753,34538,29155,23704,87689,27031,28957,21024,24938,26415,29220,32947,24427,24636,28859,28155,32517,44378,40511,35537
"PPIA",53332,53855,44257,41374,59873,42956,42281,59212,32344,31109,26290,34669,40097,40151,42194,56279,39077,48195,77778,56755,40561,46433,39570,50328,46259,46112,41136,36488,50487,44158,34995,35431,40634,26656,59226,67759,39072,46309,55978,54309,53332,44434,43365
"GNS",17914,28940,14739,37547,10639,39159,30889,17534,23401,39798,40520,29142,20041,19585,21402,19564,30319,19763,16006,21824,26208,28045,25855,31090,33894,38863,29751,8512,31515,42614,23132,22376,26407,38713,26462,23836,24028,24857,23700,29273,32276,62822,52863
"EIF4G2",52524,64838,56550,56780,54457,48296,50444,44715,47584,40119,25123,45384,31358,46057,50933,49009,37465,54145,45737,32527,55638,50220,43577,55597,46399,49868,42857,40446,44850,49159,33023,38219,57480,46560,63184,48842,64379,66925,69755,69602,68838,48750,46557
"RPL12",51852,38342,38849,29525,67135,30944,32847,36019,36364,22054,20620,27599,30795,31415,38426,32795,34882,29191,51502,37750,27627,26907,32751,28804,38849,42244,46364,43339,49848,27233,35203,25888,30883,20536,43881,66751,23773,26577,33612,30424,34455,30710,32775
"HMOX1",7343,4160,6424,12413,8101,22864,5180,4731,689,13116,24656,17478,5013,17572,18394,5143,23716,21524,3970,5947,16499,13040,17879,24281,28269,20780,15624,9963,25651,55761,2500,17719,26184,8727,5697,7522,9627,4217,5181,2585,5204,4666,4969
"EIF4B",45325,31100,36195,30199,40882,26182,29098,13996,34144,22875,31803,27498,24936,19571,24825,26394,34801,20348,26287,19058,30256,23941,27321,30202,34738,54201,47977,27240,45544,29328,36534,11089,24099,16719,38501,35469,18143,43339,51296,49201,37490,40406,44294
"GSN",13216,9579,16500,23715,21314,52841,13883,15747,8290,11559,8499,25602,6806,10108,10315,8187,11143,15324,6064,45755,12741,16475,15977,14127,26730,23272,20316,11169,46859,11883,5613,11798,10205,17633,21217,10090,11150,19297,16937,15362,14053,9592,9213
"RALGAPA2",5913,2862,1096,9858,246,25991,6996,4401,5520,27524,19676,9939,8764,5437,8193,9209,56892,25244,6853,4751,10021,11249,30630,7914,15255,7436,9119,359,23595,19330,6722,4605,8300,18006,5179,4065,7997,7970,8549,6826,3830,7170,8809
"EDN1",8935,28587,960,6051,319,14,19262,7338,37885,9201,277,11472,12564,32738,29408,22220,10097,3909,11206,5460,25736,19463,21595,10874,5353,7050,869,751,83,25,1930,22206,12338,10388,11280,11459,22839,20149,10743,32440,21548,8880,5826
"HDLBP",52306,47333,71666,47492,54999,42142,42635,25417,38200,34067,26164,46742,36094,35376,42573,44308,36651,35653,37246,26634,47887,41413,33862,55339,55046,54119,47681,69295,42850,28904,35650,23097,37971,33059,43737,36515,40173,46748,45487,48578,45292,42606,44991
"CALU",20907,31682,51197,28316,41160,28988,24761,20271,22283,22944,16589,22316,14783,17365,21255,19421,16511,22138,19153,12938,19518,17907,18612,23790,31452,25512,21450,64664,27900,37969,17061,31158,19138,43029,24322,16744,27508,28917,26526,34169,35833,34666,29158
"PTMA",50665,33795,13260,36548,26319,30937,34529,42461,39632,29114,19700,31369,32181,32885,37420,47018,35303,36335,65083,37395,38551,37253,33581,42899,35012,36505,42066,11553,40760,20374,30007,17810,36812,16525,40788,40945,27152,37355,41928,33749,29452,22898,25119
"SEMA6B",20804,13663,2505,31410,65,25733,30584,18755,19751,8987,10724,37378,13820,22866,22458,17521,9599,18153,9730,19645,28584,29488,12402,32225,26974,36628,26614,11,13875,2992,5718,9713,21325,22183,33596,23309,30630,33317,22683,28357,23999,19864,11711
"RPL9",35198,27014,19605,17192,47931,19258,22923,32602,17423,11267,15356,20950,20746,16303,22713,22413,19837,26335,19978,30314,25946,18940,20969,19620,25227,35084,31373,20340,30998,28202,24781,16367,24555,12663,41913,68128,15262,24914,32424,31685,27870,27954,27387
"RHOA",49855,37534,41037,38347,37137,42114,38640,80303,29037,28900,27406,36979,32680,37755,40264,42480,35237,34694,48330,76445,37168,39220,34208,40798,43084,41804,33708,47214,40863,40523,27519,31924,38834,30314,44896,43554,39692,40204,44113,40030,43823,36673,35906
"RPL32",49055,36574,41702,27816,65847,32932,35023,37773,33406,23173,26087,31209,30235,29647,35504,38898,37403,33516,47478,43404,30341,31139,36320,33184,38604,48066,38481,36215,50992,38076,33453,27039,31865,20202,43865,74016,27822,33337,43010,38767,39693,34880,35451
"FLNC",22249,35418,22094,36411,14130,65086,30307,19730,33011,28281,17601,33517,23851,23308,21319,27301,40570,34824,30330,15656,27244,35729,44284,35974,46435,25988,21440,44436,20492,20911,16602,40411,37630,32446,25940,27358,36138,30577,24720,24492,39223,37220,34733
"ABLIM1",24753,7296,719,8310,390,9473,24479,12230,12229,17244,7802,9987,10576,10555,13426,15287,31202,10498,12552,9777,13993,10846,18833,12143,6398,9512,11408,385,7168,10361,8554,7373,8388,8468,20788,22086,8953,32239,34410,53580,11444,15992,14832
"NIBAN2",20426,14027,51429,28177,37319,30687,16081,20797,7050,9150,5904,23650,7552,16810,18084,10772,7300,16229,6501,17415,19895,19078,12875,23077,29814,25964,15880,42012,14189,7417,5432,18295,22667,19794,24895,15072,23813,23193,23003,21111,18456,8660,7718
"P4HB",45340,58253,60322,58238,46511,43346,59941,41382,33664,43964,32272,48481,42302,43760,49309,52112,48908,39942,48227,42560,52471,45684,44197,59469,56535,49574,33839,47704,38726,45710,27823,23766,37359,29354,50976,37835,35977,58807,56906,68121,50344,56985,49120
"VAT1",37238,35871,35235,44370,25887,61102,34873,42411,25345,28794,29358,43180,26359,41545,42941,29465,27313,33827,27767,55021,44473,44739,34427,37463,55935,44806,29795,37537,37517,27732,16612,49726,47657,41264,40221,27465,51847,28737,29688,28555,28099,25354,27898
"PRCP",26961,5407,4694,16163,7143,22248,22113,9596,9170,33220,40045,16823,12433,10621,17251,17436,29665,13193,12277,14223,16391,17205,26667,14117,16540,19195,20769,3942,32984,48108,17180,8727,15257,18201,14663,24810,11191,28106,32602,35117,9340,19681,20326
"HSP90B1",23066,30273,25423,33254,40991,17900,30856,19801,29643,23359,13265,21109,23112,18945,22208,29003,22088,19804,15880,13820,27739,19328,16228,34187,24266,33460,28790,23817,25520,22822,21801,9265,15967,12357,37055,21321,20298,44218,38529,54079,39258,44015,36667
"SGK1",4694,15717,4819,5695,6655,3314,15369,14304,4176,45303,15790,12727,11127,12981,7682,20204,44797,13500,14588,12903,11554,8907,27472,9743,12972,10805,4909,1978,8761,19012,8960,30992,18558,11302,2324,2840,17755,5574,4883,4065,11889,10900,6595
"MDM2",22175,32444,12602,45880,11263,25708,16535,15346,15095,18900,12402,18871,6838,26073,23584,9472,10833,25343,7446,9861,14720,21910,25837,20793,33442,20972,9663,16736,20604,22516,7979,44875,25062,42123,21754,18016,31143,24732,22078,23751,36471,24670,15463
"RPL37A",51319,42479,40408,29004,63616,30563,35752,39000,40993,26800,26591,31070,27563,29693,34862,36782,38456,29382,38368,35204,27057,29902,34215,31504,34761,43604,41914,39055,48428,34463,36461,27012,34043,26426,44618,72868,28526,26314,29013,28846,30399,29422,32051
"PROCR",15791,4927,924,12512,2209,23606,8365,3371,1192,20645,28558,8295,5930,6905,9188,16104,30930,22901,7217,3204,8582,9186,27968,11070,13755,9057,8607,3326,29477,48238,5725,13672,10651,5971,11406,11108,10229,10747,16587,11604,13076,3881,3612
"NORAD",20253,33777,19182,22114,12719,19113,27164,14916,45327,26763,24117,22404,24211,19390,20653,21371,32485,13159,24063,14051,25383,19894,19133,17933,16465,23723,24605,18137,16457,17797,24839,14756,21799,23038,24133,19699,21766,34679,29022,37627,43295,54954,50131
"RNA45SN4",501,1436,276,779,390,6489,4340,7288,473,12954,8175,18525,3350,7527,2112,4280,1791,3172,42107,13076,5209,7825,43467,12259,2076,3351,1682,1419,975,1133,238,19100,6346,11699,701,771,7700,760,535,197,516,453,1185
"DPYSL2",17710,17989,25363,25658,18262,19855,30025,42746,26337,18061,12886,28595,20759,26235,30602,23794,12798,12315,25072,40480,38172,31111,18504,28316,18913,23452,19876,62624,12266,12155,17096,19607,27114,32627,19832,13871,29577,18145,16550,22456,22050,22288,22693
"TMEM30A",21139,17782,12169,24656,8228,15418,21978,10239,13013,11687,9431,25251,8269,16843,29206,10720,9907,15511,7853,7541,18972,20813,13300,25014,19498,21830,16467,12832,16735,14071,10078,14685,17934,26437,30475,20622,22639,46178,26393,56089,22722,20719,16038
"RPS14",44078,28143,35053,23411,59628,29947,30048,38291,28508,23075,27445,28806,25080,26035,31571,33204,32702,25527,24608,40456,27066,28528,33865,27537,32021,45777,37825,31862,50329,36686,32529,21449,27540,17356,37819,66416,22294,28346,37235,34024,33305,27580,28767
"CDKN1A",15891,26375,22307,33874,26498,29625,16359,11504,11418,22857,17822,19787,8496,29976,22210,11512,8297,25386,7899,8826,16916,21552,33046,19615,36216,22325,9600,23810,16438,20109,7249,41911,31726,41726,12372,10318,34069,15071,12246,12620,21143,12779,11947
"BCAT1",22302,31297,10139,16763,14532,22773,17371,4624,26050,15660,6396,11914,13565,10738,12667,19341,15986,19838,19313,4631,8169,13699,17743,17386,16626,10038,8365,16606,15761,24994,11662,23916,14953,25360,21583,11787,19549,31780,32071,33981,51435,36082,30570
"BACE2",8759,20417,14954,30451,1633,14253,33211,20002,31270,23870,19382,26151,27441,21708,20278,22408,23725,7673,23382,24578,30027,26197,15190,32275,16539,28279,27413,1674,8499,9738,21245,13945,19160,26618,26091,16813,18831,13831,12232,19979,30766,50502,36043
"RPL10A",42851,25985,33546,21675,60546,26643,29314,31177,24905,16787,18535,26008,25141,25278,29096,33672,29525,28446,37217,35267,27371,27835,32362,28802,29859,38622,30413,30198,36978,25170,26472,16448,29293,13771,40722,64036,22369,28226,36426,32535,30445,26234,27388
"RPL28",61098,45138,51338,37226,68930,46926,45324,44625,39803,30174,31664,41707,42354,43896,45943,50025,53672,41056,78818,47208,39446,39536,47410,42507,49140,54566,46856,47631,53384,38641,41477,35994,44293,31175,46694,64469,38583,43926,54333,47728,47583,39693,45450
"DAB2",12995,36482,19756,17583,10058,8846,16432,8369,47157,27026,16982,11576,14317,13888,14719,17309,12907,8951,18941,6665,14265,12276,16893,14872,13519,11829,10906,12864,7003,25244,14806,29084,18675,17403,10213,8631,26451,14945,12852,18178,28187,31830,46259
"EPHX1",2347,4265,1235,2186,1666,12480,7358,6519,9072,33965,35117,4662,13919,3724,3823,13247,35488,12870,14957,12034,6590,6401,23272,4715,9513,6594,10764,3269,20027,32960,7979,7401,5907,7034,1845,3651,3633,2028,2328,1598,5690,14016,13913
"TIMP1",3871,5958,13354,3396,11846,13176,6300,5600,5727,9627,8308,5471,6269,3176,4596,6358,11469,7317,7135,5039,5335,4531,13202,6209,16458,14246,5489,60127,10877,30361,10768,7871,6953,5252,4335,4311,5203,3878,5445,4429,8838,13884,15855
"RPL8",55614,44352,53365,37476,69796,43779,52941,58805,38861,32684,35719,37055,41655,46251,50617,54467,43710,46989,68465,59041,43252,48910,46872,46676,49841,58511,49992,57407,54872,44340,34374,43214,42494,29194,53187,63270,44228,33470,45290,40687,47213,36286,40430
"PTPRF",14663,29043,17556,32308,3827,17401,31263,14085,38445,18089,9291,32642,17649,29968,29156,27671,16959,19951,17104,7774,38225,29657,18152,28607,26154,17335,15970,275,8151,7000,11057,15020,26798,33369,22201,14485,31129,25569,18633,29472,30125,26732,19235
"MYOF",28645,29324,36990,42141,36693,34317,23331,35640,23931,15880,5560,39822,18316,22709,23821,26323,21337,23163,24169,41388,32695,27816,17252,41121,43461,26326,26149,31275,22847,6115,7393,20320,28969,21126,29496,23047,26692,37052,33053,37178,33637,36347,19595
"TLN1",37242,32057,69517,47346,25988,41784,35220,33131,27283,32617,31679,50520,37877,34937,33234,37426,33086,28628,34894,38052,44679,38895,29072,50539,49838,44660,32546,40336,19362,24038,24448,29490,39869,29383,36445,24916,42881,49914,41898,47898,35648,44694,40833
"CD63",23314,27065,43898,24595,69682,32314,25515,27241,28970,31504,27050,25537,20699,19445,23456,22662,24784,21989,22412,23762,23102,23589,24746,22830,31161,29933,25218,55170,33675,28112,19684,31438,25988,31743,26796,25490,26091,19469,20800,19622,23670,20420,21368
"RPS16",43609,28707,31325,24147,56329,30891,33208,38594,24503,22091,28990,26836,28324,27435,32671,37952,36040,30497,47904,41567,27436,28962,34308,31235,33516,44507,33154,25602,49402,36477,30748,21983,30860,17536,38182,63681,24431,23875,31295,25394,30330,25645,27255
"PLOD2",9809,12798,48668,15116,4493,5833,10217,4898,5459,8248,4104,15192,3663,11221,13815,7695,6555,15873,4669,2184,15068,7785,11422,12900,16167,6385,4768,19467,7699,6869,3176,20798,14083,44228,12855,6305,21425,15113,11551,16210,10139,7417,6092
"ATP1A1",24763,30186,23110,46752,13306,40789,37275,29990,30854,21879,22713,40833,25032,22666,26003,30584,26267,24843,28812,40392,28973,34887,23332,57675,46753,51776,45777,18672,30999,22265,23994,22685,25284,27061,36027,26753,24699,25848,27407,26052,31852,32930,27982
"STC1",769,3638,20415,5101,9239,20077,175,770,58,251,2955,902,444,68,96,603,138,686,526,422,118,118,108,2521,5542,3513,4584,1406,15037,54535,6632,805,331,3120,2395,1353,577,1180,2099,848,4091,2411,2066
"SPTAN1",24429,33529,17390,32547,8520,35049,33882,53476,36354,49453,25591,30583,36279,25484,24383,41470,44790,34128,36853,53207,29415,33158,30160,34350,30524,22932,25083,27888,25299,24962,20168,24796,28464,26047,29483,24379,35547,33412,28431,36256,29238,44885,47191
"SH3BGRL3",24153,23726,37598,22703,38332,37286,16018,31963,14825,15403,9694,18262,11902,20343,18527,17884,14038,20974,21802,18939,17238,17559,13057,17802,32294,16959,14006,58284,18727,14835,10730,28830,22324,17734,16882,15392,29922,19163,21188,19673,26649,15745,14128
"SHC1",20171,31737,42145,27118,28171,36550,25136,16370,19362,42158,37069,21269,24547,24940,24288,28234,54059,34579,31904,18406,25229,27286,43429,24099,35095,18923,17774,24575,31461,53166,20355,32335,26922,25865,20239,16445,31356,23785,23301,21973,35728,39366,36089
"YWHAZ",39125,46689,41704,46465,34820,45724,40561,50805,30250,25260,17620,36361,30339,36600,42803,42255,28204,45817,41604,34157,44370,42818,29352,42751,42965,39640,30274,31598,38059,40156,28126,39885,44768,36637,49297,35008,49834,52917,52507,55696,64214,52052,49381
"RPS23",50345,33834,31901,26409,38203,27745,35181,36196,23803,22327,29834,31093,26056,30795,31659,33453,35550,31128,40672,36389,29510,28312,26221,29629,35860,43983,42494,29156,50011,32664,36286,20288,31317,12808,45034,63628,28963,33482,50444,42164,42530,36772,39391
"CALD1",9971,17192,24538,11014,13241,6477,15243,7825,20646,10705,4627,11606,11417,12348,16508,11303,7663,7246,10026,4750,15702,12859,7339,10336,7920,9007,6674,62345,5027,8040,9427,9878,13493,10074,12571,7981,16801,15233,12421,19660,19076,21705,21094
"PLXNA2",15444,42530,4014,34153,2209,13365,19156,11364,29862,21528,13746,31590,14081,24100,17682,15832,14173,10352,14923,11402,18618,17854,15138,26382,27371,21280,12363,5038,4864,7243,10904,23494,22881,27767,23944,16564,24682,26736,18204,25070,35423,32953,19489
"NDRG1",2378,9326,19736,5199,4847,25067,5928,29552,8784,17761,11600,2165,11265,2265,3370,12507,19910,6394,15741,31308,4247,3591,13578,5109,5611,5407,7633,5708,23341,21165,10921,9861,4425,40074,2650,2216,3456,2555,3370,2139,7904,12210,15282
"JAK1",15864,15190,12655,45036,7049,33162,19278,23740,12083,15125,10375,33958,13463,25069,24071,14393,12573,22516,13967,20015,30334,27888,13965,29439,34102,29307,17753,16549,14763,14074,12010,17743,36494,35122,28650,15228,42877,23571,21720,20132,20783,22272,23247
"PCDH1",11322,3239,1867,17296,3,12089,15539,19276,1435,567,382,26436,2922,22295,17357,2043,846,2737,1012,21521,21277,17255,1764,14790,15579,19405,6134,28,3694,1160,1230,5362,12121,21091,24728,12229,30487,16553,13014,19583,5244,1391,1580
"SNHG29",35035,29659,32823,16800,50715,15418,23431,24377,20933,12232,14771,19643,26710,16420,25746,31723,25889,17656,29550,26781,19059,20255,21202,17450,23269,36970,28801,26271,32160,25130,21171,12708,18572,9299,24661,54768,16204,24854,30404,24798,28184,28381,21034
"RHOC",28312,24914,28384,31395,23132,51689,27063,41292,18524,17506,19010,33790,14709,30063,31267,23661,19970,29650,18521,43807,28889,31318,28014,27213,42575,25460,18356,23833,39795,38108,11954,45201,34204,29908,33014,26130,38957,26208,33180,28670,27069,15484,16838
"MGP",23252,1774,224,2070,8,450,13080,1210,4757,2987,1106,4984,4920,3835,4398,3322,1248,593,6869,5142,26616,2704,5034,3771,1633,11116,7123,381,429,723,14685,1105,1130,390,12125,35816,1283,12412,19252,26039,3471,8094,27192
"EHD2",35496,22200,36904,34535,15944,55269,41477,50563,22076,37698,33651,45069,35213,35280,37931,32478,43991,31399,37048,55934,41616,44821,26793,48282,48732,45416,41914,49945,31598,29570,27256,23597,30487,29379,32958,28196,32817,36088,36086,33003,32116,40993,37344
"CAPN2",25878,21742,41762,33567,30816,38194,17093,26024,7948,17566,14542,25073,10894,14090,13851,15861,14885,20984,10398,25088,15198,14782,14115,25511,37574,21871,15864,29662,25883,22771,11333,23057,22589,16301,25101,20523,24942,35864,40641,33358,38852,22939,20372
"CCL2",1527,14746,5830,7895,23,1253,16894,3208,15536,4399,1218,14177,4225,29250,29736,2747,2623,4601,6677,381,32112,17732,8514,7664,1913,6731,2973,8292,740,12405,1597,14825,22241,19786,9080,3436,29472,2786,1099,4349,11232,6056,6192
"ANXA1",11793,31393,20295,17489,24933,11708,20109,50990,24028,6255,3497,15171,9287,18828,18301,22834,5309,16461,22151,32664,16737,17472,8930,21091,12928,10571,8710,28718,10740,9385,5113,22772,15772,14021,16760,14433,25049,15615,17571,20001,30505,18805,12465
"PHACTR2",11751,18482,2835,20183,3207,10782,13443,9690,19834,26520,8927,13392,14499,8498,11641,21487,21067,13897,13118,9544,10854,9512,14708,14519,12648,11542,16933,1966,16686,10697,27044,10768,9938,29702,15800,13135,12225,25900,21363,29535,27312,43323,38707
"RPL18A",55033,32963,39464,28715,56632,32624,39823,43568,30814,24212,27399,34758,36149,35758,38929,43239,42865,34759,50763,45708,33211,35853,40123,35991,39283,51767,38194,33690,48528,40750,36757,32409,35846,23258,43360,69543,31314,37236,46642,44863,41539,35751,37355
"ANXA6",15861,6998,37308,13494,26604,17463,9643,18503,127,1967,782,15294,3933,15444,14511,1348,447,9993,1631,14803,16071,21623,1591,13689,21737,17649,8180,26160,5424,1595,1523,4905,16077,5838,16520,4903,21428,15253,14495,14846,3983,206,742
"CD109",11329,6151,10713,18874,45205,16632,7716,16491,920,3852,2854,11263,2576,6795,7774,2283,5233,6021,1884,19001,7898,9757,2420,6283,8191,6987,4703,6697,5407,4683,1126,4688,7937,12450,11915,3667,8491,26934,22160,29350,5840,3264,2423
"LASP1",24792,41470,32495,30609,24613,24572,30640,29587,21023,19542,18570,33069,19462,35116,34130,26968,17067,28279,21477,27174,35597,33603,23457,31364,30645,24426,18887,61965,16300,20613,13426,37687,36574,30137,23727,18363,42857,26432,22277,24948,30240,25320,24590
"MYL9",3787,1886,38695,1819,13163,2182,4372,3226,3895,403,136,4835,3166,5626,6297,2884,747,2014,2408,1617,5236,7017,2154,2202,3538,3594,603,44848,239,445,2152,4916,6066,2129,2173,836,13473,3240,2152,3830,2842,1674,2082
"MARCKSL1",28141,19347,3682,22033,5030,25320,20631,5976,29215,14838,21232,25702,16432,13728,20920,12726,14597,12856,15416,10023,20944,22156,14738,22147,25639,36612,31812,612,29175,25170,21175,8266,19668,19086,32257,25836,16835,28094,29431,32020,21172,26074,36658
"BMP6",21341,18047,1619,10536,1238,3271,32645,12046,32068,32536,3998,19851,22246,19768,24236,26985,16526,7752,23115,16310,25264,18718,20200,19139,7926,14200,10529,2204,5057,1440,13739,10927,15704,13108,16143,15045,17365,27027,21074,30926,16394,17273,14856
"STAB1",13597,21298,1625,18748,625,25571,25397,14374,25030,27959,49752,19594,19006,19262,17097,13390,23562,13058,13425,15385,17714,24455,20799,18158,19108,19629,17855,514,10038,24085,14577,10239,17198,14692,14826,18516,12409,18020,13545,15325,18444,33393,35192
"CDC25B",3616,4295,5209,7140,5820,25558,6966,35449,4137,9956,7853,3107,10427,3086,4919,10739,27488,14661,13556,40560,5650,5011,9421,8683,8638,6093,8962,2615,23889,13134,7331,4645,3687,4218,3473,4579,4849,3747,4815,2778,7084,8548,7514
