"","x"
"1360","RSPRY1"
"1361","RSRC2"
"1362","RTCB"
"1363","RTKN"
"1364","RUFY2"
"1365","RUNDC1"
"1366","RUNX1T1"
"1367","RUSC2"
"1368","RXYLT1"
"1369","S100A6"
"1370","S100PBP"
"1371","SAC3D1"
"1372","SAMD3"
"1373","SAP18"
"1374","SARS1"
"1375","SASS6"
"1376","SAXO1"
"1377","SCAF1"
"1378","SCAF11"
"1379","SCAI"
"1380","SCAND1"
"1381","SCAND2P"
"1382","SCARA3"
"1383","SCARNA12"
"1384","SCARNA17"
"1385","SCARNA2"
"1386","SCARNA28"
"1387","SCARNA9"
"1388","SCD"
"1389","SCLT1"
"1390","SCO2"
"1391","SCYL2"
"1392","SDF2"
"1393","SDF4"
"1394","SEC23A-AS1"
"1395","SEC61A2"
"1396","SEC61B"
"1397","SEC63"
"1398","SECISBP2"
"1399","SELENOH"
"1400","SELENOS"
"1401","SEM1"
"1402","SEMA4G"
"1403","SENP1"
"1404","SENP6"
"1405","SENP7"
"1406","SEPSECS"
"1407","SERBP1"
"1408","SERF2"
"1409","SERPINB1"
"1410","SERTAD1"
"1411","SERTAD3"
"1412","SETD2"
"1413","SF3B5"
"1414","SFSWAP"
"1415","SFXN5"
"1416","SGIP1"
"1417","SGO2"
"1418","SH3BGRL"
"1419","SH3GLB1"
"1420","SH3RF3-AS1"
"1421","SHARPIN"
"1422","SHFL"
"1423","SHMT2"
"1424","SHPRH"
"1425","SIKE1"
"1426","SIL1"
"1427","SIMC1"
"1428","SIRT4"
"1429","SIRT7"
"1430","SKP2"
"1431","SLA2"
"1432","SLC10A3"
"1433","SLC12A4"
"1434","SLC15A3"
"1435","SLC16A3"
"1436","SLC20A2"
"1437","SLC23A2"
"1438","SLC24A5"
"1439","SLC25A11"
"1440","SLC25A18"
"1441","SLC25A20"
"1442","SLC25A35"
"1443","SLC25A36"
"1444","SLC25A39"
"1445","SLC2A10"
"1446","SLC31A2"
"1447","SLC35B2"
"1448","SLC35C1"
"1449","SLC35E4"
"1450","SLC35F6"
"1451","SLC38A2"
"1452","SLC39A1"
"1453","SLC39A14"
"1454","SLC39A3"
"1455","SLC39A8"
"1456","SLC4A2"
"1457","SLC5A2"
"1458","SLC66A2"
"1459","SLC6A6"
"1460","SLF2"
"1461","SLTM"
"1462","SLX9"
"1463","SMAD5"
"1464","SMARCA5-AS1"
"1465","SMARCAD1"
"1466","SMC2"
"1467","SMC4"
"1468","SMC5"
"1469","SMC6"
"1470","SMCHD1"
"1471","SMG1"
"1472","SMIM15"
"1473","SMIM29"
"1474","SMIM4"
"1475","SMPD4BP"
"1476","SMURF2P1-LRRC37BP1"
"1477","SNAPC5"
"1478","SNCAIP"
"1479","SND1"
"1480","SNHG14"
"1481","SNORA48"
"1482","SNORA63"
"1483","SNORA67"
"1484","SNORA70"
"1485","SNORA73A"
"1486","SNORA73B"
"1487","SNORA79B"
"1488","SNORD10"
"1489","SNORD13"
"1490","SNORD133"
"1491","SNORD141A"
"1492","SNORD15B"
"1493","SNORD49A"
"1494","SNORD97"
"1495","SNRNP48"
"1496","SNRNP70"
"1497","SNRPC"
"1498","SNRPD2"
"1499","SNU13"
"1500","SNUPN"
"1501","SNX11"
"1502","SNX12"
"1503","SNX17"
"1504","SNX3"
"1505","SNX4"
"1506","SNX8"
"1507","SOCS3"
"1508","SOD1"
"1509","SOD2"
"1510","SOS1"
"1511","SP4"
"1512","SPAG4"
"1513","SPAST"
"1514","SPATA21"
"1515","SPATA7"
"1516","SPICE1"
"1517","SPNS1"
"1518","SPOPL"
"1519","SPRTN"
"1520","SPRYD3"
"1521","SPSB1"
"1522","SQOR"
"1523","SRA1"
"1524","SREBF1"
"1525","SREK1"
"1526","SRGN"
"1527","SRPK1"
"1528","SRPRA"
"1529","SRSF10"
"1530","SRSF11"
"1531","SS18L1"
"1532","SSNA1"
"1533","SSR4"
"1534","SSU72"
"1535","ST8SIA4"
"1536","STAG2"
"1537","STARD7-AS1"
"1538","STK10"
"1539","STK16"
"1540","STN1"
"1541","STX10"
"1542","STX16"
"1543","STX4"
"1544","STX5"
"1545","STX6"
"1546","STX8"
"1547","STXBP3"
"1548","STYXL1"
"1549","SUGT1"
"1550","SUMO3"
"1551","SUZ12"
"1552","SVIL"
"1553","SYNJ2BP"
"1554","SZRD1"
"1555","TAB3"
"1556","TACC1"
"1557","TAF1"
"1558","TAF10"
"1559","TAF1B"
"1560","TAF1C"
"1561","TALAM1"
"1562","TALDO1"
"1563","TARBP1"
"1564","TASOR"
"1565","TBC1D10A"
"1566","TBC1D12"
"1567","TBC1D17"
"1568","TBC1D25"
"1569","TBC1D2B"
"1570","TBCEL"
"1571","TCEANC2"
"1572","TCERG1"
"1573","TCFL5"
"1574","TCHP"
"1575","TCIRG1"
"1576","TCTN1"
"1577","TECR"
"1578","TEF"
"1579","TERC"
"1580","TERF1"
"1581","TES"
"1582","TET1"
"1583","TET2"
"1584","TEX264"
"1585","TFAM"
"1586","TFCP2"
"1587","TFE3"
"1588","TGFBRAP1"
"1589","TGS1"
"1590","THAP2"
"1591","THAP5"
"1592","THAP9"
"1593","THAP9-AS1"
"1594","THEM4"
"1595","THNSL1"
"1596","THOC1"
"1597","THOC2"
"1598","THUMPD1"
"1599","TIA1"
"1600","TIGD2"
"1601","TIMM8B"
"1602","TIPARP-AS1"
"1603","TKT"
"1604","TM9SF4"
"1605","TMBIM1"
"1606","TMBIM6"
"1607","TMED1"
"1608","TMED9"
"1609","TMEM101"
"1610","TMEM106B"
"1611","TMEM11"
"1612","TMEM115"
"1613","TMEM123"
"1614","TMEM141"
"1615","TMEM147"
"1616","TMEM160"
"1617","TMEM168"
"1618","TMEM170A"
"1619","TMEM170B"
"1620","TMEM179B"
"1621","TMEM183A"
"1622","TMEM184B"
"1623","TMEM203"
"1624","TMEM208"
"1625","TMEM216"
"1626","TMEM219"
"1627","TMEM222"
"1628","TMEM223"
"1629","TMEM250"
"1630","TMEM258"
"1631","TMEM65"
"1632","TMEM67"
"1633","TMLHE"
"1634","TMSB10"
"1635","TMSB4X"
"1636","TMUB1"
"1637","TMX3"
"1638","TNFAIP3"
"1639","TNIP1"
"1640","TNRC6C"
"1641","TOM1"
"1642","TOMM22"
"1643","TOMM7"
"1644","TOP2B"
"1645","TOPBP1"
"1646","TPD52"
"1647","TPR"
"1648","TPRA1"
"1649","TPRG1L"
"1650","TRA2A"
"1651","TRAF3IP1"
"1652","TRAF5"
"1653","TRAPPC1"
"1654","TRAPPC10"
"1655","TRAPPC2L"
"1656","TRAPPC3"
"1657","TRAPPC5"
"1658","TRIM16L"
"1659","TRIM33"
"1660","TRIM62"
"1661","TRIP10"
"1662","TRIP11"
"1663","TRIP6"
"1664","TRIR"
"1665","TRMT10B"
"1666","TRMT112"
"1667","TRMT13"
"1668","TRNT"
"1669","TSPAN17"
"1670","TSPAN31"
"1671","TSPAN4"
"1672","TSPYL1"
"1673","TSR3"
"1674","TSSC4"
"1675","TTC21B"
"1676","TTC26"
"1677","TTC7A"
"1678","TTLL4"
"1679","TUBGCP3"
"1680","TUG1"
"1681","TUT4"
"1682","TXLNA"
"1683","TXLNG"
"1684","TXNL4B"
"1685","TXNRD1"
"1686","TYMP"
"1687","U2AF2"
"1688","U2SURP"
"1689","UBA5"
"1690","UBA52"
"1691","UBAP1"
"1692","UBB"
"1693","UBC"
"1694","UBE2D1"
"1695","UBE2L6"
"1696","UBE2M"
"1697","UBL4A"
"1698","UBN2"
"1699","UBP1"
"1700","UBQLN1-AS1"
"1701","UBXN4"
"1702","UBXN6"
"1703","UFC1"
"1704","UGGT2"
"1705","UHRF2"
"1706","UPF2"
"1707","UQCC2"
"1708","UQCR10"
"1709","UQCR11"
"1710","UQCRC1"
"1711","UQCRFS1"
"1712","UQCRH"
"1713","UQCRQ"
"1714","URB1-AS1"
"1715","UROD"
"1716","USB1"
"1717","USE1"
"1718","USF2"
"1719","USF3"
"1720","USP3-AS1"
"1721","USP31"
"1722","USP37"
"1723","USP40"
"1724","USP42"
"1725","USP47"
"1726","USP48"
"1727","USP5"
"1728","USP6NL"
"1729","USP8"
"1730","USPL1"
"1731","UXT"
"1732","UXT-AS1"
"1733","VASH1"
"1734","VASH1-AS1"
"1735","VAT1"
"1736","VCP"
"1737","VCPKMT"
"1738","VEGFB"
"1739","VEGFC"
"1740","VEZT"
"1741","VHL"
"1742","VIL1"
"1743","VKORC1"
"1744","VMP1"
"1745","VPS16"
"1746","VPS18"
"1747","VPS36"
"1748","VPS54"
"1749","WAC"
"1750","WAPL"
"1751","WASF1"
"1752","WASHC4"
"1753","WASL"
"1754","WDR13"
"1755","WDR27"
"1756","WDR73"
"1757","WDR74"
"1758","WDR89"
"1759","WNK4"
"1760","WRAP73"
"1761","WSB1"
"1762","XBP1"
"1763","XPA"
"1764","XPNPEP3"
"1765","XYLB"
"1766","YARS2"
"1767","YBX1"
"1768","YEATS2-AS1"
"1769","YIF1A"
"1770","YIF1B"
"1771","YIPF2"
"1772","YIPF3"
"1773","YIPF4"
"1774","YPEL1"
"1775","YRDC"
"1776","YTHDC2"
"1777","YY1"
"1778","ZBED5"
"1779","ZBTB1"
"1780","ZBTB14"
"1781","ZBTB24"
"1782","ZBTB26"
"1783","ZBTB33"
"1784","ZBTB34"
"1785","ZBTB37"
"1786","ZBTB44"
"1787","ZBTB8A"
"1788","ZC2HC1A"
"1789","ZC3H12A"
"1790","ZC3H14"
"1791","ZC3H7A"
"1792","ZC3HAV1L"
"1793","ZCCHC10"
"1794","ZCCHC14"
"1795","ZCWPW1"
"1796","ZDHHC21"
"1797","ZFAND2B"
"1798","ZFP14"
"1799","ZFP3"
"1800","ZFP30"
"1801","ZFP36"
"1802","ZFP36L2"
"1803","ZFP62"
"1804","ZFP90"
"1805","ZKSCAN1"
"1806","ZKSCAN4"
"1807","ZKSCAN5"
"1808","ZKSCAN8"
"1809","ZMAT5"
"1810","ZMYM1"
"1811","ZMYM2"
"1812","ZMYM5"
"1813","ZMYND11"
"1814","ZNF107"
"1815","ZNF112"
"1816","ZNF131"
"1817","ZNF142"
"1818","ZNF146"
"1819","ZNF180"
"1820","ZNF181"
"1821","ZNF182"
"1822","ZNF184"
"1823","ZNF2"
"1824","ZNF202"
"1825","ZNF205"
"1826","ZNF223"
"1827","ZNF225"
"1828","ZNF234"
"1829","ZNF248"
"1830","ZNF254"
"1831","ZNF260"
"1832","ZNF276"
"1833","ZNF280C"
"1834","ZNF280D"
"1835","ZNF283"
"1836","ZNF286A"
"1837","ZNF287"
"1838","ZNF30"
"1839","ZNF302"
"1840","ZNF318"
"1841","ZNF324B"
"1842","ZNF326"
"1843","ZNF337"
"1844","ZNF33A"
"1845","ZNF33B"
"1846","ZNF343"
"1847","ZNF346"
"1848","ZNF354A"
"1849","ZNF354B"
"1850","ZNF354C"
"1851","ZNF37A"
"1852","ZNF383"
"1853","ZNF397"
"1854","ZNF41"
"1855","ZNF420"
"1856","ZNF426"
"1857","ZNF430"
"1858","ZNF431"
"1859","ZNF432"
"1860","ZNF449"
"1861","ZNF473"
"1862","ZNF480"
"1863","ZNF500"
"1864","ZNF510"
"1865","ZNF511"
"1866","ZNF518A"
"1867","ZNF524"
"1868","ZNF527"
"1869","ZNF529"
"1870","ZNF542P"
"1871","ZNF557"
"1872","ZNF566"
"1873","ZNF567"
"1874","ZNF569"
"1875","ZNF570"
"1876","ZNF587"
"1877","ZNF596"
"1878","ZNF605"
"1879","ZNF606"
"1880","ZNF607"
"1881","ZNF611"
"1882","ZNF619"
"1883","ZNF621"
"1884","ZNF622"
"1885","ZNF625"
"1886","ZNF628"
"1887","ZNF638"
"1888","ZNF644"
"1889","ZNF654"
"1890","ZNF658"
"1891","ZNF664"
"1892","ZNF671"
"1893","ZNF674"
"1894","ZNF678"
"1895","ZNF688"
"1896","ZNF696"
"1897","ZNF704"
"1898","ZNF708"
"1899","ZNF710-AS1"
"1900","ZNF714"
"1901","ZNF738"
"1902","ZNF74"
"1903","ZNF749"
"1904","ZNF75A"
"1905","ZNF75D"
"1906","ZNF764"
"1907","ZNF770"
"1908","ZNF778"
"1909","ZNF782"
"1910","ZNF785"
"1911","ZNF786"
"1912","ZNF787"
"1913","ZNF8"
"1914","ZNF8-DT"
"1915","ZNF813"
"1916","ZNF816"
"1917","ZNF839"
"1918","ZNF84"
"1919","ZNF862"
"1920","ZNF891"
"1921","ZNFX1"
"1922","ZNHIT1"
"1923","ZNHIT2"
"1924","ZRANB3"
"1925","ZSCAN12"
"1926","ZSCAN21"
"1927","ZSCAN29"
"1928","ZSCAN32"
"1929","ZSWIM1"
"1930","ZSWIM9"
"1931","ZUP1"
"1932","ZWILCH"
"1933","ZXDC"
"1934","ZYG11B"
"1935","ZZZ3"
