	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	34	42	0	15	10	0
ClusterID:2	12	11	0	0	0	0
ClusterID:3	40	70	6	0	85	0
ClusterID:4	5	2	0	0	1	6
ClusterID:5	43	89	0	0	304	0
ClusterID:6	9	8	0	0	0	0
ClusterID:7	134	2291	0	0	179	0
ClusterID:8	130	1799	3	1	20	0
ClusterID:9	33	43	0	0	44	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	116	126	3	4	3926	1
ClusterID:12	36	40	0	1	236	0
ClusterID:13	102	158	1	0	649	0
ClusterID:14	360	7621	0	0	24021	0
ClusterID:15	28	31	0	0	13	99
ClusterID:16	147	3458	0	0	173	0
ClusterID:17	89	257	1	0	530	0
ClusterID:18	17	19	0	6	45	0
ClusterID:19	122	158	3	208	64	0
ClusterID:20	1	0	0	0	0	0
ClusterID:21	29	24	1	0	70	78
ClusterID:22	38	138	0	0	66	0
ClusterID:23	259	4722	3	1	13492	0
ClusterID:24	6	6	0	0	1	0
ClusterID:25	222	425	7	0	1312	1417
ClusterID:26	36	32	0	0	51	87
ClusterID:27	89	49	1	4	265	616
ClusterID:28	101	279	0	0	258	400
ClusterID:29	219	2377	0	4	1058	0
ClusterID:30	209	1063	0	1	5158	0
ClusterID:31	305	1486	0	1	24549	0
ClusterID:32	57	67	3	0	94	606
ClusterID:33	156	153	0	0	21	0
ClusterID:34	53	96	0	0	16	0
ClusterID:35	209	402	1	4	5818	0
ClusterID:36	41	137	3	0	10	0
ClusterID:37	228	2209	0	0	5507	0
ClusterID:38	283	417	4	38	8191	1
ClusterID:39	152	1038	0	0	31	0
ClusterID:40	1	0	0	0	0	0
ClusterID:41	405	676	15	27	33912	0
ClusterID:42	159	307	6	1	1146	1887
ClusterID:43	7	11	1	0	1	0
ClusterID:44	17	26	0	0	0	0
ClusterID:45	170	919	0	0	2633	0
ClusterID:46	28	63	0	0	33	0
ClusterID:47	4	3	0	0	0	0
ClusterID:48	202	552	4	1	4219	16
ClusterID:49	48	20	21	4	441	3
ClusterID:50	14	20	0	0	0	0
ClusterID:51	19	18	0	0	0	0
ClusterID:52	62	212	1	0	1	0
ClusterID:53	15	11	0	0	21	0
ClusterID:54	11	11	0	0	0	0
ClusterID:55	67	109	1	6	394	1
ClusterID:56	111	207	78	15	2352	0
ClusterID:57	158	173	3	36	1530	2585
ClusterID:58	49	67	4	0	330	0
ClusterID:59	27	77	0	0	6	0
ClusterID:60	16	13	3	1	11	55
ClusterID:61	53	26	1	0	50	478
ClusterID:62	28	37	1	0	24	0
ClusterID:63	2	1	0	0	0	0
ClusterID:64	101	235	1	0	459	0
ClusterID:65	120	347	4	0	699	0
ClusterID:66	145	561	0	0	4756	0
ClusterID:67	91	164	6	248	53	0
ClusterID:68	227	236	0	0	0	0
ClusterID:69	27	79	0	0	0	0
ClusterID:70	6	6	0	0	0	0
ClusterID:71	38	61	0	1	265	0
ClusterID:72	1	0	0	0	0	0
ClusterID:73	83	143	6	0	568	0
ClusterID:74	161	691	21	0	1229	0
ClusterID:75	14	19	0	0	3	0
ClusterID:76	35	88	10	0	18	0
ClusterID:77	81	109	6	0	158	400
ClusterID:78	174	202	33	947	797	30
ClusterID:79	9	14	0	0	0	0
ClusterID:80	18	22	0	0	3	0
ClusterID:81	5	4	0	1	1	0
ClusterID:82	113	321	0	1	332	0
ClusterID:83	46	46	0	0	0	0
ClusterID:84	113	113	0	0	0	0
ClusterID:85	22	22	0	0	0	0
ClusterID:86	21	20	0	0	0	0
ClusterID:87	21	42	0	0	0	0
ClusterID:88	97	89	7	0	165	1508
ClusterID:89	125	238	1	0	907	0
ClusterID:90	119	485	0	0	1459	0
ClusterID:91	92	102	8	424	148	57
ClusterID:92	117	126	0	0	0	0
ClusterID:93	19	35	0	0	1	0
ClusterID:94	116	649	0	1	162	2
ClusterID:95	22	25	0	1	15	0
ClusterID:96	65	152	1	3	194	0
ClusterID:97	69	120	1	0	559	0
ClusterID:98	30	18	0	0	30	39
ClusterID:99	63	120	0	0	20	0
ClusterID:100	333	1617	0	0	28451	0
ClusterID:101	52	51	0	0	4	0
ClusterID:102	71	62	78	12	187	1003
ClusterID:103	12	14	0	0	0	0
ClusterID:104	131	148	1	14	5164	0
ClusterID:105	83	159	55	0	731	0
ClusterID:106	16	16	0	0	0	0
ClusterID:107	14	20	0	0	10	10
ClusterID:108	21	40	0	0	0	0
ClusterID:109	15	22	0	0	10	0
ClusterID:110	135	578	1	4	514	0
ClusterID:111	3	2	0	0	0	0
ClusterID:112	16	41	0	6	0	0
ClusterID:113	32	67	0	1	8	0
ClusterID:114	25	28	6	0	6	0
ClusterID:115	436	1293	0	0	59685	0
ClusterID:116	118	51	6	72	951	523
ClusterID:117	10	9	0	0	0	0
ClusterID:118	43	167	0	0	0	0
ClusterID:119	21	36	3	0	16	0
ClusterID:120	33	31	3	0	3	0
ClusterID:121	13	14	0	0	0	0
ClusterID:122	12	12	0	0	0	0
ClusterID:123	544	3998	3	1	1507	1304
ClusterID:124	7	10	0	0	0	0
ClusterID:125	263	1162	1	278	3238	0
ClusterID:126	176	771	2	3	2610	0
ClusterID:127	4	3	0	0	0	0
ClusterID:128	71	102	0	0	108	0
ClusterID:129	2	1	0	0	0	0
ClusterID:130	49	118	0	1	6	0
ClusterID:131	30	33	0	0	79	0
ClusterID:132	1	0	0	0	0	0
ClusterID:133	88	91	6	4	1963	0
ClusterID:134	10	17	0	3	6	0
ClusterID:135	130	508	0	0	298	0
ClusterID:136	91	90	0	0	0	0
ClusterID:137	5	5	0	0	0	0
ClusterID:138	3	2	0	0	0	0
ClusterID:139	6	5	0	0	0	0
ClusterID:140	8	5	0	3	2	3
ClusterID:141	27	62	21	0	13	0
ClusterID:142	8	10	3	0	3	0
ClusterID:143	14	14	0	0	6	0
ClusterID:144	138	372	0	0	5475	0
ClusterID:145	72	154	1	1	596	0
ClusterID:146	96	433	0	0	15	0
ClusterID:147	23	12	0	20	73	0
ClusterID:148	12	13	0	0	11	0
ClusterID:149	157	133	7	104	279	793
ClusterID:150	90	239	0	4	292	0
ClusterID:151	21	74	0	0	0	0
ClusterID:152	24	41	0	3	3	0
ClusterID:153	217	2239	0	2	2622	0
ClusterID:154	34	41	0	0	0	0
ClusterID:155	130	134	45	1770	1228	45
ClusterID:156	24	24	0	3	15	0
ClusterID:157	44	212	0	0	270	0
ClusterID:158	141	1311	0	0	2927	0
ClusterID:159	6	5	0	0	0	0
ClusterID:160	18	41	1	0	1	0
ClusterID:161	25	41	3	0	46	0
ClusterID:162	38	49	1	0	31	0
ClusterID:163	16	16	0	0	0	0
ClusterID:164	18	13	0	2	15	0
ClusterID:165	430	4243	0	8	17457	0
ClusterID:166	18	21	0	0	0	0
ClusterID:167	186	214	91	5	2799	10
ClusterID:168	69	69	3	0	3	0
ClusterID:169	120	109	3	30	96	163
ClusterID:170	147	496	36	0	980	0
ClusterID:171	17	29	0	7	10	0
ClusterID:172	6	5	0	0	0	0
ClusterID:173	83	410	6	15	17	0
ClusterID:174	25	38	0	0	34	0
ClusterID:175	7	10	0	3	0	0
ClusterID:176	19	17	0	0	3	0
ClusterID:177	41	50	1	3	306	0
ClusterID:178	173	1005	0	0	1	0
ClusterID:179	125	226	1	0	1200	0
ClusterID:180	66	65	0	0	1	0
ClusterID:181	33	12	1	2	57	159
ClusterID:182	14	29	0	0	0	0
ClusterID:183	266	2124	6	0	46	58
ClusterID:184	168	3165	0	0	26	0
ClusterID:185	141	151	0	0	920	2871
ClusterID:186	208	145	0	0	15409	50
ClusterID:187	45	130	0	0	146	0
ClusterID:188	52	182	10	0	11	0
ClusterID:189	115	645	0	0	397	0
ClusterID:190	36	43	1	0	66	0
ClusterID:191	1	0	0	0	0	0
ClusterID:192	26	64	0	0	10	0
ClusterID:193	29	14	0	0	276	0
ClusterID:194	13	12	0	0	0	0
ClusterID:195	77	53	0	946	61	26
ClusterID:196	215	2666	0	121	4868	2846
