	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	2	1	0	0	0	0
ClusterID:3	4	3	0	0	0	0
ClusterID:4	5	2	0	0	4	0
ClusterID:5	23	13	0	91	1	0
ClusterID:6	6	5	0	0	0	0
ClusterID:7	12	3	0	0	41	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	2	1	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	4	3	0	0	0	0
ClusterID:15	20	77	0	0	171	0
ClusterID:16	93	58	0	0	3655	0
ClusterID:17	6	11	0	0	0	0
ClusterID:18	75	499	0	0	2346	0
ClusterID:19	17	15	0	6	5	0
ClusterID:20	45	44	0	80	12	0
ClusterID:21	8	12	1	1	1	0
ClusterID:22	10	6	0	0	11	10
ClusterID:23	64	230	0	0	1431	0
ClusterID:24	51	666	0	0	1	0
ClusterID:25	26	97	0	0	66	0
ClusterID:26	69	173	0	0	1772	0
ClusterID:27	28	132	0	0	73	0
ClusterID:28	84	280	0	0	2415	0
ClusterID:29	4	4	0	0	1	0
ClusterID:30	13	44	0	0	11	0
ClusterID:31	6	10	0	0	0	0
ClusterID:32	2	1	0	0	0	0
ClusterID:33	16	20	1	0	17	0
ClusterID:34	3	0	0	0	0	3
ClusterID:35	18	59	0	0	0	0
ClusterID:36	4	0	0	6	0	0
ClusterID:37	8	16	0	2	3	0
ClusterID:38	8	13	0	1	1	0
ClusterID:39	2	1	0	0	0	0
ClusterID:40	35	37	0	0	351	0
ClusterID:41	5	4	0	0	0	0
ClusterID:42	22	60	3	0	2	0
ClusterID:43	13	9	6	0	55	6
ClusterID:44	12	23	0	0	6	0
ClusterID:45	1	0	0	0	0	0
ClusterID:46	20	73	0	0	1	0
ClusterID:47	18	20	0	14	36	0
ClusterID:48	38	13	0	0	264	0
ClusterID:49	17	17	0	0	91	0
ClusterID:50	5	6	0	0	0	0
ClusterID:51	3	2	0	0	0	0
ClusterID:52	8	7	0	0	1	0
ClusterID:53	21	101	0	0	10	0
ClusterID:54	2	1	0	0	0	0
ClusterID:55	6	9	0	0	0	0
ClusterID:56	7	14	0	0	1	0
ClusterID:57	2	1	0	0	0	0
ClusterID:58	3	3	0	0	1	0
ClusterID:59	3	2	0	0	0	0
ClusterID:60	3	2	0	0	0	0
ClusterID:61	51	14	0	0	420	160
ClusterID:62	4	4	1	0	1	0
ClusterID:63	45	286	0	0	232	0
ClusterID:64	1	0	0	0	0	0
ClusterID:65	19	33	0	0	120	0
ClusterID:66	38	286	0	0	284	0
ClusterID:67	15	32	0	0	78	0
ClusterID:68	2	1	0	0	0	0
ClusterID:69	3	2	0	0	0	0
ClusterID:70	56	694	0	0	88	0
ClusterID:71	21	8	0	0	116	0
ClusterID:72	25	57	0	0	117	0
ClusterID:73	30	98	0	0	0	0
ClusterID:74	28	18	0	0	225	0
ClusterID:75	13	25	0	0	10	0
ClusterID:76	2	1	0	0	0	0
ClusterID:77	2	1	0	0	0	0
ClusterID:78	5	3	0	1	0	0
ClusterID:79	12	14	0	0	23	0
ClusterID:80	26	90	0	0	190	0
ClusterID:81	1	0	0	0	0	0
ClusterID:82	2	1	0	0	0	0
ClusterID:83	3	1	0	0	1	0
ClusterID:84	2	1	0	0	0	0
ClusterID:85	9	14	0	0	1	0
ClusterID:86	9	11	0	0	0	0
ClusterID:87	9	8	0	0	0	0
ClusterID:88	6	9	0	0	0	0
ClusterID:89	4	4	0	0	0	0
ClusterID:90	20	89	0	0	43	0
ClusterID:91	47	313	0	0	798	0
ClusterID:92	46	207	0	0	1	0
ClusterID:93	2	1	0	0	0	0
ClusterID:94	28	15	0	0	359	0
ClusterID:95	7	5	3	0	2	9
ClusterID:96	5	5	0	3	3	3
ClusterID:97	9	3	0	0	13	28
ClusterID:98	2	1	0	0	0	0
ClusterID:99	1	0	0	0	0	0
ClusterID:100	4	3	0	0	0	0
ClusterID:101	4	4	0	0	0	0
ClusterID:102	57	56	3	137	24	0
ClusterID:103	44	86	0	0	244	0
ClusterID:104	1	0	0	0	0	0
ClusterID:105	2	1	0	0	0	0
ClusterID:106	51	29	0	0	783	226
ClusterID:107	40	109	36	0	214	0
ClusterID:108	11	19	1	0	1	0
ClusterID:109	1	0	0	0	0	0
ClusterID:110	38	45	0	0	496	0
ClusterID:111	17	3	0	0	118	0
ClusterID:112	22	72	0	0	21	0
ClusterID:113	26	28	0	0	325	0
ClusterID:114	1	0	0	0	0	0
ClusterID:115	2	1	0	0	0	0
ClusterID:116	12	27	0	0	66	0
ClusterID:117	34	17	0	0	326	154
ClusterID:118	4	4	0	0	0	0
ClusterID:119	3	2	0	0	0	0
ClusterID:120	2	1	0	0	0	0
ClusterID:121	2	1	0	0	0	0
ClusterID:122	3	2	0	0	0	0
ClusterID:123	6	5	0	0	0	0
ClusterID:124	3	3	0	0	3	0
ClusterID:125	22	70	0	0	0	0
ClusterID:126	1	0	0	0	0	0
ClusterID:127	1	0	0	0	0	0
ClusterID:128	2	1	0	0	0	0
ClusterID:129	23	8	0	0	231	0
ClusterID:130	37	397	0	0	105	0
ClusterID:131	6	5	0	0	0	0
ClusterID:132	2	1	0	0	0	0
ClusterID:133	4	3	0	0	0	0
ClusterID:134	1	0	0	0	0	0
ClusterID:135	11	4	0	0	19	21
ClusterID:136	3	2	0	0	0	0
ClusterID:137	18	48	0	0	0	0
ClusterID:138	11	12	0	0	24	28
ClusterID:139	3	2	0	0	0	0
ClusterID:140	1	0	0	0	0	0
ClusterID:141	15	41	0	0	49	0
ClusterID:142	16	24	1	0	17	46
ClusterID:143	2	1	0	0	0	0
ClusterID:144	3	2	0	0	0	0
ClusterID:145	4	3	0	0	0	0
ClusterID:146	7	12	0	0	6	0
ClusterID:147	3	2	0	0	0	0
ClusterID:148	36	116	0	0	1	0
ClusterID:149	6	1	1	6	3	0
ClusterID:150	1	0	0	0	0	0
ClusterID:151	6	4	3	0	7	0
ClusterID:152	10	17	0	0	6	0
ClusterID:153	8	12	0	0	0	0
ClusterID:154	4	3	0	0	0	0
ClusterID:155	14	6	0	0	36	0
ClusterID:156	29	70	0	0	184	0
ClusterID:157	26	21	0	0	197	0
ClusterID:158	39	97	0	0	237	0
ClusterID:159	6	5	0	0	0	0
ClusterID:160	7	17	0	0	10	0
ClusterID:161	19	6	0	0	171	0
ClusterID:162	2	1	0	0	0	0
ClusterID:163	2	1	0	0	0	0
ClusterID:164	57	537	0	0	7	0
ClusterID:165	39	56	0	0	278	233
ClusterID:166	6	5	0	11	1	1
ClusterID:167	27	139	0	0	2	0
ClusterID:168	13	12	6	0	8	30
ClusterID:169	88	498	0	0	1687	0
ClusterID:170	22	14	1	0	58	100
ClusterID:171	49	159	0	3	316	0
ClusterID:172	78	23	1	1	2250	6
ClusterID:173	2	1	0	0	0	0
ClusterID:174	41	302	0	0	132	0
ClusterID:175	24	98	0	0	9	0
ClusterID:176	5	4	0	3	0	0
ClusterID:177	11	6	0	0	43	0
ClusterID:178	16	22	0	0	21	28
ClusterID:179	11	6	0	0	30	0
ClusterID:180	20	85	0	0	2	0
ClusterID:181	3	2	0	0	0	0
ClusterID:182	7	8	0	0	0	0
ClusterID:183	64	127	0	0	1712	0
ClusterID:184	25	26	0	12	84	0
ClusterID:185	3	3	0	0	1	0
ClusterID:186	2	1	0	0	0	0
ClusterID:187	2	1	0	0	0	0
ClusterID:188	2	1	0	0	0	0
ClusterID:189	6	5	0	0	6	0
ClusterID:190	23	116	0	0	55	0
ClusterID:191	11	28	0	7	15	0
ClusterID:192	7	6	0	0	0	0
ClusterID:193	6	4	0	0	2	0
ClusterID:194	5	6	0	0	0	0
ClusterID:195	39	38	0	0	0	0
ClusterID:196	7	11	0	0	0	0
ClusterID:197	35	183	0	0	379	0
ClusterID:198	10	9	0	0	1	0
ClusterID:199	18	68	0	0	0	0
ClusterID:200	3	3	0	0	0	0
ClusterID:201	1	0	0	0	0	0
ClusterID:202	4	5	0	0	1	0
ClusterID:203	2	1	0	0	0	0
ClusterID:204	2	1	0	0	0	0
ClusterID:205	3	2	0	0	0	0
ClusterID:206	1	0	0	0	0	0
ClusterID:207	2	1	0	0	1	0
ClusterID:208	1	0	0	0	0	0
ClusterID:209	5	4	0	0	0	0
ClusterID:210	14	5	0	1	34	0
ClusterID:211	3	2	0	0	0	0
ClusterID:212	17	15	0	0	40	9
ClusterID:213	5	2	3	0	6	0
