	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	35	25	0	0	220	0
ClusterID:3	10	29	0	0	15	0
ClusterID:4	4	4	0	0	0	0
ClusterID:5	5	3	0	1	0	0
ClusterID:6	13	9	0	0	68	0
ClusterID:7	23	13	0	91	1	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	78	558	0	0	2485	0
ClusterID:13	15	13	0	6	4	0
ClusterID:14	46	46	0	80	12	0
ClusterID:15	9	13	1	1	3	0
ClusterID:16	10	6	0	0	11	10
ClusterID:17	64	230	0	0	1431	0
ClusterID:18	53	684	0	0	1	0
ClusterID:19	69	173	0	0	1772	0
ClusterID:20	26	7	0	1	65	114
ClusterID:21	28	132	0	0	73	0
ClusterID:22	84	280	0	0	2415	0
ClusterID:23	3	2	0	0	0	0
ClusterID:24	5	8	0	0	0	0
ClusterID:25	2	1	0	0	0	0
ClusterID:26	16	21	1	0	17	0
ClusterID:27	3	0	0	0	0	3
ClusterID:28	4	0	0	6	0	0
ClusterID:29	7	12	0	1	1	0
ClusterID:30	35	37	0	0	351	0
ClusterID:31	5	4	0	0	0	0
ClusterID:32	29	87	3	0	2	0
ClusterID:33	4	4	0	0	0	0
ClusterID:34	9	19	0	2	3	0
ClusterID:35	12	22	0	0	6	0
ClusterID:36	1	0	0	0	0	0
ClusterID:37	1	0	0	0	0	0
ClusterID:38	20	73	0	0	1	0
ClusterID:39	20	20	0	14	50	0
ClusterID:40	16	14	0	0	105	0
ClusterID:41	3	2	0	0	0	0
ClusterID:42	8	7	0	0	1	0
ClusterID:43	1	0	0	0	0	0
ClusterID:44	2	1	0	0	0	0
ClusterID:45	12	32	0	0	3	0
ClusterID:46	4	3	0	0	1	0
ClusterID:47	3	3	0	0	1	0
ClusterID:48	3	2	0	0	0	0
ClusterID:49	3	2	0	0	0	0
ClusterID:50	54	23	0	0	430	181
ClusterID:51	3	3	1	0	1	0
ClusterID:52	35	269	0	0	151	0
ClusterID:53	1	0	0	0	0	0
ClusterID:54	18	29	0	0	120	0
ClusterID:55	38	286	0	0	284	0
ClusterID:56	17	37	0	0	91	0
ClusterID:57	7	2	0	0	15	0
ClusterID:58	10	19	0	0	3	0
ClusterID:59	19	69	0	15	13	0
ClusterID:60	6	10	0	0	0	0
ClusterID:61	22	65	0	0	0	0
ClusterID:62	30	76	1	0	1	3
ClusterID:63	24	15	0	0	216	0
ClusterID:64	13	30	0	0	6	0
ClusterID:65	2	1	0	0	0	0
ClusterID:66	1	0	0	0	0	0
ClusterID:67	21	51	0	0	153	0
ClusterID:68	1	0	0	0	0	0
ClusterID:69	2	1	0	0	0	0
ClusterID:70	4	3	0	0	0	0
ClusterID:71	21	14	0	0	20	87
ClusterID:72	9	14	0	0	1	0
ClusterID:73	4	3	0	0	1	0
ClusterID:74	2	1	0	0	0	0
ClusterID:75	50	365	0	0	924	0
ClusterID:76	4	3	0	0	0	0
ClusterID:77	29	19	0	0	325	0
ClusterID:78	7	5	3	0	2	9
ClusterID:79	8	2	0	0	9	28
ClusterID:80	58	703	0	0	85	0
ClusterID:81	2	1	0	0	0	0
ClusterID:82	1	0	0	0	0	0
ClusterID:83	61	66	3	137	25	0
ClusterID:84	1	0	0	0	0	0
ClusterID:85	41	116	36	0	214	0
ClusterID:86	8	12	1	0	1	0
ClusterID:87	38	51	0	0	496	0
ClusterID:88	14	2	0	0	76	0
ClusterID:89	1	0	0	0	0	0
ClusterID:90	12	19	0	0	11	15
ClusterID:91	13	31	0	0	78	0
ClusterID:92	20	69	0	0	24	0
ClusterID:93	34	18	0	0	326	154
ClusterID:94	7	2	0	0	15	0
ClusterID:95	6	7	0	0	10	0
ClusterID:96	2	1	0	0	0	0
ClusterID:97	2	1	0	0	0	0
ClusterID:98	5	5	0	3	3	3
ClusterID:99	28	22	0	0	300	0
ClusterID:100	6	5	0	0	0	0
ClusterID:101	3	3	0	0	3	0
ClusterID:102	16	50	0	0	0	0
ClusterID:103	1	0	0	0	0	0
ClusterID:104	1	0	0	0	0	0
ClusterID:105	2	1	0	0	0	0
ClusterID:106	23	14	0	0	231	0
ClusterID:107	38	381	0	0	105	0
ClusterID:108	3	2	0	0	1	0
ClusterID:109	7	7	0	0	0	0
ClusterID:110	1	0	0	0	0	0
ClusterID:111	9	18	0	0	3	0
ClusterID:112	4	3	0	0	0	0
ClusterID:113	4	4	0	0	1	0
ClusterID:114	2	1	0	0	0	0
ClusterID:115	12	15	0	0	24	28
ClusterID:116	1	0	0	0	0	0
ClusterID:117	16	23	1	0	24	53
ClusterID:118	3	2	0	0	0	0
ClusterID:119	2	1	0	0	0	0
ClusterID:120	16	72	0	0	6	0
ClusterID:121	1	0	0	0	0	0
ClusterID:122	14	5	0	0	22	40
ClusterID:123	3	2	0	0	0	0
ClusterID:124	1	0	0	0	0	0
ClusterID:125	12	12	0	0	28	0
ClusterID:126	35	106	0	0	1	0
ClusterID:127	1	0	0	0	0	0
ClusterID:128	9	4	1	6	3	0
ClusterID:129	3	2	0	0	0	0
ClusterID:130	25	58	0	0	105	0
ClusterID:131	3	2	0	0	0	0
ClusterID:132	4	4	0	0	1	0
ClusterID:133	15	28	0	0	0	0
ClusterID:134	1	0	0	0	0	0
ClusterID:135	30	71	0	0	231	0
ClusterID:136	27	25	0	0	178	0
ClusterID:137	2	1	0	0	0	0
ClusterID:138	2	1	0	0	0	0
ClusterID:139	29	75	0	0	205	0
ClusterID:140	6	5	0	0	0	0
ClusterID:141	4	1	0	0	3	0
ClusterID:142	22	11	0	0	210	0
ClusterID:143	2	1	0	0	0	0
ClusterID:144	60	559	0	1	7	0
ClusterID:145	39	56	0	0	278	233
ClusterID:146	6	5	0	11	1	1
ClusterID:147	1	0	0	0	0	0
ClusterID:148	28	140	0	0	2	0
ClusterID:149	12	12	6	0	6	28
ClusterID:150	6	5	0	0	0	0
ClusterID:151	90	514	0	0	1799	0
ClusterID:152	23	14	1	0	63	114
ClusterID:153	5	5	0	1	1	0
ClusterID:154	35	59	0	0	196	0
ClusterID:155	16	22	0	0	1	0
ClusterID:156	2	1	0	0	0	0
ClusterID:157	45	331	0	0	133	0
ClusterID:158	21	91	0	0	6	0
ClusterID:159	17	24	0	0	21	28
ClusterID:160	11	6	0	0	30	0
ClusterID:161	20	91	0	0	3	0
ClusterID:162	5	5	0	0	0	0
ClusterID:163	3	2	0	0	0	0
ClusterID:164	62	123	0	0	1748	0
ClusterID:165	29	33	0	12	111	0
ClusterID:166	2	1	0	0	0	0
ClusterID:167	2	1	0	0	0	0
ClusterID:168	13	19	0	0	0	0
ClusterID:169	2	1	0	0	0	0
ClusterID:170	27	140	0	0	66	0
ClusterID:171	10	22	0	7	10	0
ClusterID:172	7	6	0	0	2	0
ClusterID:173	8	8	0	0	0	0
ClusterID:174	36	191	0	0	379	0
ClusterID:175	6	5	0	0	1	0
ClusterID:176	3	3	0	0	0	0
ClusterID:177	4	5	0	0	0	0
ClusterID:178	4	5	0	0	1	0
ClusterID:179	3	2	0	0	0	0
ClusterID:180	1	0	0	0	0	0
ClusterID:181	2	1	0	0	0	0
ClusterID:182	5	5	0	0	0	0
ClusterID:183	2	1	0	0	1	0
ClusterID:184	1	0	0	0	0	0
ClusterID:185	19	4	0	1	53	15
ClusterID:186	13	0	0	0	78	0
ClusterID:187	36	62	0	0	129	7
ClusterID:188	7	10	0	0	0	0
ClusterID:189	22	110	0	0	0	0
ClusterID:190	2	1	0	0	0	0
ClusterID:191	28	50	0	1	31	78
ClusterID:192	35	20	0	1	243	231
ClusterID:193	2	1	0	0	0	0
ClusterID:194	8	8	1	0	6	0
ClusterID:195	4	6	0	0	0	0
