	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	2	0	0	0	0
ClusterID:2	9	6	0	0	6	0
ClusterID:3	7	6	0	0	0	0
ClusterID:4	25	55	0	0	0	0
ClusterID:5	4	3	0	0	1	0
ClusterID:6	6	6	0	0	0	0
ClusterID:7	16	9	3	1	18	78
ClusterID:8	60	26	0	0	1326	0
ClusterID:9	2	1	0	0	0	0
ClusterID:10	4	2	3	0	3	0
ClusterID:11	10	10	0	0	13	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	112	1873	0	0	140	0
ClusterID:14	115	754	0	0	4747	0
ClusterID:15	7	8	0	0	0	0
ClusterID:16	5	1	0	6	0	0
ClusterID:17	4	5	0	0	3	0
ClusterID:18	18	39	0	0	10	0
ClusterID:19	353	3437	0	8	16906	0
ClusterID:20	73	131	55	0	770	0
ClusterID:21	4	5	1	0	3	0
ClusterID:22	1	0	0	0	0	0
ClusterID:23	137	1804	0	0	5504	0
ClusterID:24	5	4	0	0	0	0
ClusterID:25	14	19	1	1	6	0
ClusterID:26	2	1	0	0	0	0
ClusterID:27	125	2982	0	0	43	0
ClusterID:28	16	8	0	1	19	28
ClusterID:29	45	264	0	0	15	0
ClusterID:30	47	208	0	0	0	0
ClusterID:31	73	309	1	0	927	0
ClusterID:32	91	99	3	174	44	0
ClusterID:33	1	0	0	0	0	0
ClusterID:34	61	30	0	0	862	407
ClusterID:35	42	102	0	0	513	0
ClusterID:36	140	614	0	0	4578	0
ClusterID:37	59	263	0	0	22	0
ClusterID:38	117	1760	0	1	109	0
ClusterID:39	21	58	0	0	13	0
ClusterID:40	5	5	0	0	0	0
ClusterID:41	6	6	0	0	0	0
ClusterID:42	2	1	0	0	0	0
ClusterID:43	16	16	0	0	0	0
ClusterID:44	26	55	0	0	34	43
ClusterID:45	1	0	0	0	0	0
ClusterID:46	93	657	0	0	2863	0
ClusterID:47	50	41	0	0	490	0
ClusterID:48	178	685	0	0	8646	0
ClusterID:49	21	32	1	0	26	61
ClusterID:50	5	5	0	0	2	0
ClusterID:51	4	3	0	0	0	0
ClusterID:52	2	1	0	0	0	0
ClusterID:53	153	2102	0	0	8240	0
ClusterID:54	80	404	0	0	695	0
ClusterID:55	104	286	1	6	1214	0
ClusterID:56	1	0	0	0	0	0
ClusterID:57	19	50	0	0	31	0
ClusterID:58	9	8	0	0	0	0
ClusterID:59	43	95	0	0	388	0
ClusterID:60	1	0	0	0	0	0
ClusterID:61	2	1	0	0	0	0
ClusterID:62	3	2	0	0	0	0
ClusterID:63	26	68	0	0	0	0
ClusterID:64	3	3	0	0	0	0
ClusterID:65	96	245	0	0	3223	0
ClusterID:66	65	49	0	379	45	216
ClusterID:67	13	16	0	0	15	21
ClusterID:68	17	40	0	0	0	0
ClusterID:69	81	254	0	3	915	0
ClusterID:70	15	13	0	0	81	0
ClusterID:71	63	40	4	6	134	360
ClusterID:72	39	206	0	0	248	0
ClusterID:73	37	231	0	0	2	0
ClusterID:74	95	180	0	0	397	785
ClusterID:75	30	34	0	12	156	0
ClusterID:76	22	42	1	0	44	0
ClusterID:77	9	11	1	0	6	0
ClusterID:78	15	16	0	0	0	0
ClusterID:79	2	1	0	0	0	0
ClusterID:80	17	10	0	0	6	10
ClusterID:81	50	90	0	0	0	0
ClusterID:82	137	995	0	0	3589	0
ClusterID:83	1	0	0	0	0	0
ClusterID:84	10	12	1	0	1	0
ClusterID:85	37	122	0	0	2	0
ClusterID:86	100	465	1	0	46	55
ClusterID:87	44	101	0	0	3	0
ClusterID:88	13	18	3	0	10	0
ClusterID:89	233	462	0	1	16081	0
ClusterID:90	1	0	0	0	0	0
ClusterID:91	16	16	0	0	0	0
ClusterID:92	10	11	0	0	10	0
ClusterID:93	3	3	0	0	0	0
ClusterID:94	8	11	0	0	17	0
ClusterID:95	29	28	0	0	203	0
ClusterID:96	3	2	0	0	0	0
ClusterID:97	2	1	0	0	0	0
ClusterID:98	14	13	0	0	0	0
ClusterID:99	1	0	0	0	0	0
ClusterID:100	4	5	0	0	0	0
ClusterID:101	43	173	0	0	438	0
ClusterID:102	391	836	0	0	52326	0
ClusterID:103	66	185	0	0	1004	0
ClusterID:104	18	31	0	0	6	0
ClusterID:105	48	157	0	0	153	0
ClusterID:106	15	14	0	0	0	0
ClusterID:107	65	363	0	1	387	0
ClusterID:108	6	5	0	0	0	0
ClusterID:109	94	126	0	0	3160	0
ClusterID:110	13	21	0	0	10	0
ClusterID:111	35	35	0	0	0	0
ClusterID:112	20	12	0	0	24	15
ClusterID:113	20	7	0	0	87	25
ClusterID:114	74	952	0	0	250	0
ClusterID:115	1	0	0	0	0	0
ClusterID:116	4	3	0	0	0	0
ClusterID:117	60	163	0	2	285	0
ClusterID:118	27	34	0	0	1	0
ClusterID:119	8	7	0	0	1	3
ClusterID:120	46	190	10	0	16	0
ClusterID:121	81	127	0	0	689	993
ClusterID:122	72	83	0	0	807	198
ClusterID:123	26	47	0	0	276	0
ClusterID:124	99	568	0	0	228	0
ClusterID:125	10	11	0	0	0	0
ClusterID:126	18	10	0	0	66	0
ClusterID:127	20	36	3	0	15	0
ClusterID:128	18	20	0	1	37	0
ClusterID:129	8	5	0	0	1	6
ClusterID:130	8	8	3	0	5	0
ClusterID:131	5	4	0	0	0	0
ClusterID:132	45	27	0	10	600	0
ClusterID:133	45	61	1	1	381	0
ClusterID:134	31	29	6	72	37	0
ClusterID:135	5	4	0	0	0	0
ClusterID:136	8	11	0	0	1	0
ClusterID:137	13	13	0	0	0	0
ClusterID:138	140	820	0	0	74	0
ClusterID:139	32	95	0	0	0	0
ClusterID:140	11	11	0	0	13	0
ClusterID:141	58	146	0	0	280	0
ClusterID:142	68	74	0	99	14	1
ClusterID:143	53	110	0	0	362	0
ClusterID:144	1	0	0	0	0	0
ClusterID:145	34	51	0	0	351	0
ClusterID:146	15	15	6	1	15	6
ClusterID:147	65	302	0	1	126	1
ClusterID:148	7	5	0	0	3	0
ClusterID:149	4	5	1	0	3	3
ClusterID:150	1	0	0	0	0	0
ClusterID:151	42	42	0	0	0	0
ClusterID:152	9	9	0	0	0	0
ClusterID:153	30	76	0	0	0	0
ClusterID:154	8	7	0	0	0	0
ClusterID:155	94	112	78	21	1801	0
ClusterID:156	2	1	0	0	0	0
ClusterID:157	15	16	0	0	0	0
ClusterID:158	4	3	1	0	1	0
ClusterID:159	22	80	0	0	0	0
ClusterID:160	1	0	0	0	0	0
ClusterID:161	2	1	0	0	0	0
ClusterID:162	64	70	1	0	56	410
ClusterID:163	12	12	0	0	0	0
ClusterID:164	48	74	4	0	265	0
ClusterID:165	34	46	0	0	40	96
ClusterID:166	4	4	0	0	0	0
ClusterID:167	2	1	0	0	0	0
ClusterID:168	53	229	0	0	142	0
ClusterID:169	6	11	0	0	1	0
ClusterID:170	47	271	0	0	249	0
ClusterID:171	74	70	0	0	555	186
ClusterID:172	3	2	0	0	0	0
ClusterID:173	6	5	0	0	0	0
ClusterID:174	61	104	6	0	128	0
ClusterID:175	251	366	0	34	7730	1
ClusterID:176	16	19	0	0	10	0
ClusterID:177	30	75	0	0	31	52
ClusterID:178	28	101	0	0	107	0
ClusterID:179	1	0	0	0	0	0
ClusterID:180	17	33	0	0	45	0
ClusterID:181	9	9	0	0	0	0
ClusterID:182	6	9	0	0	0	0
ClusterID:183	7	6	0	0	0	0
ClusterID:184	8	7	0	0	1	0
ClusterID:185	2	1	0	0	0	0
ClusterID:186	11	5	0	1	7	27
ClusterID:187	11	17	0	0	10	0
ClusterID:188	6	5	0	0	0	0
ClusterID:189	3	2	0	0	0	0
ClusterID:190	28	28	0	0	253	0
ClusterID:191	1	0	0	0	0	0
ClusterID:192	51	212	0	0	0	0
ClusterID:193	1	0	0	0	0	0
ClusterID:194	8	9	0	0	0	0
ClusterID:195	15	20	0	0	0	0
ClusterID:196	10	12	0	0	9	0
ClusterID:197	9	9	0	0	0	0
ClusterID:198	61	530	0	0	461	0
ClusterID:199	25	58	3	0	34	0
ClusterID:200	153	5326	0	0	4253	0
ClusterID:201	44	16	0	0	37	773
ClusterID:202	11	10	0	0	1	0
ClusterID:203	18	21	0	0	1	0
ClusterID:204	9	10	0	0	1	0
ClusterID:205	92	105	3	0	914	1265
ClusterID:206	19	33	0	0	0	0
ClusterID:207	15	16	0	0	0	0
ClusterID:208	7	6	0	0	0	0
ClusterID:209	4	3	0	0	0	0
ClusterID:210	10	19	0	0	0	0
ClusterID:211	5	4	0	0	0	0
ClusterID:212	6	5	0	0	0	0
ClusterID:213	3	2	0	0	0	0
ClusterID:214	11	1	6	0	10	45
ClusterID:215	5	4	0	0	0	0
ClusterID:216	15	8	0	16	6	0
ClusterID:217	106	177	21	0	1307	0
ClusterID:218	2	1	0	0	0	0
ClusterID:219	3	2	0	0	0	0
ClusterID:220	2	1	0	0	0	0
ClusterID:221	12	33	0	0	1	0
ClusterID:222	4	3	0	1	0	0
ClusterID:223	51	66	6	0	110	361
ClusterID:224	58	161	0	0	0	0
ClusterID:225	15	23	0	0	3	0
ClusterID:226	54	305	0	0	78	0
ClusterID:227	11	11	0	0	0	0
ClusterID:228	130	895	0	6	0	0
ClusterID:229	12	44	0	0	0	0
ClusterID:230	3	2	0	0	0	0
ClusterID:231	47	84	21	1	57	0
ClusterID:232	31	59	0	0	0	0
ClusterID:233	27	52	0	0	1	0
ClusterID:234	7	1	0	0	15	0
ClusterID:235	24	33	0	0	1	0
ClusterID:236	2	1	0	0	0	0
ClusterID:237	10	10	0	0	0	0
ClusterID:238	2	1	0	0	0	0
ClusterID:239	36	113	3	0	8	0
ClusterID:240	130	100	0	1	4351	0
ClusterID:241	2	1	0	0	0	0
ClusterID:242	26	19	0	0	190	0
ClusterID:243	21	7	0	0	8	47
ClusterID:244	17	24	0	0	1	0
ClusterID:245	3	3	0	0	0	0
ClusterID:246	1	0	0	0	0	0
ClusterID:247	33	90	0	0	223	0
ClusterID:248	7	6	0	0	0	0
ClusterID:249	4	5	0	0	0	0
ClusterID:250	4	5	0	0	1	0
ClusterID:251	2	1	0	0	0	0
ClusterID:252	3	1	0	0	1	0
ClusterID:253	10	10	0	0	0	0
ClusterID:254	15	30	1	0	6	0
ClusterID:255	18	54	0	0	2	0
ClusterID:256	1	0	0	0	0	0
ClusterID:257	5	5	0	0	0	0
ClusterID:258	4	3	0	0	0	0
ClusterID:259	21	16	1	0	91	0
ClusterID:260	25	16	0	0	79	10
ClusterID:261	26	11	0	0	276	0
ClusterID:262	19	7	1	0	6	66
ClusterID:263	3	2	0	0	0	0
ClusterID:264	6	5	0	0	0	0
ClusterID:265	10	8	0	1	3	0
ClusterID:266	53	928	0	0	12	0
ClusterID:267	7	5	0	0	0	0
ClusterID:268	17	40	0	0	3	0
ClusterID:269	26	25	1	0	75	0
ClusterID:270	32	31	0	0	0	0
ClusterID:271	8	12	0	0	0	0
ClusterID:272	78	77	6	1	505	582
ClusterID:273	66	50	0	0	62	5
ClusterID:274	36	141	0	0	276	0
ClusterID:275	7	6	0	0	1	0
ClusterID:276	3	2	0	0	0	0
ClusterID:277	33	68	0	0	36	0
ClusterID:278	32	95	0	0	210	0
ClusterID:279	9	9	0	0	1	0
ClusterID:280	7	4	0	1	6	5
ClusterID:281	18	16	0	1	36	0
ClusterID:282	10	19	0	0	4	0
ClusterID:283	7	6	0	0	0	0
ClusterID:284	56	53	1	3	340	0
ClusterID:285	20	69	0	0	0	0
ClusterID:286	8	10	0	0	0	0
ClusterID:287	7	6	0	0	0	0
ClusterID:288	45	57	1	0	411	0
ClusterID:289	7	6	0	0	0	0
ClusterID:290	4	3	0	0	0	0
ClusterID:291	5	3	0	0	6	0
ClusterID:292	134	482	0	0	5050	0
ClusterID:293	18	33	0	0	0	0
ClusterID:294	3	2	0	0	0	0
ClusterID:295	17	25	0	0	0	0
ClusterID:296	1	0	0	0	0	0
ClusterID:297	13	23	0	0	10	1
ClusterID:298	18	41	0	0	3	0
ClusterID:299	5	4	0	0	0	0
ClusterID:300	3	2	0	0	0	0
ClusterID:301	11	12	0	0	21	0
ClusterID:302	16	11	0	0	4	7
ClusterID:303	99	98	0	0	1	0
ClusterID:304	54	205	0	0	0	0
ClusterID:305	4	3	0	0	0	0
ClusterID:306	1	0	0	0	0	0
ClusterID:307	16	12	6	14	8	1
ClusterID:308	13	11	0	0	10	1
ClusterID:309	37	54	3	10	133	116
ClusterID:310	102	496	0	2	43	0
ClusterID:311	6	5	0	0	0	0
ClusterID:312	16	25	0	0	6	0
ClusterID:313	10	9	0	0	0	0
ClusterID:314	3	2	0	0	0	0
ClusterID:315	8	16	0	0	0	0
ClusterID:316	10	10	0	0	0	0
ClusterID:317	14	16	1	3	5	0
ClusterID:318	6	4	0	0	1	0
ClusterID:319	6	5	0	0	0	0
ClusterID:320	3	2	0	0	0	0
ClusterID:321	37	36	0	0	0	0
ClusterID:322	45	69	3	0	51	443
ClusterID:323	7	7	0	0	0	0
ClusterID:324	4	3	0	0	0	0
ClusterID:325	9	11	0	0	0	0
ClusterID:326	116	96	1	8	4656	0
ClusterID:327	11	9	0	1	0	0
ClusterID:328	14	21	0	15	15	0
ClusterID:329	9	4	0	1	12	0
ClusterID:330	54	97	0	3	201	356
ClusterID:331	11	21	0	0	0	0
ClusterID:332	12	17	0	0	0	0
ClusterID:333	4	3	0	0	0	0
ClusterID:334	2	1	0	0	1	0
ClusterID:335	2	1	0	0	0	0
ClusterID:336	68	124	0	0	428	0
ClusterID:337	53	101	4	4	214	0
ClusterID:338	79	49	9	741	432	1
ClusterID:339	32	25	0	0	96	0
ClusterID:340	13	14	0	0	0	0
ClusterID:341	40	60	0	0	357	0
ClusterID:342	22	9	0	0	5	108
ClusterID:343	71	70	0	0	0	0
ClusterID:344	30	49	0	1	120	0
ClusterID:345	70	181	1	4	529	0
ClusterID:346	9	4	0	0	21	0
ClusterID:347	16	19	0	0	0	0
ClusterID:348	3	2	0	0	0	0
ClusterID:349	12	13	0	0	0	0
ClusterID:350	27	46	0	0	0	0
ClusterID:351	61	264	0	72	391	591
ClusterID:352	13	5	0	6	55	0
ClusterID:353	3	2	0	0	0	0
ClusterID:354	2	1	0	0	0	0
ClusterID:355	5	4	0	0	0	0
ClusterID:356	4	3	0	0	0	0
ClusterID:357	2	1	0	0	0	0
ClusterID:358	2	1	0	0	0	0
ClusterID:359	13	19	0	0	0	0
ClusterID:360	8	7	0	0	0	0
ClusterID:361	6	6	0	0	0	0
ClusterID:362	2	1	0	0	0	0
ClusterID:363	3	3	0	0	0	0
ClusterID:364	14	19	0	0	1	0
ClusterID:365	60	290	0	0	335	0
ClusterID:366	23	127	0	0	0	0
ClusterID:367	12	10	0	0	28	0
ClusterID:368	12	11	0	0	0	0
ClusterID:369	63	68	78	2	159	705
ClusterID:370	38	244	0	0	3	0
ClusterID:371	308	2802	0	1	20	0
ClusterID:372	23	9	0	0	17	67
ClusterID:373	41	105	0	0	0	0
ClusterID:374	60	24	6	15	221	601
ClusterID:375	14	11	0	1	1	0
ClusterID:376	10	6	0	0	21	0
ClusterID:377	5	8	0	0	0	0
ClusterID:378	7	7	0	0	0	0
ClusterID:379	15	25	0	0	0	0
ClusterID:380	81	237	0	0	2444	0
ClusterID:381	5	4	0	0	0	0
ClusterID:382	9	14	0	0	0	0
ClusterID:383	2	1	0	0	0	0
ClusterID:384	10	16	0	0	6	0
ClusterID:385	10	13	0	0	0	0
ClusterID:386	21	20	0	0	0	0
ClusterID:387	6	8	0	0	1	0
ClusterID:388	14	23	0	0	28	0
ClusterID:389	72	146	6	270	55	0
ClusterID:390	17	32	0	0	0	0
ClusterID:391	103	54	3	0	906	940
ClusterID:392	6	5	0	0	0	0
ClusterID:393	53	151	0	3	170	3
ClusterID:394	8	7	0	0	0	0
ClusterID:395	14	13	0	0	3	0
ClusterID:396	21	16	0	0	33	10
ClusterID:397	9	13	0	0	0	0
ClusterID:398	2	1	0	0	0	0
ClusterID:399	6	6	0	0	0	0
ClusterID:400	17	27	0	0	91	0
ClusterID:401	62	130	1	184	101	0
ClusterID:402	6	6	1	0	1	0
ClusterID:403	2	1	0	0	0	0
ClusterID:404	3	2	0	0	0	0
ClusterID:405	7	6	0	0	0	0
ClusterID:406	24	23	0	0	2	0
ClusterID:407	3	2	0	0	0	0
ClusterID:408	33	33	0	0	0	0
ClusterID:409	92	352	1	0	1332	0
ClusterID:410	4	3	0	0	0	0
ClusterID:411	4	3	0	0	1	0
ClusterID:412	13	12	0	0	3	0
ClusterID:413	6	0	10	0	11	0
ClusterID:414	3	2	0	0	0	0
ClusterID:415	64	297	1	3	851	0
ClusterID:416	2	1	0	0	0	0
ClusterID:417	13	12	0	0	0	0
ClusterID:418	40	40	0	0	0	0
ClusterID:419	69	34	3	22	1596	0
ClusterID:420	6	7	0	0	1	0
ClusterID:421	7	11	0	0	1	0
ClusterID:422	19	15	1	6	9	0
ClusterID:423	80	185	36	0	697	0
ClusterID:424	4	3	0	0	0	0
ClusterID:425	9	10	0	0	1	6
ClusterID:426	1	0	0	0	0	0
ClusterID:427	11	12	0	0	0	0
ClusterID:428	6	6	0	0	0	0
ClusterID:429	7	6	0	0	0	0
ClusterID:430	10	9	0	11	2	2
ClusterID:431	1	0	0	0	0	0
ClusterID:432	11	20	0	3	6	0
ClusterID:433	5	4	0	0	0	0
ClusterID:434	66	149	6	0	278	0
ClusterID:435	2	0	0	0	1	0
ClusterID:436	19	18	0	0	0	0
ClusterID:437	17	3	1	0	93	75
ClusterID:438	18	30	0	0	0	0
ClusterID:439	5	4	0	0	0	0
ClusterID:440	5	4	0	0	0	0
ClusterID:441	24	59	0	1	1	0
ClusterID:442	2	1	0	0	0	0
ClusterID:443	11	11	0	0	0	0
ClusterID:444	1	0	0	0	0	0
ClusterID:445	1	0	0	0	0	0
ClusterID:446	10	10	0	0	0	0
ClusterID:447	2	1	0	0	1	0
ClusterID:448	3	2	0	0	0	0
ClusterID:449	2	1	0	0	0	0
ClusterID:450	14	11	0	0	3	0
ClusterID:451	41	90	21	0	135	0
ClusterID:452	14	6	0	15	21	0
ClusterID:453	4	3	0	0	0	0
ClusterID:454	125	622	0	3	3086	1
ClusterID:455	20	36	0	0	0	0
ClusterID:456	2	1	0	0	0	0
ClusterID:457	6	3	0	1	3	0
ClusterID:458	1	0	0	0	0	0
ClusterID:459	3	3	0	0	0	0
ClusterID:460	3	2	0	0	0	0
ClusterID:461	27	23	3	45	37	0
ClusterID:462	4	3	0	0	0	0
ClusterID:463	18	24	0	0	0	0
ClusterID:464	3	2	0	0	0	0
ClusterID:465	9	12	0	0	0	0
ClusterID:466	3	3	0	0	0	0
ClusterID:467	2	1	0	0	0	0
ClusterID:468	59	111	0	1	630	0
ClusterID:469	2	1	0	0	0	0
ClusterID:470	34	23	0	77	8	15
ClusterID:471	7	6	0	0	1	0
ClusterID:472	38	16	0	20	126	104
ClusterID:473	6	5	0	0	0	0
ClusterID:474	89	61	3	0	3090	0
ClusterID:475	36	88	0	0	83	0
ClusterID:476	3	2	0	0	0	0
ClusterID:477	18	31	0	3	6	0
ClusterID:478	6	5	0	0	3	0
ClusterID:479	3	0	1	0	1	3
ClusterID:480	3	2	0	0	0	0
ClusterID:481	2	1	0	0	0	0
ClusterID:482	5	4	0	0	0	0
ClusterID:483	3	2	0	0	0	0
ClusterID:484	5	4	0	0	0	0
ClusterID:485	138	1121	0	0	2718	0
ClusterID:486	18	17	0	0	0	0
ClusterID:487	10	15	0	3	0	0
ClusterID:488	8	7	0	0	0	0
ClusterID:489	24	10	45	0	169	55
ClusterID:490	9	3	0	3	21	0
ClusterID:491	4	3	0	0	0	0
ClusterID:492	44	36	1	0	232	0
ClusterID:493	26	18	0	0	231	0
ClusterID:494	97	1587	0	0	1	0
ClusterID:495	3	2	0	0	1	0
ClusterID:496	39	38	0	0	0	0
ClusterID:497	2	1	0	0	0	0
ClusterID:498	7	6	0	0	0	0
ClusterID:499	8	7	0	0	0	0
ClusterID:500	11	12	0	0	0	0
ClusterID:501	13	13	0	0	0	0
ClusterID:502	111	110	0	0	0	0
ClusterID:503	6	5	0	0	0	0
ClusterID:504	7	9	0	0	0	0
ClusterID:505	10	8	0	1	0	0
ClusterID:506	8	11	0	0	1	0
ClusterID:507	25	12	0	0	43	146
ClusterID:508	14	24	0	0	0	0
ClusterID:509	10	11	0	0	0	0
ClusterID:510	4	3	0	0	0	0
ClusterID:511	6	5	0	0	1	0
ClusterID:512	19	12	0	0	45	0
ClusterID:513	26	26	0	0	1	0
ClusterID:514	35	53	0	0	38	0
ClusterID:515	9	4	0	6	3	0
ClusterID:516	6	3	0	0	1	6
ClusterID:517	5	4	0	0	0	0
ClusterID:518	12	12	0	0	0	0
ClusterID:519	2	1	0	0	0	0
ClusterID:520	16	57	0	0	0	0
ClusterID:521	48	48	0	0	308	370
ClusterID:522	31	146	0	0	0	0
ClusterID:523	15	25	0	0	10	0
ClusterID:524	1	0	0	0	0	0
ClusterID:525	15	8	0	0	9	55
ClusterID:526	1	0	0	0	0	0
ClusterID:527	1	0	0	0	0	0
ClusterID:528	13	13	0	0	3	0
ClusterID:529	3	2	0	0	0	0
ClusterID:530	113	138	91	3	2185	0
ClusterID:531	13	17	0	0	45	0
ClusterID:532	14	4	0	0	66	0
ClusterID:533	4	4	0	0	0	0
ClusterID:534	14	14	0	0	0	0
ClusterID:535	80	60	3	30	69	119
ClusterID:536	5	5	0	0	1	0
ClusterID:537	4	3	0	0	0	0
ClusterID:538	15	15	0	0	10	0
ClusterID:539	5	6	0	0	0	0
ClusterID:540	16	19	0	3	0	0
ClusterID:541	4	3	0	0	0	0
ClusterID:542	12	7	21	0	1	3
ClusterID:543	17	22	0	0	53	0
ClusterID:544	5	5	0	0	0	0
ClusterID:545	2	1	0	0	0	0
ClusterID:546	32	113	0	0	34	0
ClusterID:547	7	6	0	0	1	0
ClusterID:548	24	118	0	0	77	0
ClusterID:549	6	6	0	0	0	0
ClusterID:550	3	2	0	0	0	0
ClusterID:551	15	19	0	0	0	0
ClusterID:552	12	12	0	0	28	0
ClusterID:553	14	13	0	0	0	0
ClusterID:554	43	33	0	0	436	0
ClusterID:555	3	2	0	0	0	0
ClusterID:556	6	6	0	0	0	0
ClusterID:557	63	8	0	0	696	241
ClusterID:558	51	95	3	277	51	7
ClusterID:559	12	4	0	0	2	33
ClusterID:560	59	19	0	0	193	511
ClusterID:561	93	95	1	6	1346	0
ClusterID:562	55	56	0	0	0	0
ClusterID:563	4	3	0	0	0	0
ClusterID:564	1	0	0	0	0	0
ClusterID:565	6	5	0	0	0	0
ClusterID:566	37	10	1	1	105	177
ClusterID:567	3	2	0	0	0	0
ClusterID:568	3	2	0	0	0	0
ClusterID:569	2	1	0	0	0	0
ClusterID:570	24	40	0	0	10	0
ClusterID:571	24	24	0	0	1	0
ClusterID:572	2	1	0	0	0	0
ClusterID:573	1	0	0	0	0	0
ClusterID:574	9	9	0	0	0	0
ClusterID:575	166	1373	0	0	37	39
ClusterID:576	46	21	3	56	366	0
ClusterID:577	1	0	0	0	0	0
ClusterID:578	135	893	6	0	42	3
ClusterID:579	3	2	0	0	0	0
ClusterID:580	12	11	0	0	0	0
ClusterID:581	21	6	6	0	96	0
ClusterID:582	9	8	0	0	0	0
ClusterID:583	18	2	0	1	36	68
ClusterID:584	4	3	0	0	0	0
ClusterID:585	21	43	0	0	11	0
