	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	6	5	0	0	0	0
ClusterID:2	3	2	0	0	0	0
ClusterID:3	6	5	0	0	0	0
ClusterID:4	11	13	28	0	11	0
ClusterID:5	5	1	3	0	9	0
ClusterID:6	47	83	0	0	360	0
ClusterID:7	3	2	0	0	0	0
ClusterID:8	10	29	0	0	3	0
ClusterID:9	15	14	0	0	0	0
ClusterID:10	10	3	0	21	6	0
ClusterID:11	65	323	1	3	900	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	13	15	0	0	2	19
ClusterID:17	101	1717	0	0	130	0
ClusterID:18	115	655	0	0	4924	0
ClusterID:19	99	392	0	0	2002	0
ClusterID:20	48	108	0	0	325	0
ClusterID:21	2	0	0	0	1	0
ClusterID:22	5	9	0	0	6	0
ClusterID:23	332	3182	0	8	16244	0
ClusterID:24	23	92	0	0	0	0
ClusterID:25	2	1	0	0	0	0
ClusterID:26	100	1169	0	0	2650	0
ClusterID:27	32	123	0	0	34	0
ClusterID:28	122	2780	0	0	36	0
ClusterID:29	31	147	0	0	7	0
ClusterID:30	47	209	0	0	0	0
ClusterID:31	70	300	1	0	927	0
ClusterID:32	4	0	0	6	0	0
ClusterID:33	5	6	0	3	6	3
ClusterID:34	11	15	1	1	6	0
ClusterID:35	80	89	3	178	50	0
ClusterID:36	21	80	0	0	1	0
ClusterID:37	1	0	0	0	0	0
ClusterID:38	18	47	1	0	3	0
ClusterID:39	76	228	0	0	1451	0
ClusterID:40	58	232	0	0	15	0
ClusterID:41	13	18	0	0	0	0
ClusterID:42	22	31	0	0	50	0
ClusterID:43	27	32	0	0	148	0
ClusterID:44	5	7	0	0	0	0
ClusterID:45	1	0	0	0	0	0
ClusterID:46	18	28	0	0	1	0
ClusterID:47	19	36	0	0	10	0
ClusterID:48	41	33	0	12	12	5
ClusterID:49	23	29	0	0	42	49
ClusterID:50	1	0	0	0	0	0
ClusterID:51	86	601	0	0	2503	0
ClusterID:52	16	36	0	0	0	0
ClusterID:53	137	495	0	0	5460	0
ClusterID:54	142	1826	0	0	7085	0
ClusterID:55	13	15	0	0	28	0
ClusterID:56	14	13	0	0	34	0
ClusterID:57	54	92	0	1	666	0
ClusterID:58	13	13	0	0	0	0
ClusterID:59	18	48	0	0	31	0
ClusterID:60	2	1	0	0	0	0
ClusterID:61	44	97	0	0	424	0
ClusterID:62	12	11	0	0	0	0
ClusterID:63	40	30	0	0	395	0
ClusterID:64	1	0	0	0	0	0
ClusterID:65	2	1	0	0	0	0
ClusterID:66	80	855	0	1	9	0
ClusterID:67	4	1	0	3	0	0
ClusterID:68	122	387	0	0	4371	0
ClusterID:69	3	2	0	0	0	0
ClusterID:70	2	1	0	0	0	0
ClusterID:71	2	1	0	0	0	0
ClusterID:72	6	5	0	3	0	0
ClusterID:73	7	6	0	1	0	0
ClusterID:74	18	29	0	0	15	21
ClusterID:75	13	13	0	0	1	0
ClusterID:76	72	219	0	3	1050	0
ClusterID:77	31	31	0	12	140	0
ClusterID:78	3	2	0	0	0	0
ClusterID:79	18	20	0	0	118	0
ClusterID:80	18	20	0	1	0	0
ClusterID:81	6	9	0	0	0	0
ClusterID:82	38	203	0	0	248	0
ClusterID:83	103	56	0	11	2563	0
ClusterID:84	15	39	0	0	1	0
ClusterID:85	1	0	0	0	0	0
ClusterID:86	7	7	0	0	0	0
ClusterID:87	8	17	0	0	0	0
ClusterID:88	44	120	10	0	49	7
ClusterID:89	12	11	0	0	0	0
ClusterID:90	45	40	0	0	6	10
ClusterID:91	3	1	0	0	1	0
ClusterID:92	27	37	0	0	105	0
ClusterID:93	2	1	0	0	0	0
ClusterID:94	130	902	0	0	3350	0
ClusterID:95	1	0	0	0	0	0
ClusterID:96	20	21	0	0	76	0
ClusterID:97	41	133	0	0	3	0
ClusterID:98	2	1	0	0	0	0
ClusterID:99	5	5	0	0	1	0
ClusterID:100	1	0	0	0	0	0
ClusterID:101	4	2	0	0	6	0
ClusterID:102	26	42	0	0	21	91
ClusterID:103	19	32	0	0	120	0
ClusterID:104	4	3	0	0	0	0
ClusterID:105	52	218	0	0	1	0
ClusterID:106	4	6	0	0	1	0
ClusterID:107	32	35	0	0	223	0
ClusterID:108	72	59	0	1	702	893
ClusterID:109	6	7	1	0	2	0
ClusterID:110	4	3	0	0	0	0
ClusterID:111	1	0	0	0	0	0
ClusterID:112	16	31	0	0	10	0
ClusterID:113	3	2	0	0	0	0
ClusterID:114	2	1	0	0	0	0
ClusterID:115	40	178	0	0	406	0
ClusterID:116	63	170	0	0	894	0
ClusterID:117	2	1	0	0	0	0
ClusterID:118	24	15	0	0	60	81
ClusterID:119	49	167	0	0	171	0
ClusterID:120	40	85	0	1	449	0
ClusterID:121	10	17	0	15	10	0
ClusterID:122	15	6	0	0	66	0
ClusterID:123	6	5	0	0	0	0
ClusterID:124	11	6	0	3	55	0
ClusterID:125	5	4	0	0	0	0
ClusterID:126	2	1	0	0	0	0
ClusterID:127	88	97	0	0	3003	0
ClusterID:128	14	30	0	0	21	0
ClusterID:129	3	2	0	0	1	0
ClusterID:130	21	13	0	0	24	28
ClusterID:131	74	916	0	0	185	0
ClusterID:132	7	6	0	3	0	0
ClusterID:133	6	9	0	0	0	0
ClusterID:134	3	2	0	0	0	0
ClusterID:135	79	68	0	0	512	785
ClusterID:136	1	0	0	0	0	0
ClusterID:137	2	1	0	0	0	0
ClusterID:138	36	37	0	6	98	0
ClusterID:139	9	7	0	0	1	6
ClusterID:140	1	0	0	0	0	0
ClusterID:141	74	79	0	0	620	952
ClusterID:142	12	11	0	0	0	0
ClusterID:143	61	176	0	0	0	0
ClusterID:144	1	0	0	0	0	0
ClusterID:145	8	16	0	0	1	0
ClusterID:146	89	490	0	0	246	0
ClusterID:147	30	29	0	0	0	0
ClusterID:148	17	8	0	0	69	0
ClusterID:149	17	32	3	0	15	0
ClusterID:150	5	5	0	1	1	0
ClusterID:151	3	2	0	0	0	0
ClusterID:152	29	24	0	0	300	0
ClusterID:153	23	35	0	3	1	3
ClusterID:154	2	1	0	0	0	0
ClusterID:155	3	2	0	0	0	0
ClusterID:156	13	13	0	0	7	12
ClusterID:157	24	20	1	0	171	0
ClusterID:158	42	96	0	0	0	0
ClusterID:159	2	1	0	0	0	0
ClusterID:160	7	8	0	0	1	0
ClusterID:161	46	27	0	10	634	0
ClusterID:162	280	2581	0	0	15	0
ClusterID:163	43	58	1	1	409	0
ClusterID:164	5	4	0	0	0	0
ClusterID:165	5	5	0	0	0	0
ClusterID:166	4	2	0	0	1	0
ClusterID:167	43	73	0	0	252	0
ClusterID:168	79	396	0	0	641	0
ClusterID:169	11	11	0	0	13	0
ClusterID:170	3	2	0	0	0	0
ClusterID:171	9	8	0	0	0	0
ClusterID:172	20	83	0	1	1	0
ClusterID:173	22	112	0	0	77	0
ClusterID:174	6	4	0	0	1	0
ClusterID:175	33	48	0	0	351	0
ClusterID:176	52	53	6	0	610	6
ClusterID:177	53	268	0	0	119	0
ClusterID:178	8	7	0	0	0	0
ClusterID:179	1	0	0	0	0	0
ClusterID:180	52	84	6	0	137	0
ClusterID:181	42	42	0	0	0	0
ClusterID:182	2	1	0	0	0	0
ClusterID:183	85	117	78	21	2155	0
ClusterID:184	2	1	0	0	0	0
ClusterID:185	29	30	0	0	253	0
ClusterID:186	4	1	0	1	1	0
ClusterID:187	6	5	0	0	0	0
ClusterID:188	47	101	0	0	225	0
ClusterID:189	1	0	0	0	0	0
ClusterID:190	2	1	0	0	0	0
ClusterID:191	109	108	0	0	0	0
ClusterID:192	41	36	1	0	36	190
ClusterID:193	12	13	0	0	0	0
ClusterID:194	2	1	0	0	0	0
ClusterID:195	28	31	1	0	66	0
ClusterID:196	10	13	4	0	12	0
ClusterID:197	31	32	0	0	48	101
ClusterID:198	2	1	0	0	0	0
ClusterID:199	9	14	0	6	1	0
ClusterID:200	23	35	0	0	157	0
ClusterID:201	23	26	0	0	43	0
ClusterID:202	31	23	0	0	210	0
ClusterID:203	6	5	0	0	0	0
ClusterID:204	59	242	0	0	329	0
ClusterID:205	2	1	0	0	0	0
