	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	2	0	0	0	0
ClusterID:2	17	51	0	0	10	0
ClusterID:3	1	0	0	0	0	0
ClusterID:4	1	0	0	0	0	0
ClusterID:5	120	2026	0	0	197	0
ClusterID:6	127	937	0	0	5047	0
ClusterID:7	44	98	0	0	331	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	177	3450	0	0	9462	1
ClusterID:10	10	10	0	0	0	0
ClusterID:11	134	3580	0	0	73	0
ClusterID:12	19	17	0	0	22	0
ClusterID:13	53	345	0	0	15	0
ClusterID:14	65	241	1	0	535	0
ClusterID:15	5	1	0	6	0	0
ClusterID:16	10	6	0	0	3	6
ClusterID:17	101	127	3	195	70	0
ClusterID:18	1	0	0	0	0	0
ClusterID:19	182	849	0	0	5047	0
ClusterID:20	38	75	1	0	47	96
ClusterID:21	182	2925	0	0	9671	0
ClusterID:22	13	23	0	0	0	0
ClusterID:23	14	14	0	0	0	0
ClusterID:24	39	23	0	0	118	309
ClusterID:25	236	692	0	0	19503	0
ClusterID:26	45	66	0	0	79	63
ClusterID:27	22	29	0	0	0	0
ClusterID:28	135	654	0	0	3582	0
ClusterID:29	44	97	0	1	102	0
ClusterID:30	107	73	3	0	735	1003
ClusterID:31	98	373	1	0	1396	0
ClusterID:32	68	174	0	3	783	0
ClusterID:33	83	418	0	0	15	0
ClusterID:34	21	26	0	0	0	0
ClusterID:35	43	214	0	0	279	0
ClusterID:36	266	400	4	35	8123	1
ClusterID:37	24	34	0	3	39	0
ClusterID:38	49	54	0	12	577	0
ClusterID:39	135	800	3	1	4073	16
ClusterID:40	38	137	3	0	11	0
ClusterID:41	201	1946	3	0	5195	0
ClusterID:42	8	10	0	0	1	0
ClusterID:43	26	41	1	1	55	0
ClusterID:44	104	486	1	0	31	91
ClusterID:45	7	9	0	0	0	0
ClusterID:46	50	142	0	0	3	0
ClusterID:47	237	418	0	1	18821	0
ClusterID:48	1	0	0	0	0	0
ClusterID:49	55	100	0	0	399	145
ClusterID:50	12	13	0	0	4	0
ClusterID:51	1	0	0	0	0	0
ClusterID:52	74	247	0	0	1248	0
ClusterID:53	22	49	0	0	10	0
ClusterID:54	86	669	0	2	379	0
ClusterID:55	16	22	0	15	15	0
ClusterID:56	103	175	0	0	3828	0
ClusterID:57	26	82	0	0	30	0
ClusterID:58	22	24	0	0	6	0
ClusterID:59	3	2	0	0	0	0
ClusterID:60	3	3	0	0	0	0
ClusterID:61	15	18	0	0	13	0
ClusterID:62	55	147	0	0	66	0
ClusterID:63	38	119	10	0	10	0
ClusterID:64	81	306	1	0	518	0
ClusterID:65	112	673	0	0	227	0
ClusterID:66	36	30	0	6	81	0
ClusterID:67	150	176	5	1	6728	0
ClusterID:68	6	6	0	0	0	0
ClusterID:69	2	1	0	0	0	0
ClusterID:70	3	3	0	0	0	0
ClusterID:71	50	227	0	0	60	0
ClusterID:72	1	0	0	0	0	0
ClusterID:73	55	97	4	1	499	0
ClusterID:74	96	298	0	0	3081	0
ClusterID:75	3	2	0	0	0	0
ClusterID:76	53	35	0	10	613	0
ClusterID:77	97	469	0	0	804	0
ClusterID:78	7	10	0	0	1	0
ClusterID:79	5	7	0	0	0	0
ClusterID:80	15	14	0	0	0	0
ClusterID:81	49	185	1	0	1	0
ClusterID:82	4	3	0	0	0	0
ClusterID:83	179	1037	0	0	1	0
ClusterID:84	46	47	0	0	0	0
ClusterID:85	35	34	0	0	0	0
ClusterID:86	13	14	0	0	0	0
ClusterID:87	27	99	0	1	1	0
ClusterID:88	26	119	0	0	88	0
ClusterID:89	81	84	1	108	36	1
ClusterID:90	39	61	0	0	380	0
ClusterID:91	87	1015	0	0	357	0
ClusterID:92	12	11	0	0	1	0
ClusterID:93	63	362	3	1	46	0
ClusterID:94	11	10	0	0	0	0
ClusterID:95	23	32	0	0	3	0
ClusterID:96	115	137	78	15	2543	0
ClusterID:97	4	3	0	0	0	0
ClusterID:98	30	23	0	0	276	0
ClusterID:99	21	21	0	0	111	0
ClusterID:100	5	7	0	0	2	0
ClusterID:101	8	7	0	0	0	0
ClusterID:102	89	132	1	0	76	755
ClusterID:103	7	7	0	0	0	0
ClusterID:104	5	4	0	0	0	0
ClusterID:105	51	87	4	0	283	0
ClusterID:106	3	2	0	0	0	0
ClusterID:107	21	20	0	0	0	0
ClusterID:108	1	0	0	0	0	0
ClusterID:109	23	144	0	0	0	0
ClusterID:110	15	11	3	3	14	66
ClusterID:111	44	40	0	0	68	12
ClusterID:112	9	11	0	0	0	0
ClusterID:113	26	99	0	0	93	0
ClusterID:114	20	37	0	0	45	0
ClusterID:115	18	17	0	0	0	0
ClusterID:116	12	18	0	1	1	0
ClusterID:117	2	1	0	0	0	0
ClusterID:118	121	120	0	0	0	0
ClusterID:119	5	3	0	0	6	0
ClusterID:120	17	33	0	0	4	0
ClusterID:121	12	10	28	0	16	0
ClusterID:122	72	131	0	0	495	0
ClusterID:123	52	192	0	0	6	0
ClusterID:124	6	5	0	0	0	0
ClusterID:125	7	6	0	0	0	0
ClusterID:126	6	5	0	0	1	0
ClusterID:127	21	27	0	0	0	0
ClusterID:128	131	122	1	1	4984	0
ClusterID:129	1	0	0	0	0	0
ClusterID:130	183	6478	0	0	4257	0
ClusterID:131	86	74	3	30	73	141
ClusterID:132	55	14	0	0	101	1401
ClusterID:133	13	15	0	0	0	0
ClusterID:134	100	125	3	1	888	1265
ClusterID:135	14	20	0	0	0	0
ClusterID:136	7	6	0	0	0	0
ClusterID:137	12	8	6	0	10	36
ClusterID:138	3	2	0	0	0	0
ClusterID:139	71	588	0	0	21	0
ClusterID:140	11	14	0	0	1	0
ClusterID:141	4	3	0	0	0	0
ClusterID:142	18	27	0	0	91	0
ClusterID:143	129	206	21	0	1497	0
ClusterID:144	9	8	0	0	0	0
ClusterID:145	44	118	10	0	37	7
ClusterID:146	64	90	6	0	222	421
ClusterID:147	64	42	0	379	69	306
ClusterID:148	7	8	0	0	0	0
ClusterID:149	209	1740	0	6	2	0
ClusterID:150	9	19	0	0	0	0
ClusterID:151	54	89	21	1	105	0
ClusterID:152	144	1026	0	0	52	6
ClusterID:153	9	13	0	0	0	0
ClusterID:154	18	22	1	0	2	0
ClusterID:155	7	12	0	3	0	0
ClusterID:156	59	158	0	2	264	0
ClusterID:157	14	26	0	0	11	0
ClusterID:158	45	44	0	0	0	0
ClusterID:159	2	1	0	0	0	0
ClusterID:160	5	4	0	0	0	0
ClusterID:161	11	17	0	0	2	0
ClusterID:162	3	3	0	0	1	0
ClusterID:163	73	72	0	0	0	0
ClusterID:164	15	20	0	0	15	21
ClusterID:165	38	61	1	3	143	0
ClusterID:166	26	19	1	0	120	0
ClusterID:167	5	4	0	0	0	0
ClusterID:168	33	26	0	0	225	0
ClusterID:169	49	163	0	0	29	15
ClusterID:170	28	15	0	0	253	0
ClusterID:171	2	1	0	0	0	0
ClusterID:172	9	8	0	0	0	0
ClusterID:173	56	57	0	0	0	0
ClusterID:174	31	26	0	0	48	0
ClusterID:175	57	55	0	0	17	0
ClusterID:176	95	261	1	0	837	0
ClusterID:177	97	478	0	0	1535	0
ClusterID:178	5	4	0	0	0	0
ClusterID:179	11	10	0	0	0	0
ClusterID:180	37	73	0	0	31	0
ClusterID:181	32	90	0	0	192	0
ClusterID:182	10	12	0	0	1	0
ClusterID:183	4	3	0	0	0	0
ClusterID:184	5	6	0	0	0	0
ClusterID:185	16	15	0	1	15	0
ClusterID:186	34	24	1	3	129	0
ClusterID:187	72	125	0	0	365	481
ClusterID:188	4	3	0	0	0	0
ClusterID:189	20	46	0	0	19	0
ClusterID:190	61	153	1	0	441	0
ClusterID:191	11	10	0	0	0	0
ClusterID:192	12	3	0	0	55	0
ClusterID:193	50	50	6	1	298	0
ClusterID:194	30	19	0	0	35	52
ClusterID:195	54	28	1	2	81	219
ClusterID:196	9	9	0	0	1	0
ClusterID:197	24	68	3	0	27	0
ClusterID:198	2	1	0	0	0	0
ClusterID:199	4	4	0	0	0	0
ClusterID:200	13	14	0	0	0	0
ClusterID:201	11	6	0	10	1	1
ClusterID:202	58	88	3	12	180	207
ClusterID:203	20	33	0	0	0	0
ClusterID:204	9	14	0	0	1	0
ClusterID:205	9	7	0	0	3	0
ClusterID:206	75	145	3	0	83	566
ClusterID:207	6	5	0	0	0	0
ClusterID:208	123	151	1	8	4661	0
ClusterID:209	2	1	0	0	0	0
ClusterID:210	94	66	12	861	482	36
ClusterID:211	35	40	0	0	329	0
ClusterID:212	15	12	0	0	1	6
ClusterID:213	6	5	0	0	1	0
ClusterID:214	3	2	0	0	0	0
ClusterID:215	70	175	1	4	497	0
ClusterID:216	64	117	6	0	115	0
ClusterID:217	85	87	6	1	508	616
ClusterID:218	44	100	0	0	64	0
ClusterID:219	44	124	0	72	193	273
ClusterID:220	34	72	0	6	78	0
ClusterID:221	54	66	0	1	90	165
ClusterID:222	82	81	0	0	0	0
ClusterID:223	20	32	0	0	10	0
ClusterID:224	72	71	0	0	412	825
ClusterID:225	4	3	0	0	0	0
ClusterID:226	404	1054	0	0	52650	0
ClusterID:227	14	13	0	0	21	0
ClusterID:228	6	6	0	0	0	0
ClusterID:229	7	6	0	0	0	0
ClusterID:230	10	9	0	0	0	0
ClusterID:231	14	8	0	0	45	0
ClusterID:232	41	241	0	0	6	0
ClusterID:233	77	105	2	369	114	66
ClusterID:234	7	12	0	0	0	0
ClusterID:235	28	64	0	0	79	0
ClusterID:236	7	6	0	0	0	0
ClusterID:237	13	20	0	0	28	0
ClusterID:238	91	203	6	269	53	0
ClusterID:239	25	10	0	0	210	0
ClusterID:240	5	4	0	0	0	0
ClusterID:241	8	7	0	0	0	0
ClusterID:242	13	13	0	0	0	0
ClusterID:243	18	17	0	0	1	0
ClusterID:244	5	5	0	0	0	0
ClusterID:245	7	11	0	0	0	0
ClusterID:246	24	95	0	0	0	0
ClusterID:247	6	6	0	0	0	0
ClusterID:248	74	156	1	188	134	0
ClusterID:249	3	2	0	0	0	0
ClusterID:250	10	9	0	0	0	0
ClusterID:251	15	10	0	1	12	0
ClusterID:252	10	10	0	0	0	0
ClusterID:253	3	3	0	0	0	0
ClusterID:254	12	7	10	0	15	0
ClusterID:255	18	30	0	0	0	0
ClusterID:256	68	327	1	3	915	0
ClusterID:257	31	112	0	0	29	0
ClusterID:258	2	1	0	0	0	0
ClusterID:259	7	6	0	0	0	0
ClusterID:260	63	119	0	0	0	0
ClusterID:261	32	59	0	0	41	0
ClusterID:262	80	66	3	22	1711	0
ClusterID:263	34	109	0	0	1	0
ClusterID:264	100	265	36	0	765	0
ClusterID:265	4	3	0	0	0	0
ClusterID:266	6	3	0	0	0	6
ClusterID:267	4	4	0	0	0	0
ClusterID:268	1	0	0	0	0	0
ClusterID:269	14	13	0	0	1	0
ClusterID:270	14	15	0	0	0	0
ClusterID:271	3	2	0	0	3	0
ClusterID:272	4	3	0	0	0	0
ClusterID:273	55	98	0	0	417	0
ClusterID:274	3	2	0	0	0	0
ClusterID:275	30	63	0	0	68	0
ClusterID:276	23	22	0	0	0	0
ClusterID:277	28	20	1	0	85	75
ClusterID:278	3	2	0	0	0	0
ClusterID:279	20	33	3	0	15	0
ClusterID:280	23	63	0	0	4	0
ClusterID:281	31	72	0	1	1	0
ClusterID:282	7	6	0	0	0	0
ClusterID:283	7	6	0	0	0	0
ClusterID:284	2	1	0	0	0	0
ClusterID:285	26	62	21	0	18	0
ClusterID:286	6	5	0	0	1	0
ClusterID:287	5	5	3	0	3	0
ClusterID:288	70	323	0	0	366	0
ClusterID:289	3	2	0	0	0	0
ClusterID:290	5	7	0	0	3	0
ClusterID:291	146	710	3	0	3794	1
ClusterID:292	19	37	1	0	6	0
ClusterID:293	21	24	1	0	16	0
ClusterID:294	17	53	0	0	1	0
ClusterID:295	27	26	3	45	20	0
ClusterID:296	35	35	0	0	0	0
ClusterID:297	8	9	0	0	0	0
ClusterID:298	11	13	0	0	0	0
ClusterID:299	61	120	0	1	630	0
ClusterID:300	17	16	0	0	0	0
ClusterID:301	12	6	0	1	36	0
ClusterID:302	45	119	0	0	0	0
ClusterID:303	35	25	0	77	8	10
ClusterID:304	4	5	0	0	0	0
ClusterID:305	90	46	6	41	252	709
ClusterID:306	28	35	10	0	36	0
ClusterID:307	28	14	0	0	231	0
ClusterID:308	99	88	3	0	3495	0
ClusterID:309	82	216	0	0	321	0
ClusterID:310	19	26	0	3	3	0
ClusterID:311	36	13	28	1	72	261
ClusterID:312	5	6	0	0	0	0
ClusterID:313	3	2	0	0	0	0
ClusterID:314	37	33	1	0	166	0
