	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	3	0	0	0	0
ClusterID:2	7	10	0	0	0	0
ClusterID:3	16	72	0	0	66	0
ClusterID:4	3	2	0	0	0	0
ClusterID:5	5	4	0	0	0	0
ClusterID:6	3	2	0	0	0	0
ClusterID:7	11	5	0	0	55	0
ClusterID:8	9	2	0	0	28	0
ClusterID:9	8	9	1	0	3	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	21	16	0	0	96	0
ClusterID:15	57	1164	0	0	21	0
ClusterID:16	27	133	0	0	231	0
ClusterID:17	8	12	1	1	1	0
ClusterID:18	10	6	0	0	11	10
ClusterID:19	57	198	0	0	1128	0
ClusterID:20	37	373	0	0	0	0
ClusterID:21	1	0	0	0	0	0
ClusterID:22	6	7	0	0	1	3
ClusterID:23	23	100	0	0	45	0
ClusterID:24	4	6	0	0	0	0
ClusterID:25	81	263	0	0	2145	0
ClusterID:26	2	1	0	0	0	0
ClusterID:27	8	24	0	0	3	0
ClusterID:28	2	1	0	0	0	0
ClusterID:29	2	1	0	0	0	0
ClusterID:30	13	14	1	0	17	0
ClusterID:31	21	6	0	0	107	0
ClusterID:32	3	1	0	0	0	1
ClusterID:33	18	64	0	0	1	0
ClusterID:34	2	1	0	0	0	0
ClusterID:35	44	61	0	0	481	0
ClusterID:36	4	0	0	6	0	0
ClusterID:37	8	16	0	2	3	0
ClusterID:38	2	1	0	0	0	0
ClusterID:39	2	1	0	0	0	0
ClusterID:40	5	4	0	0	0	0
ClusterID:41	6	8	1	0	1	0
ClusterID:42	7	8	3	0	2	0
ClusterID:43	2	1	0	0	0	0
ClusterID:44	1	0	0	0	0	0
ClusterID:45	8	14	0	0	3	0
ClusterID:46	2	0	0	0	1	0
ClusterID:47	36	11	0	0	243	0
ClusterID:48	1	0	0	0	0	0
ClusterID:49	15	13	0	6	5	0
ClusterID:50	3	2	0	0	0	0
ClusterID:51	6	5	0	0	0	0
ClusterID:52	7	6	0	0	0	0
ClusterID:53	12	38	0	0	0	0
ClusterID:54	2	1	0	0	0	0
ClusterID:55	9	18	0	0	1	0
ClusterID:56	18	6	0	0	153	0
ClusterID:57	5	4	0	0	1	0
ClusterID:58	4	3	0	0	0	0
ClusterID:59	3	2	0	0	0	0
