	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	12	7	3	0	13	36
ClusterID:2	2	1	0	0	0	0
ClusterID:3	2	1	0	0	0	0
ClusterID:4	30	30	0	0	300	0
ClusterID:5	11	5	0	0	55	0
ClusterID:6	2	1	0	0	0	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	2	1	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	49	52	0	0	870	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	44	52	0	0	946	0
ClusterID:17	7	6	0	0	0	0
ClusterID:18	29	21	0	68	9	0
ClusterID:19	8	12	1	1	1	0
ClusterID:20	34	123	0	0	465	0
ClusterID:21	9	0	0	0	28	1
ClusterID:22	10	6	0	0	11	10
ClusterID:23	55	192	0	0	1035	0
ClusterID:24	8	14	0	0	28	0
ClusterID:25	6	9	0	0	1	0
ClusterID:26	26	23	0	0	162	0
ClusterID:27	10	4	0	0	28	0
ClusterID:28	28	150	0	0	155	0
ClusterID:29	6	12	0	0	0	0
ClusterID:30	6	7	0	0	1	3
ClusterID:31	11	8	3	0	24	0
ClusterID:32	75	208	0	0	2016	0
ClusterID:33	2	1	0	0	0	0
ClusterID:34	2	1	0	0	0	0
ClusterID:35	5	5	0	0	0	0
ClusterID:36	11	9	1	0	15	0
ClusterID:37	20	6	0	0	94	0
ClusterID:38	3	1	0	0	0	1
ClusterID:39	17	61	0	0	1	0
ClusterID:40	4	3	0	0	0	0
ClusterID:41	2	1	0	0	0	0
ClusterID:42	4	0	0	6	0	0
ClusterID:43	9	16	0	2	3	0
ClusterID:44	4	5	0	1	1	0
ClusterID:45	36	233	0	0	153	0
ClusterID:46	5	4	0	0	0	0
ClusterID:47	6	7	1	0	1	0
ClusterID:48	8	10	3	0	2	0
ClusterID:49	1	0	0	0	0	0
ClusterID:50	2	1	0	0	0	0
ClusterID:51	1	0	0	0	0	0
ClusterID:52	33	9	0	0	210	0
ClusterID:53	17	49	0	0	40	0
ClusterID:54	2	1	0	0	0	0
ClusterID:55	11	9	0	6	1	0
ClusterID:56	2	1	0	0	0	0
ClusterID:57	6	5	0	0	0	0
ClusterID:58	1	0	0	0	0	0
ClusterID:59	9	20	0	0	0	0
ClusterID:60	2	1	0	0	0	0
ClusterID:61	2	1	0	0	0	0
ClusterID:62	14	11	0	0	55	0
ClusterID:63	1	0	0	0	0	0
ClusterID:64	2	1	0	0	0	0
ClusterID:65	3	2	0	0	0	0
ClusterID:66	4	5	0	0	0	0
ClusterID:67	3	2	0	0	0	0
ClusterID:68	3	2	0	0	0	0
ClusterID:69	11	40	0	0	6	0
ClusterID:70	3	2	0	0	0	0
ClusterID:71	1	0	0	0	0	0
ClusterID:72	8	7	0	0	15	0
ClusterID:73	34	238	0	0	176	0
ClusterID:74	5	4	0	0	0	0
ClusterID:75	6	2	0	0	15	0
ClusterID:76	2	1	0	0	0	0
ClusterID:77	6	10	0	0	0	0
ClusterID:78	5	8	0	0	0	0
ClusterID:79	4	3	0	0	0	0
ClusterID:80	5	4	0	0	0	0
ClusterID:81	9	16	0	0	3	0
ClusterID:82	15	45	0	15	11	0
ClusterID:83	1	0	0	0	0	0
ClusterID:84	6	7	0	0	0	0
ClusterID:85	33	94	1	0	1	3
ClusterID:86	21	10	0	0	193	0
ClusterID:87	6	7	0	0	0	0
ClusterID:88	12	36	0	0	21	0
ClusterID:89	2	1	0	0	0	0
ClusterID:90	1	0	0	0	0	0
ClusterID:91	2	1	0	0	0	0
ClusterID:92	5	3	0	1	0	0
ClusterID:93	7	6	0	0	0	0
ClusterID:94	3	2	0	0	0	0
ClusterID:95	30	28	0	0	325	0
ClusterID:96	3	2	0	0	0	0
ClusterID:97	18	32	0	0	105	0
ClusterID:98	2	1	0	0	0	0
ClusterID:99	2	1	0	0	0	0
ClusterID:100	18	10	0	0	17	71
ClusterID:101	12	37	0	0	45	0
ClusterID:102	16	14	0	3	1	0
ClusterID:103	1	0	0	0	0	0
ClusterID:104	5	5	0	0	0	0
ClusterID:105	21	128	0	0	10	0
ClusterID:106	4	4	0	0	0	0
ClusterID:107	30	17	0	0	152	110
ClusterID:108	2	1	0	0	0	0
ClusterID:109	21	20	6	5	103	0
ClusterID:110	20	32	0	0	40	0
ClusterID:111	5	5	0	0	1	0
ClusterID:112	2	1	0	0	0	0
ClusterID:113	5	3	3	0	1	6
ClusterID:114	4	3	0	3	3	3
ClusterID:115	10	3	0	0	12	36
ClusterID:116	4	4	0	0	0	0
ClusterID:117	4	4	0	0	0	0
ClusterID:118	2	1	0	0	0	0
ClusterID:119	53	48	3	137	22	0
ClusterID:120	1	0	0	0	0	0
ClusterID:121	1	0	0	0	0	0
ClusterID:122	1	0	0	0	0	0
ClusterID:123	1	0	0	0	0	0
ClusterID:124	10	17	0	0	10	0
ClusterID:125	2	1	0	0	0	0
ClusterID:126	2	1	0	0	0	0
ClusterID:127	4	4	0	0	0	0
ClusterID:128	8	12	1	0	1	0
ClusterID:129	2	1	0	0	0	0
ClusterID:130	8	12	0	0	0	0
ClusterID:131	35	40	0	0	465	0
ClusterID:132	5	5	0	0	0	0
ClusterID:133	2	1	0	0	0	0
ClusterID:134	25	75	0	0	36	0
ClusterID:135	22	19	0	0	164	0
ClusterID:136	2	1	0	0	0	0
ClusterID:137	11	22	0	0	6	10
ClusterID:138	1	0	0	0	0	0
ClusterID:139	5	5	0	0	0	0
ClusterID:140	4	4	0	0	0	0
ClusterID:141	5	4	0	0	3	0
ClusterID:142	8	14	0	0	10	0
ClusterID:143	3	1	0	0	1	0
ClusterID:144	5	8	0	0	0	0
ClusterID:145	1	0	0	0	0	0
ClusterID:146	31	14	0	0	279	139
ClusterID:147	15	17	0	0	45	0
ClusterID:148	7	18	0	0	0	0
ClusterID:149	4	4	0	0	0	0
ClusterID:150	3	3	0	0	0	0
ClusterID:151	11	25	0	0	6	0
ClusterID:152	2	1	0	0	0	0
ClusterID:153	4	0	0	0	6	0
ClusterID:154	3	2	0	0	0	0
ClusterID:155	5	4	0	0	0	0
ClusterID:156	18	66	0	0	3	0
ClusterID:157	7	13	0	0	12	0
ClusterID:158	4	3	0	0	1	0
ClusterID:159	1	0	0	0	0	0
ClusterID:160	2	1	0	0	0	0
ClusterID:161	2	1	0	0	0	0
ClusterID:162	6	7	0	0	0	0
ClusterID:163	32	282	0	0	78	0
ClusterID:164	3	2	0	0	0	0
ClusterID:165	5	4	0	0	0	0
ClusterID:166	2	1	0	0	0	0
ClusterID:167	6	5	0	0	0	0
ClusterID:168	4	5	0	0	1	0
ClusterID:169	7	6	0	0	1	0
ClusterID:170	2	1	0	0	0	0
ClusterID:171	3	3	0	0	0	0
ClusterID:172	1	0	0	0	0	0
