	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	3	2	0	0	0	0
ClusterID:3	4	3	0	0	0	0
ClusterID:4	6	5	0	0	0	0
ClusterID:5	9	11	0	0	11	0
ClusterID:6	3	2	0	0	1	0
ClusterID:7	39	76	0	0	351	0
ClusterID:8	23	13	0	91	1	0
ClusterID:9	9	14	0	1	1	0
ClusterID:10	9	19	0	2	3	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	115	1126	0	0	4483	0
ClusterID:18	73	41	0	0	2154	0
ClusterID:19	14	11	0	6	2	0
ClusterID:20	49	48	0	93	12	0
ClusterID:21	8	12	1	1	1	0
ClusterID:22	89	1422	0	0	125	0
ClusterID:23	96	352	0	0	3498	0
ClusterID:24	1	0	0	0	0	0
ClusterID:25	17	23	1	0	17	0
ClusterID:26	2	0	0	0	0	1
ClusterID:27	4	0	0	6	0	0
ClusterID:28	6	7	0	0	0	0
ClusterID:29	25	62	0	0	175	0
ClusterID:30	11	21	0	0	6	0
ClusterID:31	1	0	0	0	0	0
ClusterID:32	1	0	0	0	0	0
ClusterID:33	6	4	0	1	0	0
ClusterID:34	17	15	0	6	48	30
ClusterID:35	3	2	0	0	0	0
ClusterID:36	37	31	0	0	266	0
ClusterID:37	26	77	0	0	116	0
ClusterID:38	8	7	0	0	28	0
ClusterID:39	14	36	0	0	1	0
ClusterID:40	2	1	0	0	0	0
ClusterID:41	5	5	0	0	1	0
ClusterID:42	4	4	0	0	0	0
ClusterID:43	3	2	0	0	0	0
ClusterID:44	3	2	0	0	0	0
ClusterID:45	3	2	0	0	0	0
ClusterID:46	3	2	0	0	0	0
ClusterID:47	52	20	0	0	425	181
