	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	5	7	0	0	0	0
ClusterID:2	2	1	0	0	0	0
ClusterID:3	18	17	0	0	117	0
ClusterID:4	4	4	0	0	0	0
ClusterID:5	32	32	0	0	300	0
ClusterID:6	10	3	0	0	45	0
ClusterID:7	3	3	0	0	2	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	1	0	0	0	0	0
ClusterID:18	1	0	0	0	0	0
ClusterID:19	4	3	0	0	0	0
ClusterID:20	3	2	0	0	0	0
ClusterID:21	1	0	0	0	0	0
ClusterID:22	43	42	0	0	903	0
ClusterID:23	3	2	0	0	0	0
ClusterID:24	8	10	0	0	11	0
ClusterID:25	30	26	0	68	12	0
ClusterID:26	6	8	1	1	1	0
ClusterID:27	10	6	0	0	11	10
ClusterID:28	57	198	0	0	1176	0
ClusterID:29	23	85	0	0	66	0
ClusterID:30	2	1	0	0	0	0
ClusterID:31	1	0	0	0	0	0
ClusterID:32	12	23	0	0	21	0
ClusterID:33	25	140	0	0	144	0
ClusterID:34	6	8	0	0	0	0
ClusterID:35	3	3	0	0	0	0
ClusterID:36	1	0	0	0	0	0
ClusterID:37	16	4	0	1	14	93
ClusterID:38	21	65	0	0	45	0
ClusterID:39	12	10	3	0	24	0
ClusterID:40	69	189	0	0	1711	0
ClusterID:41	2	1	0	0	0	0
ClusterID:42	2	1	0	0	0	0
ClusterID:43	2	1	0	0	0	0
ClusterID:44	5	4	0	0	0	0
ClusterID:45	15	8	0	69	0	0
ClusterID:46	9	6	1	0	15	0
ClusterID:47	20	6	0	0	94	0
ClusterID:48	3	1	0	0	0	1
ClusterID:49	15	56	0	0	1	0
ClusterID:50	2	1	0	0	0	0
ClusterID:51	3	2	0	0	0	0
ClusterID:52	23	17	0	0	222	0
ClusterID:53	4	0	0	6	0	0
ClusterID:54	5	7	0	1	1	0
ClusterID:55	5	4	0	0	0	0
ClusterID:56	5	6	1	0	1	0
ClusterID:57	7	8	3	0	2	0
ClusterID:58	22	193	0	0	153	0
ClusterID:59	2	1	0	0	0	0
ClusterID:60	19	99	0	0	5	0
ClusterID:61	1	0	0	0	0	0
ClusterID:62	16	52	0	0	0	0
ClusterID:63	4	2	0	1	0	0
ClusterID:64	3	2	0	0	0	0
ClusterID:65	1	0	0	0	0	0
ClusterID:66	2	1	0	0	0	0
ClusterID:67	34	9	0	0	214	0
ClusterID:68	11	18	0	0	45	0
ClusterID:69	2	1	0	0	0	0
ClusterID:70	11	9	0	6	1	0
ClusterID:71	3	2	0	0	0	0
ClusterID:72	2	1	0	0	0	0
ClusterID:73	4	3	0	0	0	0
ClusterID:74	6	5	0	0	0	0
ClusterID:75	1	0	0	0	0	0
ClusterID:76	7	13	0	0	0	0
ClusterID:77	2	1	0	0	0	0
ClusterID:78	1	0	0	0	0	0
ClusterID:79	2	1	0	0	0	0
ClusterID:80	2	1	0	0	0	0
ClusterID:81	3	2	0	0	0	0
ClusterID:82	4	5	0	0	0	0
ClusterID:83	31	205	0	0	114	0
ClusterID:84	3	2	0	0	0	0
ClusterID:85	6	13	0	0	15	0
ClusterID:86	3	2	0	0	0	0
ClusterID:87	2	1	1	0	1	0
ClusterID:88	1	0	0	0	0	0
ClusterID:89	5	4	0	0	1	0
ClusterID:90	9	8	0	0	21	0
ClusterID:91	32	221	0	0	156	0
ClusterID:92	5	4	0	0	0	0
ClusterID:93	2	1	0	0	0	0
ClusterID:94	10	16	0	0	36	0
ClusterID:95	2	1	0	0	0	0
ClusterID:96	4	3	0	0	0	0
ClusterID:97	2	1	0	0	0	0
ClusterID:98	4	3	0	0	0	0
ClusterID:99	8	9	0	0	0	0
ClusterID:100	8	5	0	0	15	0
ClusterID:101	2	1	0	0	0	0
ClusterID:102	6	7	0	0	0	0
ClusterID:103	20	42	1	0	1	3
ClusterID:104	21	8	0	0	192	0
ClusterID:105	11	33	0	0	21	0
ClusterID:106	1	0	0	0	0	0
ClusterID:107	2	1	0	0	0	0
ClusterID:108	5	3	0	1	0	0
ClusterID:109	1	0	0	0	0	0
ClusterID:110	3	2	0	0	0	0
ClusterID:111	4	5	0	0	0	0
ClusterID:112	30	28	0	0	325	0
ClusterID:113	3	2	0	0	0	0
ClusterID:114	3	2	0	0	0	0
ClusterID:115	17	27	0	0	91	0
ClusterID:116	1	0	0	0	0	0
ClusterID:117	2	1	0	0	0	0
ClusterID:118	14	11	0	0	9	64
ClusterID:119	9	14	1	0	4	0
ClusterID:120	3	2	0	0	0	0
ClusterID:121	5	5	0	0	0	0
ClusterID:122	11	24	0	0	2	0
ClusterID:123	3	2	0	0	0	0
ClusterID:124	2	1	0	0	0	0
ClusterID:125	21	18	0	0	62	50
ClusterID:126	14	35	0	0	45	0
ClusterID:127	8	9	6	5	12	0
ClusterID:128	19	29	0	0	31	0
ClusterID:129	4	4	0	0	1	0
ClusterID:130	2	1	0	0	0	0
ClusterID:131	24	13	0	0	253	0
ClusterID:132	5	3	3	0	1	6
ClusterID:133	9	2	0	0	12	36
ClusterID:134	5	5	0	0	1	0
ClusterID:135	2	1	0	0	0	0
ClusterID:136	2	1	0	0	0	0
ClusterID:137	3	3	0	0	0	0
ClusterID:138	54	49	3	137	22	0
ClusterID:139	3	2	0	0	0	0
ClusterID:140	1	0	0	0	0	0
ClusterID:141	3	3	0	0	1	0
ClusterID:142	1	0	0	0	0	0
ClusterID:143	1	0	0	0	0	0
ClusterID:144	2	1	0	0	0	0
ClusterID:145	2	1	0	0	0	0
ClusterID:146	2	1	0	0	0	0
ClusterID:147	1	0	0	0	0	0
ClusterID:148	8	13	0	0	10	0
ClusterID:149	2	1	0	0	0	0
ClusterID:150	2	1	0	0	0	0
ClusterID:151	5	5	0	0	0	0
ClusterID:152	4	2	0	0	3	0
ClusterID:153	9	12	1	0	6	0
ClusterID:154	9	18	0	0	0	0
ClusterID:155	38	77	0	0	528	0
ClusterID:156	1	0	0	0	0	0
ClusterID:157	26	80	0	0	36	0
ClusterID:158	23	19	0	0	221	0
ClusterID:159	17	107	0	0	0	0
ClusterID:160	11	19	0	0	6	10
ClusterID:161	5	5	0	0	0	0
ClusterID:162	4	2	0	0	3	0
