	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	2	0	0	0	0
ClusterID:2	3	3	0	0	0	0
ClusterID:3	2	1	0	0	0	0
ClusterID:4	6	5	0	0	0	0
ClusterID:5	3	2	0	0	0	0
ClusterID:6	11	7	0	0	55	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	12	4	0	0	45	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	69	398	0	0	1891	0
ClusterID:16	30	26	0	68	12	0
ClusterID:17	8	12	1	1	1	0
ClusterID:18	10	6	0	0	11	10
ClusterID:19	63	226	0	0	1378	0
ClusterID:20	47	571	0	0	0	0
ClusterID:21	25	94	0	0	66	0
ClusterID:22	2	1	0	0	0	0
ClusterID:23	6	7	0	0	2	3
ClusterID:24	21	114	0	0	27	0
ClusterID:25	81	277	0	0	2346	0
ClusterID:26	6	13	0	0	1	0
ClusterID:27	2	1	0	0	0	0
ClusterID:28	14	16	1	0	17	0
ClusterID:29	2	1	0	0	0	0
ClusterID:30	3	0	0	0	0	3
ClusterID:31	2	1	0	0	0	0
ClusterID:32	4	0	0	6	0	0
ClusterID:33	10	19	0	2	3	0
ClusterID:34	5	4	0	0	0	0
ClusterID:35	7	8	3	0	2	0
ClusterID:36	13	51	0	0	15	0
ClusterID:37	12	23	0	0	6	0
ClusterID:38	2	1	0	0	0	0
ClusterID:39	22	108	0	0	0	0
ClusterID:40	1	0	0	0	0	0
ClusterID:41	3	2	0	0	0	0
ClusterID:42	17	17	0	14	36	0
ClusterID:43	36	11	0	0	243	0
ClusterID:44	3	2	0	0	0	0
ClusterID:45	8	7	0	0	1	0
ClusterID:46	2	1	0	0	0	0
ClusterID:47	2	1	0	0	0	0
ClusterID:48	3	2	0	0	0	0
ClusterID:49	2	1	0	0	0	0
ClusterID:50	3	2	0	0	0	0
ClusterID:51	56	15	0	0	463	174
ClusterID:52	3	3	1	0	1	0
ClusterID:53	46	302	0	0	249	0
ClusterID:54	1	0	0	0	0	0
ClusterID:55	37	271	0	0	260	0
ClusterID:56	15	32	0	0	78	0
ClusterID:57	3	2	0	0	0	0
ClusterID:58	2	1	0	0	0	0
ClusterID:59	2	1	0	0	0	0
ClusterID:60	54	650	0	0	77	0
ClusterID:61	5	7	0	0	0	0
ClusterID:62	7	11	0	0	6	0
ClusterID:63	15	50	0	15	13	0
ClusterID:64	19	68	0	0	24	0
ClusterID:65	17	20	0	0	77	0
ClusterID:66	4	5	0	0	0	0
ClusterID:67	3	1	0	0	0	1
ClusterID:68	24	15	0	0	216	0
ClusterID:69	1	0	0	0	0	0
ClusterID:70	13	38	0	0	21	0
ClusterID:71	2	1	0	0	0	0
ClusterID:72	2	1	0	0	0	0
ClusterID:73	1	0	0	0	0	0
ClusterID:74	17	15	0	1	0	0
ClusterID:75	10	12	0	0	21	0
ClusterID:76	26	88	0	0	190	0
ClusterID:77	1	0	0	0	0	0
ClusterID:78	2	1	0	0	0	0
ClusterID:79	3	3	0	0	0	0
ClusterID:80	22	16	0	0	20	87
ClusterID:81	5	7	0	0	2	0
ClusterID:82	3	2	0	0	0	0
ClusterID:83	6	9	0	0	0	0
ClusterID:84	58	68	0	0	554	605
