	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	1	0	1	1	0
ClusterID:2	28	25	0	0	276	0
ClusterID:3	1	0	0	0	0	0
ClusterID:4	1	0	0	0	0	0
ClusterID:5	1	0	0	0	0	0
ClusterID:6	1	0	0	0	0	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	4	4	0	0	0	0
ClusterID:15	45	101	0	1	240	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	42	36	0	0	861	0
ClusterID:18	5	4	0	0	1	0
ClusterID:19	7	8	0	0	11	0
ClusterID:20	20	23	0	0	88	0
ClusterID:21	28	24	0	57	12	0
ClusterID:22	2	1	0	0	0	0
ClusterID:23	5	6	1	1	1	0
ClusterID:24	10	6	0	0	11	10
ClusterID:25	56	194	0	0	1128	0
ClusterID:26	1	0	0	0	0	0
ClusterID:27	2	1	0	0	0	0
ClusterID:28	1	0	0	0	0	0
ClusterID:29	12	19	0	0	25	0
ClusterID:30	25	140	0	0	144	0
ClusterID:31	7	10	0	0	0	0
ClusterID:32	3	3	0	0	0	0
ClusterID:33	6	7	0	0	1	3
ClusterID:34	20	63	0	0	45	0
ClusterID:35	12	10	3	0	24	0
ClusterID:36	69	189	0	0	1711	0
ClusterID:37	2	1	0	0	0	0
ClusterID:38	2	1	0	0	0	0
ClusterID:39	5	5	0	0	0	0
ClusterID:40	1	0	0	0	0	0
ClusterID:41	2	1	0	0	0	0
ClusterID:42	11	11	1	0	17	0
ClusterID:43	20	6	0	0	94	0
ClusterID:44	2	1	0	0	0	0
ClusterID:45	10	31	0	0	0	0
ClusterID:46	2	1	0	0	0	0
ClusterID:47	3	2	0	0	0	0
ClusterID:48	5	2	0	0	10	0
ClusterID:49	4	0	0	6	0	0
ClusterID:50	6	11	0	2	3	0
ClusterID:51	4	5	0	1	1	0
ClusterID:52	3	2	0	0	0	0
ClusterID:53	3	2	0	0	1	0
ClusterID:54	5	4	0	0	0	0
ClusterID:55	2	1	0	0	0	0
ClusterID:56	5	6	1	0	1	0
ClusterID:57	6	6	3	0	2	0
ClusterID:58	19	146	0	0	120	0
ClusterID:59	3	2	0	0	0	0
ClusterID:60	19	99	0	0	0	0
ClusterID:61	1	0	0	0	0	0
ClusterID:62	15	49	0	0	0	0
ClusterID:63	6	3	0	1	1	0
ClusterID:64	3	2	0	0	0	0
ClusterID:65	9	5	0	0	7	31
ClusterID:66	2	1	0	0	0	0
ClusterID:67	2	1	0	0	0	0
ClusterID:68	35	10	0	0	202	0
ClusterID:69	20	45	0	0	65	0
ClusterID:70	2	1	0	0	0	0
ClusterID:71	11	9	0	6	1	0
ClusterID:72	2	1	0	0	0	0
ClusterID:73	4	3	0	0	0	0
ClusterID:74	6	5	0	0	0	0
ClusterID:75	1	0	0	0	0	0
ClusterID:76	9	19	0	0	3	0
ClusterID:77	2	1	0	0	0	0
ClusterID:78	1	0	0	0	0	0
ClusterID:79	12	4	0	0	55	0
ClusterID:80	2	1	0	0	0	0
ClusterID:81	2	1	0	0	0	0
ClusterID:82	3	2	0	0	0	0
ClusterID:83	2	1	0	0	0	0
ClusterID:84	7	15	0	0	15	0
ClusterID:85	2	1	1	0	1	0
ClusterID:86	1	0	0	0	0	0
ClusterID:87	8	7	0	0	0	0
ClusterID:88	9	8	0	0	21	0
ClusterID:89	2	1	0	0	0	0
ClusterID:90	3	3	0	0	1	0
ClusterID:91	4	5	0	0	0	0
ClusterID:92	4	3	0	0	0	0
ClusterID:93	3	2	0	0	0	0
ClusterID:94	2	1	0	0	0	0
ClusterID:95	4	3	0	0	0	0
ClusterID:96	16	51	0	15	11	0
ClusterID:97	18	5	0	1	19	97
ClusterID:98	1	0	0	0	0	0
ClusterID:99	5	7	0	0	0	0
ClusterID:100	5	0	0	0	7	4
ClusterID:101	30	80	1	0	1	3
ClusterID:102	20	8	0	0	190	0
ClusterID:103	10	30	0	0	21	0
ClusterID:104	1	0	0	0	0	0
ClusterID:105	2	1	0	0	0	0
ClusterID:106	1	0	0	0	0	0
ClusterID:107	5	3	0	1	0	0
ClusterID:108	3	2	0	0	0	0
ClusterID:109	3	3	0	0	0	0
ClusterID:110	30	28	0	0	325	0
ClusterID:111	3	2	0	0	0	0
ClusterID:112	17	23	0	0	78	0
ClusterID:113	2	1	0	0	0	0
ClusterID:114	3	2	0	0	0	0
ClusterID:115	2	1	0	0	0	0
ClusterID:116	13	8	0	0	9	54
ClusterID:117	6	8	0	0	6	0
ClusterID:118	4	3	0	0	0	0
ClusterID:119	12	30	0	0	3	0
ClusterID:120	2	1	0	0	0	0
ClusterID:121	2	1	0	0	0	0
ClusterID:122	17	18	0	0	44	33
ClusterID:123	14	32	0	0	52	0
ClusterID:124	2	1	0	0	0	0
ClusterID:125	11	13	6	5	22	0
ClusterID:126	2	1	0	0	0	0
ClusterID:127	5	3	3	0	1	6
ClusterID:128	5	1	0	0	4	10
ClusterID:129	9	19	0	0	0	0
ClusterID:130	3	2	0	0	0	0
ClusterID:131	6	5	0	0	0	0
ClusterID:132	5	5	0	0	1	0
ClusterID:133	2	1	0	0	0	0
ClusterID:134	2	1	0	0	0	0
ClusterID:135	3	3	0	0	0	0
ClusterID:136	1	0	0	0	0	0
ClusterID:137	1	0	0	0	0	0
ClusterID:138	2	1	0	0	0	0
ClusterID:139	54	49	3	137	22	0
ClusterID:140	1	0	0	0	0	0
ClusterID:141	1	0	0	0	0	0
ClusterID:142	17	12	0	0	105	0
ClusterID:143	1	0	0	0	0	0
ClusterID:144	1	0	0	0	0	0
ClusterID:145	4	3	0	0	0	0
ClusterID:146	1	0	0	0	0	0
ClusterID:147	2	1	0	0	0	0
ClusterID:148	1	0	0	0	0	0
ClusterID:149	8	15	0	0	6	0
