	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	3	2	0	0	0	0
ClusterID:2	11	4	3	0	13	36
ClusterID:3	2	1	0	0	0	0
ClusterID:4	2	1	0	0	0	0
ClusterID:5	30	30	0	0	300	0
ClusterID:6	11	5	0	0	55	0
ClusterID:7	2	1	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	2	1	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	1	0	0	0	0	0
ClusterID:18	47	48	0	0	820	0
ClusterID:19	4	4	0	0	0	0
ClusterID:20	54	1047	0	0	20	0
ClusterID:21	21	110	0	0	120	0
ClusterID:22	29	21	0	68	9	0
ClusterID:23	8	12	1	1	1	0
ClusterID:24	34	123	0	0	465	0
ClusterID:25	55	192	0	0	1035	0
ClusterID:26	9	14	0	0	36	0
ClusterID:27	6	9	0	0	1	0
ClusterID:28	23	23	0	0	135	0
ClusterID:29	26	157	0	0	157	0
ClusterID:30	6	8	0	0	0	0
ClusterID:31	6	7	0	0	1	3
ClusterID:32	22	65	0	0	55	0
ClusterID:33	75	340	1	3	1276	0
ClusterID:34	12	12	3	0	18	0
ClusterID:35	76	221	0	0	2080	0
ClusterID:36	2	1	0	0	0	0
ClusterID:37	2	1	0	0	0	0
ClusterID:38	4	6	0	0	1	0
ClusterID:39	11	9	1	0	15	0
ClusterID:40	20	6	0	0	94	0
ClusterID:41	3	1	0	0	0	1
ClusterID:42	15	51	0	0	1	0
ClusterID:43	2	1	0	0	0	0
ClusterID:44	2	1	0	0	0	0
ClusterID:45	31	69	0	2	40	0
ClusterID:46	4	0	0	6	0	0
ClusterID:47	5	7	0	1	1	0
ClusterID:48	33	219	0	0	105	0
ClusterID:49	5	4	0	0	0	0
ClusterID:50	6	7	1	0	1	0
ClusterID:51	6	6	3	0	2	0
ClusterID:52	1	0	0	0	0	0
ClusterID:53	2	1	0	0	0	0
ClusterID:54	20	101	0	0	5	0
ClusterID:55	5	3	0	1	0	0
ClusterID:56	2	1	0	0	0	0
ClusterID:57	35	9	0	0	223	0
ClusterID:58	17	49	0	0	40	0
ClusterID:59	1	0	0	0	0	0
ClusterID:60	2	1	0	0	0	0
ClusterID:61	2	1	0	0	0	0
ClusterID:62	11	9	0	6	1	0
ClusterID:63	2	1	0	0	0	0
ClusterID:64	6	5	0	0	0	0
ClusterID:65	1	0	0	0	0	0
ClusterID:66	8	20	0	0	0	0
ClusterID:67	2	1	0	0	0	0
ClusterID:68	2	1	0	0	0	0
ClusterID:69	4	3	0	0	1	0
ClusterID:70	16	12	0	0	69	0
ClusterID:71	1	0	0	0	0	0
ClusterID:72	1	0	0	0	0	0
ClusterID:73	3	2	0	0	0	0
ClusterID:74	3	2	0	0	0	0
ClusterID:75	12	45	0	0	6	0
ClusterID:76	8	21	0	0	21	0
ClusterID:77	3	2	0	0	0	0
ClusterID:78	45	11	0	0	395	64
ClusterID:79	30	200	0	0	102	0
ClusterID:80	1	0	0	0	0	0
ClusterID:81	34	238	0	0	176	0
ClusterID:82	6	6	0	0	0	0
ClusterID:83	6	2	0	0	15	0
ClusterID:84	7	12	0	0	0	0
ClusterID:85	4	3	0	0	0	0
ClusterID:86	7	12	0	0	6	0
ClusterID:87	26	8	0	1	58	113
ClusterID:88	1	0	0	0	0	0
ClusterID:89	34	94	1	0	1	3
ClusterID:90	20	8	0	0	190	0
ClusterID:91	2	1	0	0	0	0
ClusterID:92	10	36	0	0	15	0
ClusterID:93	1	0	0	0	0	0
ClusterID:94	2	1	0	0	0	0
ClusterID:95	5	3	0	1	0	0
ClusterID:96	10	9	0	0	0	0
ClusterID:97	3	2	0	0	0	0
ClusterID:98	30	28	0	0	325	0
ClusterID:99	17	27	0	0	91	0
ClusterID:100	2	1	0	0	0	0
ClusterID:101	4	3	0	0	0	0
ClusterID:102	19	10	0	0	17	77
ClusterID:103	7	4	0	0	3	7
ClusterID:104	5	7	0	0	3	0
ClusterID:105	3	2	0	0	0	0
ClusterID:106	3	3	0	0	0	0
ClusterID:107	1	0	0	0	0	0
ClusterID:108	5	5	0	0	0	0
ClusterID:109	17	108	0	0	15	0
ClusterID:110	3	2	0	0	0	0
ClusterID:111	35	21	0	0	242	158
ClusterID:112	2	1	0	0	0	0
ClusterID:113	2	1	0	0	0	0
ClusterID:114	20	32	0	0	40	0
ClusterID:115	4	4	0	0	1	0
ClusterID:116	2	1	0	0	0	0
ClusterID:117	6	3	3	0	2	9
ClusterID:118	4	3	0	3	3	3
ClusterID:119	10	3	0	0	9	30
ClusterID:120	2	1	0	0	0	0
ClusterID:121	3	2	0	0	0	0
ClusterID:122	2	1	0	0	1	0
ClusterID:123	4	4	0	0	0	0
ClusterID:124	4	4	0	0	0	0
ClusterID:125	2	1	0	0	0	0
ClusterID:126	53	48	3	137	22	0
ClusterID:127	1	0	0	0	0	0
ClusterID:128	1	0	0	0	0	0
ClusterID:129	1	0	0	0	0	0
ClusterID:130	11	20	0	0	10	0
ClusterID:131	2	1	0	0	0	0
ClusterID:132	4	0	0	0	2	6
ClusterID:133	2	1	0	0	0	0
ClusterID:134	1	0	0	0	0	0
ClusterID:135	8	12	1	0	1	0
ClusterID:136	2	1	0	0	0	0
ClusterID:137	8	12	0	0	0	0
ClusterID:138	34	34	0	0	435	0
ClusterID:139	1	0	0	0	0	0
ClusterID:140	9	8	0	0	36	0
ClusterID:141	1	0	0	0	0	0
ClusterID:142	3	2	0	0	1	0
ClusterID:143	10	19	0	0	6	10
ClusterID:144	3	2	0	0	0	0
ClusterID:145	3	1	0	0	1	0
ClusterID:146	1	0	0	0	0	0
ClusterID:147	30	11	0	0	279	139
ClusterID:148	15	17	0	0	45	0
ClusterID:149	4	4	0	0	0	0
ClusterID:150	3	3	0	0	0	0
ClusterID:151	11	25	0	0	6	0
ClusterID:152	7	7	0	0	3	1
ClusterID:153	6	8	0	0	1	0
ClusterID:154	3	2	0	0	0	0
ClusterID:155	5	4	0	0	0	0
ClusterID:156	5	9	0	0	10	0
ClusterID:157	4	3	0	0	1	0
ClusterID:158	13	22	0	0	0	0
ClusterID:159	6	10	0	0	1	0
ClusterID:160	2	1	0	0	0	0
ClusterID:161	2	1	0	0	0	0
ClusterID:162	4	4	0	0	0	0
ClusterID:163	32	282	0	0	78	0
ClusterID:164	5	4	0	0	0	0
ClusterID:165	6	5	0	0	0	0
ClusterID:166	5	6	0	0	1	0
ClusterID:167	7	6	0	0	1	0
ClusterID:168	2	1	0	0	0	0
ClusterID:169	1	0	0	0	0	0
ClusterID:170	3	3	0	0	0	0
ClusterID:171	3	2	0	0	0	0
ClusterID:172	9	1	0	0	15	21
ClusterID:173	4	3	0	0	0	0
ClusterID:174	6	5	0	0	0	0
ClusterID:175	7	7	0	0	1	0
ClusterID:176	1	0	0	0	0	0
ClusterID:177	1	0	0	0	0	0
ClusterID:178	9	7	0	0	24	28
ClusterID:179	8	14	0	0	0	0
ClusterID:180	3	2	0	0	0	0
ClusterID:181	6	5	0	11	1	1
ClusterID:182	1	0	0	0	0	0
ClusterID:183	31	20	0	0	241	0
ClusterID:184	13	20	1	0	17	46
ClusterID:185	2	1	0	0	0	0
ClusterID:186	3	2	0	0	0	0
ClusterID:187	3	2	0	0	0	0
ClusterID:188	3	2	0	0	0	0
ClusterID:189	1	0	0	0	0	0
ClusterID:190	3	2	0	0	0	0
ClusterID:191	2	0	0	1	0	0
ClusterID:192	5	7	0	0	0	0
ClusterID:193	1	0	0	0	0	0
ClusterID:194	4	6	0	0	1	0
ClusterID:195	5	7	0	0	3	0
ClusterID:196	13	13	0	0	21	0
ClusterID:197	4	3	0	0	0	0
ClusterID:198	4	3	0	0	0	0
ClusterID:199	5	0	1	6	3	0
ClusterID:200	32	111	0	0	1	0
ClusterID:201	11	5	0	15	2	1
ClusterID:202	1	0	0	0	0	0
ClusterID:203	1	0	0	0	0	0
ClusterID:204	23	8	0	0	231	0
ClusterID:205	5	3	3	0	6	0
ClusterID:206	10	9	0	0	0	0
ClusterID:207	4	3	0	0	0	0
ClusterID:208	8	8	0	0	0	0
ClusterID:209	1	0	0	0	0	0
ClusterID:210	2	1	0	0	0	0
ClusterID:211	2	1	0	0	0	0
ClusterID:212	24	99	0	0	97	0
ClusterID:213	3	2	0	0	0	0
ClusterID:214	2	1	0	0	0	0
ClusterID:215	6	6	0	0	0	0
ClusterID:216	2	1	0	0	0	0
ClusterID:217	2	1	0	0	0	0
ClusterID:218	36	58	0	0	334	0
ClusterID:219	4	4	0	0	0	0
ClusterID:220	21	16	0	0	136	0
ClusterID:221	10	11	0	0	45	0
ClusterID:222	5	4	0	0	0	0
