	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	7	1	0	0	21	8
ClusterID:3	2	1	0	0	0	0
ClusterID:4	19	17	0	0	121	0
ClusterID:5	30	30	0	0	300	0
ClusterID:6	10	3	0	0	45	0
ClusterID:7	3	3	0	0	2	0
ClusterID:8	2	1	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	2	1	0	0	0	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	16	14	0	1	0	0
ClusterID:14	2	1	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	1	0	0	0	0	0
ClusterID:18	1	0	0	0	0	0
ClusterID:19	43	42	0	0	903	0
ClusterID:20	7	8	0	0	6	0
ClusterID:21	29	24	0	68	12	0
ClusterID:22	7	10	1	1	1	0
ClusterID:23	10	0	0	0	36	1
ClusterID:24	10	6	0	0	11	10
ClusterID:25	58	206	0	0	1225	0
ClusterID:26	1	0	0	0	0	0
ClusterID:27	26	27	0	0	145	0
ClusterID:28	10	4	0	0	28	0
ClusterID:29	25	140	0	0	144	0
ClusterID:30	3	3	0	0	0	0
ClusterID:31	5	9	0	0	0	0
ClusterID:32	16	4	0	1	14	93
ClusterID:33	22	65	0	0	55	0
ClusterID:34	12	10	3	0	24	0
ClusterID:35	75	208	0	0	2016	0
ClusterID:36	2	1	0	0	0	0
ClusterID:37	3	2	0	0	1	0
ClusterID:38	2	1	0	0	0	0
ClusterID:39	5	4	0	0	0	0
ClusterID:40	12	11	1	0	15	0
ClusterID:41	20	6	0	0	94	0
ClusterID:42	3	1	0	0	0	1
ClusterID:43	16	58	0	0	1	0
ClusterID:44	2	1	0	0	0	0
ClusterID:45	2	1	0	0	0	0
ClusterID:46	4	0	0	6	0	0
ClusterID:47	10	17	0	2	3	0
ClusterID:48	5	7	0	1	1	0
ClusterID:49	21	89	0	0	72	0
ClusterID:50	2	1	0	0	0	0
ClusterID:51	5	4	0	0	0	0
ClusterID:52	2	1	0	0	1	0
ClusterID:53	6	7	1	0	1	0
ClusterID:54	8	10	3	0	2	0
ClusterID:55	24	232	0	0	171	0
ClusterID:56	6	5	0	0	0	0
ClusterID:57	2	1	0	0	0	0
ClusterID:58	18	97	0	0	2	0
ClusterID:59	5	3	0	1	0	0
ClusterID:60	1	0	0	0	0	0
ClusterID:61	2	1	0	0	0	0
ClusterID:62	34	9	0	0	214	0
ClusterID:63	19	54	0	0	55	0
ClusterID:64	2	1	0	0	0	0
ClusterID:65	11	9	0	6	1	0
ClusterID:66	2	1	0	0	0	0
ClusterID:67	5	4	0	0	0	0
ClusterID:68	1	0	0	0	0	0
ClusterID:69	9	18	0	0	1	0
ClusterID:70	2	1	0	0	0	0
ClusterID:71	15	12	0	0	57	0
ClusterID:72	2	1	0	0	0	0
ClusterID:73	2	1	0	0	0	0
ClusterID:74	2	1	0	0	0	0
ClusterID:75	3	2	0	0	0	0
ClusterID:76	1	0	0	0	0	0
ClusterID:77	4	5	0	0	0	0
ClusterID:78	31	205	0	0	114	0
ClusterID:79	3	2	0	0	0	0
ClusterID:80	6	13	0	0	15	0
ClusterID:81	3	2	0	0	0	0
ClusterID:82	2	1	1	0	1	0
ClusterID:83	1	0	0	0	0	0
ClusterID:84	5	4	0	0	1	0
ClusterID:85	8	7	0	0	15	0
ClusterID:86	33	221	0	0	174	0
ClusterID:87	4	3	0	0	0	0
ClusterID:88	7	2	0	0	21	0
ClusterID:89	2	1	0	0	0	0
ClusterID:90	12	22	0	0	55	0
ClusterID:91	4	3	0	0	0	0
ClusterID:92	14	46	0	15	11	0
ClusterID:93	3	2	0	0	1	0
ClusterID:94	8	5	0	0	15	0
ClusterID:95	18	35	0	0	66	0
ClusterID:96	4	3	0	0	0	0
ClusterID:97	6	7	0	0	0	0
ClusterID:98	3	2	0	0	0	0
ClusterID:99	20	8	0	0	190	0
ClusterID:100	10	30	0	0	21	0
ClusterID:101	2	1	0	0	0	0
ClusterID:102	1	0	0	0	0	0
ClusterID:103	2	1	0	0	0	0
ClusterID:104	3	2	0	0	0	0
ClusterID:105	5	3	0	1	0	0
ClusterID:106	3	2	0	0	0	0
ClusterID:107	4	5	0	0	0	0
ClusterID:108	30	28	0	0	325	0
ClusterID:109	3	2	0	0	0	0
ClusterID:110	3	2	0	0	0	0
ClusterID:111	18	35	0	0	105	0
ClusterID:112	2	1	0	0	0	0
ClusterID:113	14	11	0	0	9	64
ClusterID:114	6	11	0	0	6	0
ClusterID:115	4	2	0	3	1	0
ClusterID:116	4	5	0	0	0	0
ClusterID:117	10	16	1	0	4	0
ClusterID:118	5	5	0	0	0	0
ClusterID:119	4	4	0	0	0	0
ClusterID:120	4	3	0	0	3	0
ClusterID:121	21	38	0	0	130	0
ClusterID:122	2	1	0	0	0	0
ClusterID:123	3	2	0	0	0	0
ClusterID:124	23	20	6	5	159	0
ClusterID:125	23	29	0	0	46	0
ClusterID:126	4	4	0	0	1	0
ClusterID:127	2	1	0	0	0	0
ClusterID:128	5	3	3	0	1	6
ClusterID:129	4	3	0	3	3	3
ClusterID:130	10	3	0	0	12	36
ClusterID:131	2	1	0	0	0	0
ClusterID:132	4	5	0	0	0	0
ClusterID:133	1	0	0	0	0	0
ClusterID:134	56	56	3	137	23	0
ClusterID:135	1	0	0	0	0	0
ClusterID:136	16	9	0	0	105	0
ClusterID:137	1	0	0	0	0	0
ClusterID:138	1	0	0	0	0	0
ClusterID:139	1	0	0	0	0	0
ClusterID:140	11	20	0	0	10	0
ClusterID:141	2	1	0	0	0	0
ClusterID:142	2	1	0	0	0	0
ClusterID:143	4	4	0	0	0	0
ClusterID:144	4	3	0	0	1	0
ClusterID:145	3	2	0	0	0	0
ClusterID:146	8	12	1	0	1	0
ClusterID:147	1	0	0	0	0	0
ClusterID:148	7	11	0	0	0	0
ClusterID:149	33	35	0	0	406	0
ClusterID:150	1	0	0	0	0	0
ClusterID:151	3	2	0	0	0	0
ClusterID:152	25	71	0	0	36	0
ClusterID:153	1	0	0	0	0	0
ClusterID:154	2	1	0	0	0	0
ClusterID:155	10	18	0	0	6	10
ClusterID:156	3	2	0	0	0	0
ClusterID:157	5	4	0	0	3	0
ClusterID:158	8	14	0	0	10	0
ClusterID:159	3	1	0	0	1	0
ClusterID:160	1	0	0	0	0	0
ClusterID:161	28	4	0	0	257	123
ClusterID:162	14	15	0	0	45	0
ClusterID:163	35	16	0	0	327	91
ClusterID:164	4	4	0	0	0	0
ClusterID:165	3	3	0	0	0	0
ClusterID:166	1	0	0	0	0	0
ClusterID:167	10	23	0	0	6	0
ClusterID:168	4	3	0	0	1	0
ClusterID:169	2	1	0	0	0	0
ClusterID:170	4	0	0	0	6	0
ClusterID:171	3	2	0	0	0	0
ClusterID:172	5	4	0	0	0	0
ClusterID:173	5	4	0	0	0	0
ClusterID:174	9	14	0	0	19	0
ClusterID:175	5	4	0	0	1	0
ClusterID:176	21	128	0	0	10	0
ClusterID:177	2	1	0	0	0	0
ClusterID:178	6	7	0	0	0	0
ClusterID:179	29	254	0	0	55	0
ClusterID:180	3	2	0	0	0	0
ClusterID:181	1	0	0	0	0	0
ClusterID:182	5	4	0	0	0	0
ClusterID:183	7	16	0	0	2	0
ClusterID:184	7	6	0	0	1	0
ClusterID:185	2	1	0	0	0	0
ClusterID:186	1	0	0	0	0	0
ClusterID:187	1	0	0	0	0	0
ClusterID:188	14	28	0	0	13	0
ClusterID:189	1	0	0	0	0	0
ClusterID:190	3	3	0	0	0	0
ClusterID:191	3	2	0	0	0	0
ClusterID:192	5	5	0	0	0	0
ClusterID:193	16	48	0	0	0	0
ClusterID:194	2	1	0	0	0	0
ClusterID:195	9	7	0	0	24	28
ClusterID:196	3	2	0	0	0	0
ClusterID:197	6	5	0	11	1	1
ClusterID:198	27	18	0	0	195	0
ClusterID:199	4	3	0	0	0	0
ClusterID:200	13	20	1	0	17	46
ClusterID:201	2	1	0	0	0	0
ClusterID:202	29	230	0	0	67	0
ClusterID:203	4	4	0	0	0	0
ClusterID:204	25	23	0	0	77	71
ClusterID:205	1	0	0	0	0	0
ClusterID:206	3	2	0	0	0	0
ClusterID:207	2	1	0	0	0	0
ClusterID:208	2	0	0	1	0	0
ClusterID:209	9	16	0	0	1	0
ClusterID:210	1	0	0	0	0	0
ClusterID:211	1	0	0	0	0	0
ClusterID:212	4	5	0	0	3	0
ClusterID:213	11	10	0	0	21	0
ClusterID:214	4	3	0	0	0	0
ClusterID:215	2	1	0	0	0	0
ClusterID:216	11	25	0	0	0	0
ClusterID:217	5	4	0	0	0	0
ClusterID:218	5	0	1	6	3	0
ClusterID:219	6	7	0	0	1	3
ClusterID:220	12	6	0	15	2	1
ClusterID:221	5	1	0	4	1	0
ClusterID:222	1	0	0	0	0	0
ClusterID:223	2	1	0	0	0	0
ClusterID:224	23	8	0	0	231	0
ClusterID:225	5	3	3	0	6	0
ClusterID:226	10	9	0	0	0	0
ClusterID:227	4	3	0	0	0	0
ClusterID:228	2	1	0	0	1	0
ClusterID:229	3	2	0	0	0	0
ClusterID:230	3	3	0	0	1	0
ClusterID:231	2	1	0	0	0	0
ClusterID:232	10	15	0	0	6	10
ClusterID:233	2	1	0	0	0	0
ClusterID:234	4	4	0	0	0	0
ClusterID:235	6	7	0	0	1	0
ClusterID:236	3	2	0	0	0	0
ClusterID:237	2	1	0	0	0	0
ClusterID:238	37	61	0	0	334	0
ClusterID:239	4	4	0	0	0	0
ClusterID:240	22	20	0	0	136	0
ClusterID:241	3	2	0	0	0	0
ClusterID:242	25	55	0	0	123	0
ClusterID:243	5	4	0	0	0	0
ClusterID:244	3	2	0	0	0	0
ClusterID:245	8	13	0	0	9	0
ClusterID:246	2	1	0	0	0	0
