	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	3	3	0	0	0	0
ClusterID:3	3	2	0	0	0	0
ClusterID:4	5	4	0	3	0	0
ClusterID:5	2	1	0	0	0	0
ClusterID:6	23	13	0	91	1	0
ClusterID:7	7	6	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	1	0	0	0	0	0
ClusterID:10	1	0	0	0	0	0
ClusterID:11	1	0	0	0	0	0
ClusterID:12	55	169	0	0	1354	0
ClusterID:13	108	56	0	0	5151	0
ClusterID:14	104	969	0	0	3591	0
ClusterID:15	48	47	0	93	12	0
ClusterID:16	8	12	1	1	1	0
ClusterID:17	13	12	0	0	11	12
ClusterID:18	68	280	0	0	1558	0
ClusterID:19	59	807	0	0	2	0
ClusterID:20	30	107	0	0	66	0
ClusterID:21	75	226	0	0	2124	0
ClusterID:22	5	10	0	0	0	0
ClusterID:23	35	60	0	0	479	0
ClusterID:24	2	0	0	0	0	1
ClusterID:25	5	1	0	6	0	0
ClusterID:26	5	6	0	0	0	0
ClusterID:27	21	56	3	0	2	0
ClusterID:28	44	54	0	0	630	0
ClusterID:29	4	5	0	0	3	0
ClusterID:30	1	0	0	0	0	0
ClusterID:31	12	22	0	0	6	0
ClusterID:32	1	0	0	0	0	0
ClusterID:33	1	0	0	0	0	0
ClusterID:34	20	73	0	0	1	0
ClusterID:35	16	14	0	6	48	30
ClusterID:36	15	14	0	14	36	0
ClusterID:37	13	12	0	0	66	0
ClusterID:38	1	0	0	0	0	0
ClusterID:39	2	1	0	0	0	0
ClusterID:40	5	8	0	0	4	0
ClusterID:41	3	2	0	0	0	0
ClusterID:42	3	2	0	0	0	0
ClusterID:43	49	14	0	0	398	160
ClusterID:44	4	5	1	0	1	0
ClusterID:45	49	292	0	0	267	0
ClusterID:46	1	0	0	0	0	0
ClusterID:47	41	303	0	0	359	0
ClusterID:48	17	38	0	0	91	0
ClusterID:49	7	6	0	0	0	0
ClusterID:50	8	20	0	0	3	0
ClusterID:51	33	103	0	0	1	0
ClusterID:52	21	11	0	0	193	0
ClusterID:53	23	62	0	0	171	0
ClusterID:54	1	0	0	0	0	0
ClusterID:55	11	23	0	0	1	0
ClusterID:56	6	5	0	0	0	0
ClusterID:57	2	1	0	0	0	0
ClusterID:58	2	1	0	0	0	0
ClusterID:59	7	5	3	0	2	9
ClusterID:60	6	5	0	11	1	1
ClusterID:61	9	3	0	0	9	28
ClusterID:62	37	20	0	1	247	253
ClusterID:63	60	761	0	0	96	0
ClusterID:64	56	54	3	137	23	0
ClusterID:65	44	87	0	0	266	0
ClusterID:66	1	0	0	0	0	0
ClusterID:67	43	127	36	0	214	0
ClusterID:68	114	424	0	0	3460	0
ClusterID:69	20	17	0	0	158	0
ClusterID:70	54	119	0	0	1176	1
ClusterID:71	3	2	0	0	0	0
ClusterID:72	16	45	0	0	120	0
ClusterID:73	8	10	0	0	2	3
ClusterID:74	1	0	0	0	0	0
ClusterID:75	2	1	0	0	0	0
ClusterID:76	109	1962	0	0	16	0
ClusterID:77	4	6	0	0	1	0
ClusterID:78	5	5	0	3	3	3
ClusterID:79	7	7	0	0	1	0
ClusterID:80	2	1	0	0	0	0
ClusterID:81	6	5	0	0	0	0
ClusterID:82	18	56	0	0	49	0
ClusterID:83	43	125	0	0	703	0
ClusterID:84	24	77	0	0	1	0
ClusterID:85	38	375	0	0	91	0
ClusterID:86	6	5	0	0	0	0
ClusterID:87	2	1	0	0	0	0
ClusterID:88	3	2	0	0	0	0
ClusterID:89	7	6	0	0	0	0
ClusterID:90	12	17	0	0	24	28
ClusterID:91	8	12	0	1	1	1
ClusterID:92	1	0	0	0	0	0
ClusterID:93	17	24	1	0	24	53
ClusterID:94	1	0	0	0	0	0
ClusterID:95	17	77	0	0	6	0
ClusterID:96	1	0	0	0	0	0
ClusterID:97	2	1	0	0	0	0
ClusterID:98	23	42	0	0	68	0
ClusterID:99	3	2	0	0	0	0
ClusterID:100	1	0	0	0	0	0
ClusterID:101	15	46	0	0	10	0
ClusterID:102	37	148	0	0	1	0
ClusterID:103	2	1	0	0	0	0
ClusterID:104	5	0	1	6	3	0
ClusterID:105	3	3	0	0	0	0
ClusterID:106	5	4	3	0	6	0
ClusterID:107	5	5	0	0	3	0
ClusterID:108	11	21	0	0	0	0
ClusterID:109	3	2	0	0	0	0
ClusterID:110	1	0	0	0	0	0
ClusterID:111	29	74	0	0	221	0
ClusterID:112	15	24	0	0	37	0
ClusterID:113	27	26	0	0	178	0
ClusterID:114	54	144	0	0	321	0
ClusterID:115	10	21	0	0	1	0
ClusterID:116	2	1	0	0	0	0
ClusterID:117	69	680	0	1	8	0
ClusterID:118	12	18	0	0	3	0
ClusterID:119	44	61	0	0	291	233
ClusterID:120	1	0	0	0	0	0
ClusterID:121	28	140	0	0	2	0
ClusterID:122	94	564	0	0	1994	0
ClusterID:123	24	20	1	0	58	114
ClusterID:124	15	17	0	0	21	0
ClusterID:125	27	29	0	0	126	0
ClusterID:126	2	1	0	0	0	0
ClusterID:127	43	295	0	0	136	0
ClusterID:128	31	118	0	0	13	0
ClusterID:129	280	2412	0	6	14997	0
ClusterID:130	2	1	0	0	0	0
ClusterID:131	14	21	0	0	15	21
ClusterID:132	13	11	0	0	30	0
ClusterID:133	3	2	0	0	0	0
ClusterID:134	15	32	0	0	3	0
ClusterID:135	7	6	0	0	1	0
ClusterID:136	9	5	0	0	10	10
ClusterID:137	73	158	0	0	2257	0
ClusterID:138	27	28	0	12	111	0
ClusterID:139	2	1	0	0	0	0
ClusterID:140	2	1	0	0	0	0
ClusterID:141	2	1	0	0	0	0
ClusterID:142	29	169	0	0	91	0
ClusterID:143	11	24	0	7	10	0
ClusterID:144	5	5	1	0	3	1
ClusterID:145	5	6	0	0	0	0
ClusterID:146	9	9	0	0	0	0
ClusterID:147	38	198	0	0	379	0
ClusterID:148	20	87	0	0	1	0
ClusterID:149	4	5	0	0	0	0
ClusterID:150	23	112	0	0	0	0
ClusterID:151	1	0	0	0	0	0
ClusterID:152	2	1	0	0	1	0
ClusterID:153	1	0	0	0	0	0
ClusterID:154	7	6	0	1	0	0
ClusterID:155	7	5	0	0	2	7
ClusterID:156	5	5	0	0	1	0
ClusterID:157	28	50	0	1	31	78
ClusterID:158	2	1	0	0	0	0
ClusterID:159	8	8	1	0	6	0
ClusterID:160	3	2	0	0	0	0
ClusterID:161	28	27	0	0	0	0
ClusterID:162	6	5	0	0	0	0
ClusterID:163	3	1	0	0	1	0
ClusterID:164	27	50	0	0	276	1
ClusterID:165	1	0	0	0	0	0
ClusterID:166	19	19	0	0	55	0
ClusterID:167	55	455	0	0	1184	0
ClusterID:168	21	28	1	0	19	0
ClusterID:169	2	1	0	0	0	0
ClusterID:170	75	52	0	0	1957	0
ClusterID:171	38	40	0	0	355	0
ClusterID:172	21	24	0	0	120	0
ClusterID:173	20	20	0	0	77	0
ClusterID:174	2	1	0	0	1	0
ClusterID:175	24	114	0	0	1	0
ClusterID:176	1	0	0	0	0	0
ClusterID:177	4	2	0	0	1	0
ClusterID:178	3	2	0	0	0	0
ClusterID:179	13	10	0	6	1	0
ClusterID:180	87	41	0	0	3000	0
ClusterID:181	12	16	0	0	0	0
ClusterID:182	3	2	0	0	0	0
ClusterID:183	22	21	0	0	1	0
ClusterID:184	7	4	0	0	12	0
ClusterID:185	28	28	0	0	0	0
ClusterID:186	5	3	0	0	1	0
ClusterID:187	2	1	0	0	0	0
ClusterID:188	9	9	0	0	0	0
ClusterID:189	3	3	0	0	0	0
ClusterID:190	11	10	0	0	0	0
ClusterID:191	1	0	0	0	0	0
ClusterID:192	3	2	0	0	0	0
ClusterID:193	6	7	0	0	0	0
ClusterID:194	1	0	0	0	0	0
ClusterID:195	32	20	0	351	3	0
