	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	1	0	0	0	0	0
ClusterID:2	741	6800	0	8	17777	0
ClusterID:3	1	0	0	0	0	0
ClusterID:4	188	763	0	0	5399	3
ClusterID:5	56	54	10	0	10	0
ClusterID:6	76	67	0	0	299	0
ClusterID:7	539	14030	3	15	17846	0
ClusterID:8	52	71	6	0	19	0
ClusterID:9	9	7	3	0	10	0
ClusterID:10	210	1333	1	1	1504	41
ClusterID:11	494	2452	36	21	8582	0
ClusterID:12	60	298	0	1	232	0
ClusterID:13	242	344	28	11	1551	3976
ClusterID:14	495	1153	10	7	59674	1195
ClusterID:15	237	1096	1	1	4118	0
ClusterID:16	258	626	8	706	3086	15
ClusterID:17	128	573	0	0	990	0
ClusterID:18	1	0	0	0	0	0
ClusterID:19	30	31	0	0	0	0
ClusterID:20	24	41	3	0	31	3
ClusterID:21	823	11020	8	14	20005	1367
ClusterID:22	22	35	10	3	10	0
ClusterID:23	34	70	0	0	0	0
ClusterID:24	87	88	0	0	0	0
ClusterID:25	16	28	1	0	12	0
ClusterID:26	90	172	55	0	490	0
ClusterID:27	156	152	3	0	6	0
ClusterID:28	651	1812	14	72	18426	2
ClusterID:29	213	141	28	2	2746	4001
ClusterID:30	317	334	0	0	0	0
ClusterID:31	38	36	1	0	135	0
ClusterID:32	19	18	0	0	3	1
ClusterID:33	118	178	21	0	1185	0
ClusterID:34	553	4368	1	16	12810	0
ClusterID:35	105	161	0	0	169	273
ClusterID:36	185	250	49	1035	1537	0
ClusterID:37	49	158	3	0	6	0
ClusterID:38	14	15	3	0	3	0
ClusterID:39	124	169	7	58	232	2201
ClusterID:40	23	44	0	0	7	0
ClusterID:41	277	1368	4	6	1234	0
ClusterID:42	80	285	1	5	172	0
ClusterID:43	517	6890	3	4	28065	0
ClusterID:44	396	1406	2	0	7668	0
ClusterID:45	103	88	2	18	1134	0
ClusterID:46	57	124	21	0	6	0
ClusterID:47	143	296	78	15	1634	0
ClusterID:48	233	203	9	24	344	1858
ClusterID:49	68	67	78	2	144	797
ClusterID:50	603	18870	0	0	25013	0
ClusterID:51	891	6419	3	5	2769	1838
ClusterID:52	52	93	0	0	11	0
ClusterID:53	16	16	0	0	0	0
ClusterID:54	231	436	7	11	1808	3521
ClusterID:55	172	659	2	4	2155	0
ClusterID:56	6	0	10	0	11	0
ClusterID:57	44	100	1	0	1	0
ClusterID:58	15	18	3	0	3	0
ClusterID:59	1	0	0	0	0	0
ClusterID:60	87	59	6	4	1975	0
ClusterID:61	9	10	0	3	6	0
ClusterID:62	133	90	3	383	411	744
ClusterID:63	54	24	3	361	104	4
ClusterID:64	493	1769	0	28	60712	0
ClusterID:65	65	100	1	1	596	0
ClusterID:66	760	6401	0	9	62210	0
ClusterID:67	401	983	11	675	2069	3208
ClusterID:68	77	68	1	0	22	0
ClusterID:69	41	42	0	0	0	0
ClusterID:70	431	1212	5	193	7850	0
ClusterID:71	335	476	129	15	4117	2055
ClusterID:72	103	103	0	0	0	0
ClusterID:73	560	1847	50	28	37745	49
ClusterID:74	170	172	91	5	2283	10
ClusterID:75	1	0	0	0	0	0
ClusterID:76	26	17	6	0	44	0
ClusterID:77	58	176	0	0	21	26
ClusterID:78	16	9	6	0	8	3
ClusterID:79	92	79	120	3	503	843
ClusterID:80	1	0	0	0	0	0
ClusterID:81	11	12	1	0	1	0
ClusterID:82	1	0	0	0	0	0
ClusterID:83	372	5156	0	4	2342	0
ClusterID:84	252	245	7	100	574	1203
ClusterID:85	14	13	0	0	0	0
ClusterID:86	145	147	0	1041	213	11
ClusterID:87	503	15335	3	124	9357	2969
ClusterID:88	156	737	0	0	289	0
ClusterID:89	18	63	0	0	0	0
ClusterID:90	176	232	7	130	987	585
ClusterID:91	395	987	1	6	19649	0
ClusterID:92	1	0	0	0	0	0
ClusterID:93	23	23	0	0	0	0
ClusterID:94	152	593	0	0	406	0
ClusterID:95	107	88	18	55	234	403
ClusterID:96	66	213	0	0	47	0
ClusterID:97	79	126	6	0	474	0
ClusterID:98	37	41	0	0	1	0
ClusterID:99	122	569	0	0	138	0
ClusterID:100	162	374	10	2	587	0
ClusterID:101	168	129	7	11	550	1406
ClusterID:102	1	0	0	0	0	0
ClusterID:103	23	60	3	15	14	0
ClusterID:104	230	317	13	23	8493	0
ClusterID:105	30	12	120	9	121	0
ClusterID:106	98	98	10	0	13	0
ClusterID:107	661	5134	10	1830	2742	6
ClusterID:108	1	0	0	0	0	0
ClusterID:109	571	4751	0	5	5	0
ClusterID:110	1	0	0	0	0	0
ClusterID:111	396	13	0	0	75348	0
ClusterID:112	345	1259	6	4	4880	0
ClusterID:113	9	0	0	0	36	0
ClusterID:114	6	0	0	0	15	0
