	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	4	3	0	3	0	0
ClusterID:2	50	140	0	0	319	0
ClusterID:3	4	4	0	0	0	0
ClusterID:4	13	9	0	0	68	0
ClusterID:5	23	13	0	91	1	0
ClusterID:6	1	0	0	0	0	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	1	0	0	0	0	0
ClusterID:9	20	77	0	0	171	0
ClusterID:10	109	59	0	0	5151	0
ClusterID:11	25	21	0	0	96	0
ClusterID:12	93	830	0	0	2799	0
ClusterID:13	14	12	0	6	2	0
ClusterID:14	9	14	1	1	1	0
ClusterID:15	11	11	0	0	11	10
ClusterID:16	64	230	0	0	1431	0
ClusterID:17	57	774	0	0	2	0
ClusterID:18	71	203	0	0	1940	0
ClusterID:19	86	302	0	0	2556	0
ClusterID:20	1	0	0	0	0	0
ClusterID:21	6	8	0	0	0	0
ClusterID:22	14	48	0	0	11	0
ClusterID:23	5	9	0	0	0	0
ClusterID:24	2	1	0	0	0	0
ClusterID:25	15	18	1	0	17	0
ClusterID:26	25	15	0	0	117	0
ClusterID:27	4	0	0	6	0	0
ClusterID:28	34	36	0	0	351	0
ClusterID:29	22	61	3	0	2	0
ClusterID:30	4	5	0	0	3	0
ClusterID:31	20	41	0	0	136	0
ClusterID:32	12	22	0	0	6	0
ClusterID:33	1	0	0	0	0	0
ClusterID:34	22	110	0	0	0	0
ClusterID:35	1	0	0	0	0	0
ClusterID:36	19	70	0	0	0	0
ClusterID:37	25	24	0	0	0	0
ClusterID:38	17	15	0	0	120	0
ClusterID:39	3	2	0	0	0	0
ClusterID:40	8	7	0	0	1	0
ClusterID:41	2	1	0	0	0	0
ClusterID:42	6	12	0	0	0	0
ClusterID:43	2	1	0	0	0	0
ClusterID:44	5	5	0	0	0	0
ClusterID:45	2	1	0	0	1	0
ClusterID:46	3	2	0	0	0	0
ClusterID:47	3	2	0	0	0	0
ClusterID:48	4	4	1	0	1	0
ClusterID:49	49	293	0	0	268	0
ClusterID:50	1	0	0	0	0	0
ClusterID:51	38	286	0	0	284	0
ClusterID:52	17	35	0	0	105	0
ClusterID:53	2	1	0	0	0	0
ClusterID:54	3	2	0	0	0	0
ClusterID:55	16	83	0	0	1	0
ClusterID:56	22	65	0	0	0	0
ClusterID:57	23	13	0	0	216	0
ClusterID:58	14	32	0	0	6	0
ClusterID:59	2	1	0	0	0	0
ClusterID:60	21	51	0	0	153	0
ClusterID:61	1	0	0	0	0	0
ClusterID:62	2	1	0	0	0	0
ClusterID:63	4	3	0	0	0	0
ClusterID:64	20	14	0	0	17	87
ClusterID:65	9	14	0	0	2	0
ClusterID:66	26	113	0	0	73	0
ClusterID:67	2	1	0	0	0	0
ClusterID:68	2	1	0	0	0	0
ClusterID:69	3	2	0	0	0	0
ClusterID:70	46	219	0	0	1	0
ClusterID:71	2	1	0	0	0	0
ClusterID:72	7	5	3	0	2	9
ClusterID:73	6	5	0	11	1	1
ClusterID:74	8	2	0	0	9	28
ClusterID:75	60	748	0	0	96	0
ClusterID:76	2	1	0	0	0	0
ClusterID:77	59	62	3	137	24	0
ClusterID:78	44	89	0	0	266	0
ClusterID:79	1	0	0	0	0	0
ClusterID:80	3	2	0	0	0	0
ClusterID:81	9	14	0	0	1	0
ClusterID:82	7	10	1	0	1	0
ClusterID:83	8	12	0	0	0	0
ClusterID:84	42	60	0	0	528	0
ClusterID:85	15	3	0	0	87	0
ClusterID:86	4	2	0	0	0	1
ClusterID:87	14	22	0	0	11	15
ClusterID:88	2	1	0	0	0	0
ClusterID:89	9	15	0	0	6	0
ClusterID:90	14	34	0	0	91	0
ClusterID:91	1	0	0	0	0	0
ClusterID:92	32	12	0	0	326	154
ClusterID:93	4	3	0	0	0	0
ClusterID:94	2	1	0	0	0	0
ClusterID:95	5	5	0	3	3	3
ClusterID:96	3	2	0	0	0	0
ClusterID:97	6	5	0	0	0	0
ClusterID:98	7	6	0	0	0	0
ClusterID:99	28	105	0	0	1	0
ClusterID:100	2	1	0	0	0	0
ClusterID:101	24	14	0	0	253	0
ClusterID:102	4	4	0	0	0	0
ClusterID:103	38	375	0	0	91	0
ClusterID:104	6	5	0	0	0	0
ClusterID:105	3	2	0	0	0	0
ClusterID:106	12	14	4	1	6	0
ClusterID:107	5	3	0	0	1	0
ClusterID:108	1	0	0	0	0	0
ClusterID:109	4	4	0	0	1	0
ClusterID:110	11	12	0	0	24	28
ClusterID:111	1	0	0	0	0	0
ClusterID:112	19	51	0	0	49	0
ClusterID:113	17	24	1	0	24	53
ClusterID:114	17	75	0	0	6	0
ClusterID:115	1	0	0	0	0	0
ClusterID:116	2	1	0	0	0	0
ClusterID:117	4	3	0	0	0	0
ClusterID:118	4	3	0	0	0	0
ClusterID:119	35	126	0	0	0	0
ClusterID:120	1	0	0	0	0	0
ClusterID:121	13	7	0	15	2	1
ClusterID:122	10	4	1	6	10	0
ClusterID:123	4	1	3	0	6	0
ClusterID:124	5	5	0	0	0	0
ClusterID:125	4	3	0	0	0	0
ClusterID:126	4	5	0	0	0	0
ClusterID:127	3	2	0	0	0	0
ClusterID:128	4	4	0	0	1	0
ClusterID:129	3	2	0	0	0	0
ClusterID:130	1	0	0	0	0	0
ClusterID:131	2	1	0	0	0	0
