	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	9	3	3	0	15	0
ClusterID:2	12	19	21	0	26	0
ClusterID:3	11	4	10	0	36	0
ClusterID:4	6	4	10	0	10	0
ClusterID:5	7	7	3	0	3	0
ClusterID:6	23	55	21	0	13	0
ClusterID:7	277	1190	4	1	528	0
ClusterID:8	113	206	4	4	590	10
ClusterID:9	1449	24258	18	281	51220	0
ClusterID:10	435	1097	55	6	21447	0
ClusterID:11	4	0	3	0	6	0
ClusterID:12	87	84	3	165	30	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	542	2681	36	15	7260	3
ClusterID:15	148	260	11	1596	640	0
ClusterID:16	965	18241	3	0	19408	0
ClusterID:17	626	3819	91	6	10798	0
ClusterID:18	265	298	28	8	1568	5757
ClusterID:19	678	8131	4	20	29415	0
ClusterID:20	77	63	6	6	412	0
ClusterID:21	137	200	28	5	1598	10
ClusterID:22	901	7465	4	9	64669	0
ClusterID:23	157	192	6	1041	200	11
ClusterID:24	875	4416	19	11	77842	1584
ClusterID:25	221	159	120	7	2718	4008
ClusterID:26	252	447	7	9	1758	4007
ClusterID:27	653	1673	12	314	11558	3209
ClusterID:28	7	9	6	0	15	0
ClusterID:29	1372	14717	0	13	16497	0
ClusterID:30	309	362	49	1036	3498	0
ClusterID:31	234	477	12	2	480	2818
ClusterID:32	4	1	1	3	2	0
ClusterID:33	2	0	1	0	0	0
ClusterID:34	682	6979	1	3743	3458	26
ClusterID:35	817	2304	78	3	9695	10
ClusterID:36	6	2	6	0	6	0
ClusterID:37	283	260	7	102	834	2199
ClusterID:38	1218	8983	11	377	3256	2007
ClusterID:39	190	615	2	3	2054	0
ClusterID:40	5	0	10	0	10	0
ClusterID:41	4	3	6	3	6	0
ClusterID:42	211	291	1	382	375	888
ClusterID:43	553	1951	0	0	62354	15
ClusterID:44	100	138	1	1	550	0
ClusterID:45	828	1668	131	105	42422	1875
ClusterID:46	1306	7184	17	96	29468	1
ClusterID:47	2	0	1	0	0	0
ClusterID:48	416	1981	5	1	5960	0
ClusterID:49	5	0	3	0	10	0
ClusterID:50	30	27	6	0	3	0
ClusterID:51	732	19842	3	131	11437	2830
ClusterID:52	808	23640	13	114	26341	1372
ClusterID:53	7	4	10	0	10	0
ClusterID:54	124	99	8	9	224	758
ClusterID:55	52	209	10	15	21	0
ClusterID:56	164	164	1	0	98	0
ClusterID:57	131	148	6	60	303	928
ClusterID:58	3	0	3	0	3	0
ClusterID:59	25	7	120	9	121	0
ClusterID:60	415	3456	55	2347	1836	45
ClusterID:61	396	15	0	0	75279	0
ClusterID:62	83	18	1	0	609	0
ClusterID:63	9	0	0	0	36	0
ClusterID:64	6	0	0	0	15	0
ClusterID:65	159	105	78	3	612	1506
