	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	4	3	0	0	0	0
ClusterID:2	42	34	0	12	12	5
ClusterID:3	4	3	0	0	0	0
ClusterID:4	5	5	0	1	1	0
ClusterID:5	16	16	0	0	3	0
ClusterID:6	7	10	0	0	0	0
ClusterID:7	2	1	0	0	0	0
ClusterID:8	6	5	0	3	0	0
ClusterID:9	47	88	0	0	360	0
ClusterID:10	9	8	0	11	2	2
ClusterID:11	2	1	0	0	0	0
ClusterID:12	5	4	0	0	3	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	1	0	0	0	0	0
ClusterID:15	1	0	0	0	0	0
ClusterID:16	1	0	0	0	0	0
ClusterID:17	1	0	0	0	0	0
ClusterID:18	1	0	0	0	0	0
ClusterID:19	1	0	0	0	0	0
ClusterID:20	1	0	0	0	0	0
ClusterID:21	1	0	0	0	0	0
ClusterID:22	1	0	0	0	0	0
ClusterID:23	1	0	0	0	0	0
ClusterID:24	1	0	0	0	0	0
ClusterID:25	79	46	0	0	2565	0
ClusterID:26	12	17	1	1	6	0
ClusterID:27	97	1453	0	0	150	0
ClusterID:28	57	340	0	0	59	0
ClusterID:29	111	545	0	0	4709	0
ClusterID:30	5	4	0	0	0	0
ClusterID:31	1	0	0	0	0	0
ClusterID:32	21	82	0	0	0	0
ClusterID:33	1	0	0	0	0	0
ClusterID:34	42	35	0	0	272	0
ClusterID:35	2	1	0	0	0	0
ClusterID:36	7	11	0	0	1	0
ClusterID:37	1	0	0	0	0	0
ClusterID:38	41	331	0	0	359	0
ClusterID:39	2	1	0	0	0	0
ClusterID:40	35	147	0	0	1	0
ClusterID:41	36	58	0	0	270	0
ClusterID:42	41	98	0	0	271	3
ClusterID:43	5	4	0	0	0	0
ClusterID:44	117	2479	0	0	30	0
ClusterID:45	1	0	0	0	0	0
ClusterID:46	4	1	0	3	0	0
ClusterID:47	26	108	0	0	3	0
ClusterID:48	45	203	0	0	0	0
ClusterID:49	53	215	1	0	640	0
ClusterID:50	77	200	1	164	533	0
ClusterID:51	1	0	0	0	0	0
ClusterID:52	4	0	0	6	0	0
ClusterID:53	2	1	0	0	0	0
ClusterID:54	44	25	0	1	273	378
ClusterID:55	67	67	3	147	28	0
ClusterID:56	9	9	0	0	0	0
ClusterID:57	1	0	0	0	0	0
ClusterID:58	6	5	0	0	3	0
ClusterID:59	20	4	1	2	87	75
ClusterID:60	133	537	0	0	4144	0
ClusterID:61	1	0	0	0	0	0
ClusterID:62	2	1	0	0	0	0
ClusterID:63	40	385	0	0	91	0
ClusterID:64	38	17	0	0	412	198
ClusterID:65	5	5	0	0	0	0
ClusterID:66	60	29	0	0	475	452
ClusterID:67	2	1	0	0	0	0
ClusterID:68	1	0	0	0	0	0
ClusterID:69	2	1	0	0	0	0
ClusterID:70	24	16	0	0	190	0
ClusterID:71	1	0	0	0	0	0
ClusterID:72	4	3	0	0	0	0
ClusterID:73	61	133	0	0	351	0
ClusterID:74	10	10	0	0	0	0
ClusterID:75	22	24	0	0	51	56
ClusterID:76	1	0	0	0	0	0
ClusterID:77	3	3	0	0	0	0
ClusterID:78	3	2	0	0	0	0
ClusterID:79	1	0	0	0	0	0
ClusterID:80	2	1	0	0	0	0
ClusterID:81	135	1680	0	0	6321	0
ClusterID:82	3	2	0	0	0	0
ClusterID:83	15	49	0	0	9	0
ClusterID:84	12	14	0	0	28	0
ClusterID:85	13	13	0	0	0	0
ClusterID:86	8	10	0	0	1	0
ClusterID:87	4	3	0	0	0	0
ClusterID:88	5	4	0	0	0	0
ClusterID:89	3	2	0	0	0	0
ClusterID:90	33	89	0	0	275	0
ClusterID:91	11	10	0	0	0	0
ClusterID:92	10	16	0	0	9	0
ClusterID:93	38	19	0	0	357	0
ClusterID:94	1	0	0	0	0	0
ClusterID:95	2	1	0	0	0	0
ClusterID:96	5	7	1	0	3	3
ClusterID:97	79	811	0	0	8	0
ClusterID:98	60	107	0	0	309	323
ClusterID:99	2	1	0	0	0	0
ClusterID:100	1	0	0	0	0	0
ClusterID:101	50	60	6	0	117	362
ClusterID:102	97	312	0	0	2485	0
ClusterID:103	121	907	0	0	2358	0
ClusterID:104	8	4	0	0	11	22
ClusterID:105	316	2953	0	8	16039	0
ClusterID:106	85	229	0	0	2816	0
ClusterID:107	6	5	0	0	0	0
ClusterID:108	30	16	3	0	39	105
ClusterID:109	3	2	0	0	0	0
ClusterID:110	2	1	0	0	0	0
ClusterID:111	69	199	0	0	917	0
ClusterID:112	31	34	0	12	108	0
ClusterID:113	2	1	0	0	0	0
ClusterID:114	13	11	0	0	58	0
ClusterID:115	58	38	4	3	132	266
ClusterID:116	5	6	0	0	0	0
ClusterID:117	43	221	0	0	379	0
ClusterID:118	29	43	0	0	171	0
ClusterID:119	22	31	1	0	26	61
ClusterID:120	1	0	0	0	0	0
ClusterID:121	8	16	0	0	0	0
ClusterID:122	1	0	0	0	0	0
ClusterID:123	38	28	3	0	130	28
ClusterID:124	3	2	0	0	0	0
ClusterID:125	53	54	3	0	212	567
ClusterID:126	9	10	1	0	6	0
ClusterID:127	7	8	0	0	0	0
ClusterID:128	2	1	0	0	0	0
ClusterID:129	10	3	0	0	6	10
ClusterID:130	30	29	0	0	0	0
ClusterID:131	7	6	0	0	0	0
ClusterID:132	3	1	0	0	1	0
ClusterID:133	14	20	0	0	0	0
ClusterID:134	21	21	0	0	66	0
ClusterID:135	4	4	0	0	0	0
ClusterID:136	112	65	0	11	2631	0
ClusterID:137	3	2	0	0	1	0
ClusterID:138	21	24	0	0	88	0
ClusterID:139	9	17	0	0	0	0
ClusterID:140	11	15	0	0	12	0
ClusterID:141	20	72	0	0	120	0
ClusterID:142	5	1	0	0	6	0
ClusterID:143	1	0	0	0	0	0
ClusterID:144	3	2	0	0	0	0
ClusterID:145	23	22	0	0	3	0
ClusterID:146	8	15	0	0	0	0
ClusterID:147	10	7	0	0	26	0
ClusterID:148	12	18	0	0	22	0
ClusterID:149	2	1	0	0	0	0
ClusterID:150	3	3	0	0	0	0
ClusterID:151	3	2	0	0	0	0
ClusterID:152	7	6	0	0	0	0
ClusterID:153	3	3	1	0	1	0
ClusterID:154	45	259	0	0	679	0
ClusterID:155	9	14	0	0	1	0
ClusterID:156	8	13	0	0	1	0
ClusterID:157	26	12	0	0	232	0
ClusterID:158	19	18	0	0	1	0
ClusterID:159	39	179	0	0	406	0
ClusterID:160	9	7	0	0	28	0
ClusterID:161	2	1	0	0	0	0
ClusterID:162	10	20	0	0	3	0
ClusterID:163	1	0	0	0	0	0
ClusterID:164	84	238	0	0	665	0
ClusterID:165	1	0	0	0	0	0
ClusterID:166	42	95	0	1	537	0
ClusterID:167	3	2	0	0	0	0
ClusterID:168	7	6	0	0	3	0
ClusterID:169	1	0	0	0	0	0
ClusterID:170	25	42	6	26	25	0
ClusterID:171	5	4	0	0	0	0
ClusterID:172	35	82	10	0	47	0
ClusterID:173	2	1	0	0	0	0
ClusterID:174	12	15	0	0	1	0
ClusterID:175	17	36	0	0	28	0
ClusterID:176	2	1	0	0	0	0
ClusterID:177	2	1	0	0	0	0
ClusterID:178	20	12	0	0	24	28
ClusterID:179	27	18	0	0	115	31
ClusterID:180	9	8	0	0	0	0
ClusterID:181	67	880	0	0	123	0
ClusterID:182	12	11	0	0	0	0
ClusterID:183	74	95	0	0	397	746
ClusterID:184	6	5	0	0	0	0
ClusterID:185	1	0	0	0	0	0
ClusterID:186	1	0	0	0	0	0
ClusterID:187	1	0	0	0	0	0
ClusterID:188	1	0	0	0	0	0
ClusterID:189	2	1	0	0	0	0
ClusterID:190	1	0	0	0	0	0
ClusterID:191	30	88	10	0	21	0
ClusterID:192	25	9	0	0	276	0
ClusterID:193	12	23	0	0	10	0
ClusterID:194	4	3	0	0	0	0
ClusterID:195	10	10	0	0	1	0
ClusterID:196	22	19	0	0	67	0
ClusterID:197	10	16	0	0	0	0
ClusterID:198	12	16	0	0	0	0
ClusterID:199	1	0	0	0	0	0
ClusterID:200	20	70	1	0	51	0
ClusterID:201	1	0	0	0	0	0
ClusterID:202	18	29	0	3	1	0
ClusterID:203	4	2	1	0	1	0
