"","V1","V2"
"218","RPLP1","RPS13"
"219","RPLP1","RPL18"
"220","H1.5","H3C2"
"221","H1.5","H2BC4"
"222","H1.5","H2AC11"
"223","H1.5","H3C3"
"224","H1.5","H2AZ1"
"225","H1.5","H3C4"
"226","H1.5","H4C8"
"227","H1.5","H2BC21"
"228","H1.5","H3C10"
"229","MRC1","CEACAM1"
"230","RPL29","RPL32"
"231","RPL29","RPL10A"
"232","RPL29","RPS16"
"233","RPL29","RPLP1"
"234","RPL29","RPS13"
"235","RPL19","RPS6"
"236","RPL19","RPL37A"
"237","RPL19","RPS11"
"238","RPL19","RPL7"
"239","RPL19","RPS7"
"240","RPL19","RPS20"
"241","RPL19","RPL26"
"242","RPL19","RPL37"
"243","RPL19","RPS24"
"244","RPL19","RPL30"
"245","RPL7","RPL5"
"246","RPL7","RPL37A"
"247","RPL7","RPL19"
"248","RPL7","RPS7"
"249","RPL7","RPL26"
"250","RPL7","RPS24"
"251","RPL7","RPL11"
"252","RPS7","RPS6"
"253","RPS7","RPS3A"
"254","RPS7","RPS8"
"255","RPS7","RPS11"
"256","RPS7","RPL19"
"257","RPS7","RPL7"
"258","RPS7","RPS20"
"259","RPS7","RPL26"
"260","RPS7","RPL30"
"261","H1.2","H1.4"
"262","H1.2","H2BC12"
"263","H1.2","H2BC4"
"264","H1.2","H3C10"
"265","ICAM2","PRR29"
"266","SULF2","NRP2"
"267","PIEZO2","PROX1"
"268","RPS20","RPS6"
"269","RPS20","RPS3A"
"270","RPS20","RPL19"
"271","RPS20","RPS7"
"272","RPS20","RPS27A"
"273","RPS20","RPL24"
"274","RPS20","RPL30"
"275","RPS15A","RPL15"
"276","RPS15A","RPS3A"
"277","RPS15A","RPS8"
"278","RPS15A","RPS16"
"279","RPS15A","RPL18"
"280","CXCL1","CXCL8"
"281","RPS13","RPS3A"
"282","RPS13","RPL32"
"283","RPS13","RPS16"
"284","RPS13","RPLP1"
"285","RPS13","RPL29"
